Airport name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year,Airport coordinates
Kurilsk (Clear),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('145.681308'), Decimal('43.959284'))"
Kursk (Eastern),2020,4420.0,4436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('36.282442'), Decimal('51.749429'))"
red,2020,5314.0,5339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('94.40495'), Decimal('51.676108'))"
Labozhskoe,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('52.092791'), Decimal('67.329986'))"
Zabaykalsk,2020,2737.0,3101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('114.831553'), Decimal('60.722585'))"
Лешуконское,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('45.739403'), Decimal('64.893683'))"
Lipetsk,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('39.524561'), Decimal('52.698037'))"
Magadan (Falcon),2020,27103.0,26575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('150.73116'), Decimal('59.914272'))"
Magnitogorsk,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('58.761516'), Decimal('53.391002'))"
Mom,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('112.894758'), Decimal('58.314348'))"
Manila,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('165.340345'), Decimal('62.48391'))"
brand,2020,129.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('170.415063'), Decimal('64.668558'))"
Makhachkala (Uytash),2020,120219.0,104198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('47.655707'), Decimal('42.820909'))"
Mezhdurechensk,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not found
Mezen,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('44.214755'), Decimal('65.873771'))"
Milkovo,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('158.568826'), Decimal('54.681956'))"
Mineral water,2020,194038.0,176489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('43.087648'), Decimal('44.217799'))"
Peaceful,2020,27302.0,23348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('114.022431'), Decimal('62.531382'))"
Moscow (Vnukovo),2020,1650445.0,1465291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('37.295014'), Decimal('55.608562'))"
Moscow (Domodedovo),2020,2099024.0,1860818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('37.767995'), Decimal('55.437168'))"
Moscow (Ostafyevo),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not found
Moscow (Sheremetyevo),2020,3366567.0,3098337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('37.405974'), Decimal('55.962962'))"
Мотыгино,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('94.738926'), Decimal('58.181907'))"
Murmansk,2020,98066.0,84717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('32.758163'), Decimal('68.784743'))"
Cape-Stone,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not found
Nadym,2020,16076.0,14927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('72.69258'), Decimal('65.479934'))"
Nazran (Magas),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('44.81624'), Decimal('43.171501'))"
Nalchik,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('43.635863'), Decimal('43.508409'))"
Naryan-Mar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('53.086319'), Decimal('67.633534'))"
Nelkan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('136.162463'), Decimal('57.648494'))"
Nerungri (Chulman),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('124.899763'), Decimal('56.905386'))"
Nes,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('44.666347'), Decimal('66.596872'))"
Nižneangarsk,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('109.599145'), Decimal('55.801344'))"
Nizhnevartovsk,2020,53775.0,49083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('76.494691'), Decimal('60.951112'))"
Kazan (Begiševo),2020,50825.0,49156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('52.101325'), Decimal('55.564404'))"
Nizhny Novgorod (Strigino),2020,64085.0,58831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('43.791127'), Decimal('56.219628'))"
lower Pesha,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('47.722119'), Decimal('66.739662'))"
Nikolaevsk-on-Amur,2020,3141.0,3447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('140.663597'), Decimal('53.149961'))"
Nikolskoye,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('166.043519'), Decimal('55.177036'))"
Novokuznetsk (Spichenkovo),2020,21709.0,21524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('86.864303'), Decimal('53.805377'))"
Novosibirsk (Tolmachyovo),2020,516162.0,458432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('82.667491'), Decimal('55.009425'))"
New Urengoy,2020,77758.0,71281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('76.522422'), Decimal('66.072965'))"
Nogliki,2020,3121.0,3473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('143.140926'), Decimal('51.788476'))"
Norilsk,2020,35028.0,28081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('87.342342'), Decimal('69.325039'))"
Noyabrsk,2020,19086.0,17089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('75.274455'), Decimal('63.181841'))"
Нюрба,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('118.364259'), Decimal('63.298313'))"
Nyagan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('65.605995'), Decimal('62.101946'))"
Luengo,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('156.534636'), Decimal('51.501392'))"
Olekminsk,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('120.464672'), Decimal('60.397143'))"
SUV,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('112.47608'), Decimal('68.514229'))"
ohm,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('46.507902'), Decimal('66.65247'))"
Omolon,2020,65.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('160.545443'), Decimal('65.236944'))"
Omsk (central),2020,101744.0,92466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('73.007305'), Decimal('55.085528'))"
Omsukçan,2020,444.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('155.740193'), Decimal('62.459104'))"
Orenburg (central),2020,53242.0,48524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('55.457063'), Decimal('51.79139'))"
Ossora,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('163.064409'), Decimal('59.232256'))"
Okha,2020,2657.0,3229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('142.890431'), Decimal('53.517945'))"
Okhotsk,2020,1910.0,2104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('143.065575'), Decimal('59.413192'))"
Palana,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('159.892476'), Decimal('59.0835'))"
Pahachi,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('169.120483'), Decimal('60.555631'))"
Pevek,2020,1653.0,2103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('170.602999'), Decimal('69.788315'))"
Penza,2020,13381.0,13702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('45.023041'), Decimal('53.118367'))"
Perm (Bolshoye Savino),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('56.010461'), Decimal('57.91612'))"
Petrozavodsk,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('34.156265'), Decimal('61.877798'))"
Petropavlovsk (Yelizovo),2020,43292.0,38991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('158.425285'), Decimal('53.169328'))"
Pechora,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('57.142913'), Decimal('65.116912'))"
pioneer,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('76.278861'), Decimal('59.152775'))"
Plast,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('136.289996'), Decimal('44.815586'))"
Podkamyennaya Tunguska,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('90.009799'), Decimal('61.599826'))"
Pauline Osipenko,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('136.473657'), Decimal('52.43876'))"
Polar,2020,4742.0,3848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('112.038215'), Decimal('66.400137'))"
Providence (Providence Harbor),2020,202.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('-173.230419'), Decimal('64.38401'))"
Pskov (crosses),2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Decimal('28.392072'), Decimal('57.797486'))"
