,Data,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
41,2015-02-11,"25,38","19,9","30,4","2,2",0.0,26.805
42,2015-02-12,"27,66","23,1","32,7",0,0.0,26.389
43,2015-02-13,"25,54","22,5","32,1",0,0.0,24.219
44,2015-02-14,"24,32","21,1","31,6",0,1.0,30.231
45,2015-02-15,"22,9",20,"27,6","17,4",1.0,24.968
46,2015-02-16,"21,6","18,8","27,3","22,7",0.0,25.343
47,2015-02-17,"22,76","19,7",28,"85,3",0.0,17.399
48,2015-02-18,"22,22","19,9","26,4","13,4",0.0,21.392
49,2015-02-19,"23,92","19,9","28,5","2,4",0.0,22.922
50,2015-02-20,"24,72","21,7","28,2",0,0.0,24.567
51,2015-02-21,"25,2","21,4","31,1",0,1.0,30.943
52,2015-02-22,"24,44","20,4","30,8",0,1.0,30.825
53,2015-02-23,"25,4","20,7","31,4",0,0.0,25.692
54,2015-02-24,"24,3","20,5","31,9",0,0.0,26.959
55,2015-02-25,"22,24","19,3","29,3",2,0.0,25.366
56,2015-02-26,"24,1","19,2","30,3","34,4",0.0,22.784
57,2015-02-27,"24,64","20,4","31,4","0,6",0.0,26.241
58,2015-02-28,"22,4","19,7","27,7",0,1.0,26.467
59,2015-03-01,"21,26","18,2","26,3",3,1.0,27.475
60,2015-03-02,"22,16","17,2","29,2",0,0.0,28.749
61,2015-03-03,"23,16","19,5","29,5",0,0.0,24.146
62,2015-03-04,"23,68","18,9","30,5",0,0.0,22.988
63,2015-03-05,"24,42","19,7","31,6",0,0.0,30.3
64,2015-03-06,"22,6","19,4","28,5",0,0.0,22.654
65,2015-03-07,"21,92","19,4","26,6","38,2",1.0,29.09
66,2015-03-08,"22,2","19,7","24,4","69,2",1.0,24.619
67,2015-03-09,"21,36","19,7","23,3",77,0.0,20.016
68,2015-03-10,"23,12","21,2","26,9","9,7",0.0,23.042
69,2015-03-11,"22,88","20,1","28,1","9,5",0.0,22.933
70,2015-03-12,"22,26","19,2","26,9","1,2",0.0,22.409
71,2015-03-13,"22,34",20,"26,6",0,0.0,21.281
72,2015-03-14,"22,88","19,9","27,9","12,2",1.0,28.844
73,2015-03-15,"22,08","19,1","26,8","0,3",1.0,32.872
74,2015-03-16,"21,92","18,6","29,4","22,4",0.0,20.903
75,2015-03-17,"21,92","18,6","25,6","24,2",0.0,26.275
76,2015-03-18,"21,24","19,7","24,1",0,0.0,20.167
77,2015-03-19,"21,78","19,2","27,1","3,2",0.0,23.628
78,2015-03-20,"21,64","18,9","28,2","7,4",0.0,24.213
79,2015-03-21,"20,88","18,5","25,3","14,7",1.0,28.631
80,2015-03-22,"19,7","18,1","22,8","1,7",1.0,25.855
81,2015-03-23,"19,88","17,1","23,3","19,2",0.0,21.406
82,2015-03-24,"20,98","17,4","26,3",0,0.0,21.617
83,2015-03-25,"21,56","17,1","27,9",0,0.0,22.401
84,2015-03-26,"22,98","18,3","29,8",0,0.0,27.989
85,2015-03-27,"23,32",18,"30,8",0,0.0,24.974
86,2015-03-28,"23,28","19,1","29,5",0,1.0,29.76
87,2015-03-29,"22,14","20,5","26,6",0,1.0,26.116
88,2015-03-30,"22,5",19,"25,9","18,6",0.0,25.85
89,2015-03-31,"23,14","20,1",29,1,0.0,24.925
90,2015-04-01,"22,52","19,2","27,5",0,0.0,21.979
91,2015-04-02,"20,92","18,2","26,2",0,0.0,22.116
92,2015-04-03,"21,02","16,3","27,2",0,0.0,24.867
93,2015-04-04,"22,36","17,9","29,4",0,1.0,33.45
94,2015-04-05,"22,82","20,1","26,4",0,1.0,32.713
95,2015-04-06,"21,36","18,5","27,7",0,0.0,22.356
96,2015-04-07,"17,38","16,1",20,"7,1",0.0,21.004
97,2015-04-08,"18,68","14,7","24,3","0,4",0.0,23.362
98,2015-04-09,"19,4","15,9","25,6",0,0.0,20.298
99,2015-04-10,"20,46",17,"25,5",0,0.0,24.862
100,2015-04-11,"21,74","17,2","28,4",0,1.0,30.505
101,2015-04-12,"19,92","16,8","25,7",0,1.0,25.07
102,2015-04-13,"20,88","18,1","25,7",0,0.0,22.62
103,2015-04-14,"21,7","18,4","28,8",0,0.0,22.001
104,2015-04-15,"21,94","18,5","27,4",0,0.0,23.469
105,2015-04-16,"21,26","18,6","26,7","25,4",0.0,21.735
106,2015-04-17,"21,42","18,4",27,"37,2",0.0,21.593
107,2015-04-18,"23,36","18,2","29,3",0,1.0,33.822
108,2015-04-19,"22,5","20,3","27,2",0,1.0,28.028
109,2015-04-20,24,"19,3","29,2","20,2",0.0,24.304
110,2015-04-21,"22,52","19,3",29,0,0.0,31.108
111,2015-04-22,"20,06","18,9","21,6","2,4",0.0,19.113
112,2015-04-23,"21,2","18,6","24,9","14,6",0.0,23.198
113,2015-04-24,"22,52","19,3","28,1",0,0.0,24.388
114,2015-04-25,"19,18","17,4","23,3",0,1.0,27.42
115,2015-04-26,"19,04","16,1","23,7","0,8",1.0,30.479
116,2015-04-27,"19,82","17,5","24,9",0,0.0,21.838
117,2015-04-28,"20,26","17,2","26,9",0,0.0,20.812
118,2015-04-29,"18,66","16,8","22,7",0,0.0,19.761
119,2015-04-30,"16,22","14,7","18,7",0,0.0,20.452
120,2015-05-01,"17,34","13,4",22,0,0.0,17.939
121,2015-05-02,"19,26","14,7","26,4",0,1.0,25.272
122,2015-05-03,"21,04","15,8","26,3",0,1.0,28.049
123,2015-05-04,"19,96","17,9","22,3",1,0.0,25.317
124,2015-05-05,"18,14","16,6","20,8","9,9",0.0,21.826
125,2015-05-06,"17,76","15,9","20,4",0,0.0,20.68
126,2015-05-07,"17,8","15,8","21,7",0,0.0,19.143
127,2015-05-08,"16,14","13,9","19,2",0,0.0,18.146
128,2015-05-09,"18,04","13,7","26,1",0,1.0,25.489
129,2015-05-10,"16,94","13,7",21,0,1.0,23.537
130,2015-05-11,"17,86","15,7","20,6","22,2",0.0,16.956
131,2015-05-12,"17,12","14,2","21,7",0,0.0,19.052
132,2015-05-13,"16,34","14,7","18,9","2,8",0.0,17.287
133,2015-05-14,"16,72","14,2",21,0,0.0,20.3
134,2015-05-15,"16,84","13,6","21,5",0,0.0,20.538
135,2015-05-16,"17,18","13,2","22,3",0,1.0,23.702
136,2015-05-17,"18,26","15,4","22,4",0,1.0,28.411
137,2015-05-18,"18,6","16,6","21,3",0,0.0,21.073
138,2015-05-19,"18,64",17,"22,9",0,0.0,24.215
139,2015-05-20,"18,74","15,9","23,3","0,2",0.0,19.525
140,2015-05-21,"19,46","16,3",25,0,0.0,20.786
141,2015-05-22,"20,26","16,3","25,4",0,0.0,20.429
142,2015-05-23,"19,94","15,9","24,4",0,1.0,27.25
143,2015-05-24,"21,8","17,9","26,3",0,1.0,31.387
144,2015-05-25,"22,06","17,5","27,4",0,0.0,26.075
145,2015-05-26,"21,28","19,7","24,8",0,0.0,22.162
146,2015-05-27,"22,94","19,7","27,1",0,0.0,24.258
147,2015-05-28,"18,56","16,8","23,2","1,8",0.0,24.683
148,2015-05-29,"17,68","15,3","21,9","7,2",0.0,21.245
149,2015-05-30,"17,52","13,1","22,9",0,1.0,25.937
150,2015-05-31,"16,28","13,6","18,4","5,6",1.0,26.081
151,2015-06-01,"16,28","15,2",18,"2,2",0.0,16.228
152,2015-06-02,"16,04",15,"17,5","0,5",0.0,20.106
153,2015-06-03,"17,94",15,"21,7",0,0.0,21.055
154,2015-06-04,"18,36","14,6","24,1",0,0.0,22.772
155,2015-06-05,"18,32","14,1","25,3",0,0.0,25.142
156,2015-06-06,"19,66","13,8","26,1",0,1.0,31.129
157,2015-06-07,"20,62","15,9","26,2",0,1.0,30.498
158,2015-06-08,"20,86","15,2","26,4",0,0.0,26.15
159,2015-06-09,"20,32","15,2",26,0,0.0,21.327
160,2015-06-10,"20,54","15,5","26,2",0,0.0,22.008
161,2015-06-11,"22,72","17,5","26,9",0,0.0,24.615
162,2015-06-12,"18,8","16,9","23,5",0,0.0,22.375
163,2015-06-13,"21,1","15,5","27,4",0,1.0,29.607
164,2015-06-14,"22,76","18,1","27,3",0,1.0,32.983
165,2015-06-15,"16,02","13,1","23,4",0,0.0,19.119
166,2015-06-16,"14,82","12,1","18,1",9,0.0,21.029
167,2015-06-17,"19,8","13,9","25,1",0,0.0,23.898
168,2015-06-18,"19,88","15,8","26,2",0,0.0,24.534
169,2015-06-19,"14,66","13,2","17,7","3,8",0.0,16.748
170,2015-06-20,"15,82","12,5","20,4",0,1.0,23.055
171,2015-06-21,"17,32","12,6","24,6",0,1.0,28.857
172,2015-06-22,"18,54","13,1","24,6",0,0.0,23.022
173,2015-06-23,"19,02","14,4","25,5",0,0.0,27.146
174,2015-06-24,"14,54","13,9",18,"3,8",0.0,17.241
175,2015-06-25,"14,72","12,1","17,4",1,0.0,19.463
176,2015-06-26,"15,26",12,"20,9",0,0.0,21.86
177,2015-06-27,"15,34","10,6","20,8",0,1.0,24.227
178,2015-06-28,"15,48","11,2","21,8",0,1.0,27.594
179,2015-06-29,"17,2",11,"24,4",0,0.0,24.863
180,2015-06-30,"19,36","13,2","25,1",0,0.0,20.161
181,2015-07-01,"17,78","16,2","20,5",0,0.0,20.824
182,2015-07-02,"17,2","15,1","19,9","1,6",0.0,19.727
183,2015-07-03,"17,52","15,6","18,4","17,8",0.0,14.94
184,2015-07-04,"14,94","10,9",21,"15,2",1.0,24.632
185,2015-07-05,"12,9",11,"14,5","4,4",1.0,21.294
186,2015-07-06,"15,78","11,3","20,6",0,0.0,18.448
187,2015-07-07,"16,8","13,3","20,2",0,0.0,21.237
188,2015-07-08,"17,02","14,9","18,7","4,5",0.0,19.849
189,2015-07-09,"17,54","15,3","20,4",0,0.0,20.74
190,2015-07-10,"19,24",14,"25,4",0,0.0,25.698
191,2015-07-11,"17,46",16,"19,8",0,1.0,26.691
192,2015-07-12,"20,32",14,"27,4",3,1.0,33.298
193,2015-07-13,"22,06","16,7","28,7",0,0.0,25.64
194,2015-07-14,"23,3","18,4","29,3",0,0.0,23.937
195,2015-07-15,"20,18","17,2","27,6",0,0.0,28.742
196,2015-07-16,"19,88","16,2","25,8",0,0.0,21.748
197,2015-07-17,"19,14","15,8","24,3",0,0.0,22.032
198,2015-07-18,"20,2","18,2","23,8",0,1.0,24.827
199,2015-07-19,"19,98","14,6","25,9",0,1.0,32.473
200,2015-07-20,"20,56","14,9","25,1",0,0.0,20.62
201,2015-07-21,"16,72",14,"21,4",0,0.0,21.825
202,2015-07-22,"14,52","12,8","16,1",0,0.0,14.343
203,2015-07-23,"17,02","13,6","20,6",0,0.0,19.029
204,2015-07-24,"18,46","14,3","25,8",0,0.0,21.104
205,2015-07-25,"15,9","14,9","17,9","16,6",1.0,20.738
206,2015-07-26,"16,82","13,6","22,9",2,1.0,25.233
207,2015-07-27,"16,6",11,"24,2",0,0.0,18.975
208,2015-07-28,"16,46","11,6","24,5",0,0.0,19.64
209,2015-07-29,"16,2",11,"23,8",0,0.0,22.522
210,2015-07-30,"16,76","11,3","26,7",0,0.0,24.227
211,2015-07-31,"19,24","12,8","26,6",0,0.0,24.726
212,2015-08-01,"19,78","14,3","26,4",0,1.0,32.467
213,2015-08-02,"20,1","13,8","26,3",0,1.0,31.663
214,2015-08-03,"21,16","14,9","26,9",0,0.0,25.867
215,2015-08-04,"21,04","15,2","27,4",0,0.0,27.724
216,2015-08-05,"20,96",15,"27,2",0,0.0,22.039
217,2015-08-06,"21,06","16,3","27,7",0,0.0,26.127
218,2015-08-07,"22,08","15,5","28,9",0,0.0,26.58
219,2015-08-08,"21,16",16,"27,8",0,1.0,31.31
220,2015-08-09,"19,62","15,6","26,2",0,1.0,33.517
221,2015-08-10,"21,2","15,6",28,0,0.0,23.181
222,2015-08-11,"19,6","15,2","27,2",0,0.0,24.183
223,2015-08-12,"20,12","14,1","26,6",0,0.0,24.594
224,2015-08-13,"20,42","14,1","28,1",0,0.0,22.61
225,2015-08-14,"20,86","15,3","27,6",0,0.0,25.479
226,2015-08-15,"21,44","15,6","27,8",0,1.0,29.621
227,2015-08-16,"20,56","16,2","27,2",0,1.0,26.272
228,2015-08-17,"21,58","15,3",28,0,0.0,22.541
229,2015-08-18,"21,3","16,7","26,5",0,0.0,23.07
230,2015-08-19,"20,74","17,3","28,3",0,0.0,26.021
231,2015-08-20,"16,2","14,8","19,6",0,0.0,17.655
232,2015-08-21,"16,84","13,2","22,1",1,0.0,23.243
233,2015-08-22,"18,08","14,1","26,2",0,1.0,30.177
234,2015-08-23,"20,22","13,5",30,0,1.0,27.518
235,2015-08-24,"16,98","15,1","20,5",0,0.0,23.21
236,2015-08-25,"16,98","14,3","20,5","2,4",0.0,21.092
237,2015-08-26,"18,92","14,8",24,"0,6",0.0,23.357
238,2015-08-27,"16,1","13,8","19,8","2,6",0.0,17.888
239,2015-08-28,"16,28","12,8","22,1",25,0.0,22.217
240,2015-08-29,"18,46","12,2","26,7",0,1.0,31.681
241,2015-08-30,"22,52","14,3",32,0,1.0,31.833
242,2015-08-31,"24,54","16,6","32,2",0,0.0,28.441
243,2015-09-01,"21,44","17,2","30,7",0,0.0,22.389
244,2015-09-02,"16,1","14,1","20,2","0,4",0.0,20.681
245,2015-09-03,"19,3","14,8",25,0,0.0,24.222
246,2015-09-04,"16,66","15,2","19,3",0,0.0,19.345
247,2015-09-05,"16,12","14,4","18,5","2,4",1.0,21.827
248,2015-09-06,"16,48","13,3","19,9",0,1.0,23.566
249,2015-09-07,"18,72","13,8","24,4","0,1",0.0,20.227
250,2015-09-08,"17,08","15,8","19,2","23,6",0.0,17.075
251,2015-09-09,"18,82","15,8","22,9",58,0.0,16.977
252,2015-09-10,"18,92","13,9","25,6",0,0.0,21.525
253,2015-09-11,"16,88","14,1","21,8","31,8",0.0,21.454
254,2015-09-12,14,"12,8","15,6","27,6",1.0,21.814
255,2015-09-13,"14,18","12,5","16,1",0,1.0,21.252
256,2015-09-14,"16,46",13,"22,5","0,2",0.0,20.464
257,2015-09-15,"21,18","14,4","30,1",0,0.0,30.775
258,2015-09-16,"25,24","17,2","32,6",0,0.0,25.343
259,2015-09-17,"27,26","20,4",33,0,0.0,33.93
260,2015-09-18,"28,06","21,3","34,5",0,0.0,26.311
261,2015-09-19,28,"21,1","35,5",0,1.0,31.836
262,2015-09-20,"23,6","19,2","33,3",0,1.0,34.695
263,2015-09-21,"24,72","17,4","32,8",0,0.0,29.829
264,2015-09-22,"25,7","18,9","33,3",0,0.0,26.362
265,2015-09-23,"26,14","18,3",34,0,0.0,32.589
266,2015-09-24,"28,3","20,5","35,3",0,0.0,30.345
267,2015-09-25,"23,24","19,2","30,3",0,0.0,29.411
268,2015-09-26,"20,58","18,2","24,9","28,6",1.0,29.637
269,2015-09-27,"22,3","18,2","30,6","1,8",1.0,32.184
270,2015-09-28,"21,22","17,5","23,6","27,2",0.0,17.731
271,2015-09-29,"21,8","17,5","27,1",0,0.0,24.114
272,2015-09-30,"21,52","18,6","27,6",0,0.0,28.034
273,2015-10-01,"20,96","17,6","26,4","7,6",0.0,22.664
274,2015-10-02,"24,74","19,3","32,7",0,0.0,27.488
275,2015-10-03,"20,28","16,1",25,25,1.0,24.876
276,2015-10-04,"18,6","17,1","21,3","0,2",1.0,24.862
277,2015-10-05,"17,36","14,8","22,4",0,0.0,24.679
278,2015-10-06,"18,26","14,6","24,7",0,0.0,22.304
279,2015-10-07,"24,5","15,9","32,6",0,0.0,30.329
280,2015-10-08,"26,56","19,3",34,0,0.0,33.182
281,2015-10-09,"24,52","19,8",29,0,0.0,23.849
282,2015-10-10,"23,06","19,6",28,"0,3",1.0,33.33
283,2015-10-11,"22,48","19,6",30,0,1.0,34.496
284,2015-10-12,"22,76",19,"29,6",0,0.0,26.249
285,2015-10-13,"21,4","18,1","27,6","2,4",0.0,26.523
286,2015-10-14,"23,62","18,2","28,5",0,0.0,26.793
287,2015-10-15,"28,12","18,9","35,8",0,0.0,35.861
288,2015-10-16,"26,24","21,3","35,7",0,0.0,27.387
289,2015-10-17,"21,22","17,3","29,2",0,1.0,32.666
290,2015-10-18,"16,76","15,5","19,2","0,1",1.0,22.199
291,2015-10-19,"19,86","15,5","27,2",0,0.0,24.0
292,2015-10-20,"26,3","17,2","35,3",0,0.0,27.871
293,2015-10-21,"24,62","21,3",32,0,0.0,31.139
294,2015-10-22,"19,9","17,7","22,8","14,6",0.0,23.065
295,2015-10-23,"20,5","17,6","27,3","13,4",0.0,26.594
296,2015-10-24,"17,94","16,2","21,2",0,1.0,27.657
297,2015-10-25,"17,64","15,7","19,2",0,1.0,26.594
298,2015-10-26,"20,86",16,"28,5","28,4",0.0,28.084
299,2015-10-27,22,"19,1","28,4","0,1",0.0,27.582
300,2015-10-28,"20,42","18,6","23,9",0,0.0,24.862
301,2015-10-29,"20,56","18,2","24,8",0,0.0,22.634
302,2015-10-30,"23,86","19,1","31,2",0,0.0,31.649
303,2015-10-31,"23,18","18,2","29,3",0,1.0,35.781
304,2015-11-01,"20,22","18,7","22,4","27,2",1.0,24.429
305,2015-11-02,"21,82","18,3","27,2","39,6",0.0,20.648
306,2015-11-03,"21,86","19,5","25,6","3,4",0.0,22.741
307,2015-11-04,"21,52","18,6","27,4","6,8",0.0,21.479
308,2015-11-05,"21,8","18,2","24,8","39,3",0.0,23.134
309,2015-11-06,"19,76",18,"22,8",0,0.0,20.575
310,2015-11-07,"18,3","16,8",20,"1,2",1.0,24.33
311,2015-11-08,"20,24","17,4","23,9","0,6",1.0,28.61
312,2015-11-09,"22,98","18,7","29,5","4,4",0.0,28.456
313,2015-11-10,"23,72","19,4","31,8","10,4",0.0,27.964
314,2015-11-11,"26,2","19,8","32,7",0,0.0,29.569
315,2015-11-12,"23,78","20,8","31,8",0,0.0,29.267
316,2015-11-13,"22,78","19,4","29,6",0,0.0,28.647
317,2015-11-14,"25,06","19,5","30,4","16,4",1.0,26.836
318,2015-11-15,"23,06","19,8","29,7",8,1.0,29.386
319,2015-11-16,"21,16","19,4","24,9",0,0.0,24.609
320,2015-11-17,"21,76","17,7","29,7",0,0.0,26.964
321,2015-11-18,"25,5","17,6","30,5","14,1",0.0,23.614
322,2015-11-19,"26,16","23,3","30,4",0,0.0,22.96
323,2015-11-20,"23,28","19,6",27,"6,8",0.0,20.332
324,2015-11-21,"19,44","17,2","24,4","7,2",1.0,30.392
325,2015-11-22,"22,26","17,1","28,8",0,1.0,31.933
326,2015-11-23,"20,8","19,6","23,6","13,6",0.0,21.662
327,2015-11-24,"21,36","19,3","22,6",7,0.0,21.689
328,2015-11-25,"21,26","19,3","24,8","0,4",0.0,25.119
329,2015-11-26,"22,28",19,"27,4",0,0.0,25.285
330,2015-11-27,"22,28","17,6","28,4",0,0.0,28.979
331,2015-11-28,"23,7","18,7","29,8",0,1.0,34.382
332,2015-11-29,"22,38","20,5",26,"17,4",1.0,30.617
333,2015-11-30,"19,1","16,7","23,3","23,4",0.0,20.238
334,2015-12-01,"20,1","16,4","25,8",0,0.0,24.529
335,2015-12-02,"22,1","18,2","29,4",0,0.0,30.471
336,2015-12-03,"22,44","20,2","26,1",0,0.0,28.405
337,2015-12-04,"22,76",19,"29,1",0,0.0,29.513
338,2015-12-05,"24,8","19,5","30,6","0,1",1.0,32.451
339,2015-12-06,"23,12","20,6",28,"0,1",1.0,32.78
340,2015-12-07,"20,04",18,"23,9","47,8",0.0,23.375
341,2015-12-08,"21,7",18,28,0,0.0,27.713
342,2015-12-09,"23,96","19,6","27,9",0,0.0,27.137
343,2015-12-10,24,"22,2","27,7",0,0.0,22.933
344,2015-12-11,"24,04","20,7","30,3",0,0.0,30.74
345,2015-12-12,"23,92","20,6","30,8",0,1.0,29.579
346,2015-12-13,"24,54","19,3",31,"12,2",1.0,29.188
347,2015-12-14,"26,28","21,1","32,5",2,0.0,28.131
348,2015-12-15,"25,66","20,6","32,8",4,0.0,28.617
349,2015-12-16,"22,04","20,7","24,8","1,5",0.0,21.062
350,2015-12-17,"23,32","18,9","28,7",0,0.0,24.337
351,2015-12-18,"26,42","19,6","33,5","0,1",0.0,27.042
352,2015-12-19,"23,74","19,8","31,3","1,3",1.0,32.536
353,2015-12-20,"22,84","19,6",29,"8,4",1.0,30.127
354,2015-12-21,"23,12","19,6","29,1","27,2",0.0,24.834
355,2015-12-22,"24,6","19,6","32,4",43,0.0,26.828
356,2015-12-23,"27,46","22,1","32,4",3,0.0,26.468
357,2015-12-24,"24,72","20,5","31,5","3,4",0.0,31.572
358,2015-12-25,"23,58","17,8",31,39,0.0,26.308
359,2015-12-26,"23,34","17,8","29,8","94,8",1.0,21.955
360,2015-12-27,24,"21,1","28,2","13,6",1.0,32.307
361,2015-12-28,"22,64","21,1","26,7",0,0.0,26.095
362,2015-12-29,"21,68","20,3","24,1","10,3",0.0,22.309
363,2015-12-30,"21,38","19,3","22,4","6,3",0.0,20.467
364,2015-12-31,"24,76","20,2",29,0,0.0,22.446
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,,,,,,,
391,,,,,,,
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
400,,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,,,,,,,
445,,,,,,,
446,,,,,,,
447,,,,,,,
448,,,,,,,
449,,,,,,,
450,,,,,,,
451,,,,,,,
452,,,,,,,
453,,,,,,,
454,,,,,,,
455,,,,,,,
456,,,,,,,
457,,,,,,,
458,,,,,,,
459,,,,,,,
460,,,,,,,
461,,,,,,,
462,,,,,,,
463,,,,,,,
464,,,,,,,
465,,,,,,,
466,,,,,,,
467,,,,,,,
468,,,,,,,
469,,,,,,,
470,,,,,,,
471,,,,,,,
472,,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,,,,,,,
483,,,,,,,
484,,,,,,,
485,,,,,,,
486,,,,,,,
487,,,,,,,
488,,,,,,,
489,,,,,,,
490,,,,,,,
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,,,,,,,
495,,,,,,,
496,,,,,,,
497,,,,,,,
498,,,,,,,
499,,,,,,,
500,,,,,,,
501,,,,,,,
502,,,,,,,
503,,,,,,,
504,,,,,,,
505,,,,,,,
506,,,,,,,
507,,,,,,,
508,,,,,,,
509,,,,,,,
510,,,,,,,
511,,,,,,,
512,,,,,,,
513,,,,,,,
514,,,,,,,
515,,,,,,,
516,,,,,,,
517,,,,,,,
518,,,,,,,
519,,,,,,,
520,,,,,,,
521,,,,,,,
522,,,,,,,
523,,,,,,,
524,,,,,,,
525,,,,,,,
526,,,,,,,
527,,,,,,,
528,,,,,,,
529,,,,,,,
530,,,,,,,
531,,,,,,,
532,,,,,,,
533,,,,,,,
534,,,,,,,
535,,,,,,,
536,,,,,,,
537,,,,,,,
538,,,,,,,
539,,,,,,,
540,,,,,,,
541,,,,,,,
542,,,,,,,
543,,,,,,,
544,,,,,,,
545,,,,,,,
546,,,,,,,
547,,,,,,,
548,,,,,,,
549,,,,,,,
550,,,,,,,
551,,,,,,,
552,,,,,,,
553,,,,,,,
554,,,,,,,
555,,,,,,,
556,,,,,,,
557,,,,,,,
558,,,,,,,
559,,,,,,,
560,,,,,,,
561,,,,,,,
562,,,,,,,
563,,,,,,,
564,,,,,,,
565,,,,,,,
566,,,,,,,
567,,,,,,,
568,,,,,,,
569,,,,,,,
570,,,,,,,
571,,,,,,,
572,,,,,,,
573,,,,,,,
574,,,,,,,
575,,,,,,,
576,,,,,,,
577,,,,,,,
578,,,,,,,
579,,,,,,,
580,,,,,,,
581,,,,,,,
582,,,,,,,
583,,,,,,,
584,,,,,,,
585,,,,,,,
586,,,,,,,
587,,,,,,,
588,,,,,,,
589,,,,,,,
590,,,,,,,
591,,,,,,,
592,,,,,,,
