Retailer;Retailer ID;Invoice Date;Region;State;City;Product;Price per Unit;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
Walmart;1197831;08/27/20;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;700;$280,000 ;$126,000 ;45%;Outlet
Walmart;1197831;08/28/20;South;Texas;Houston;Men's Apparel;$45.00 ;700;$315,000 ;$94,500 ;30%;Outlet
Walmart;1197831;08/29/20;South;Texas;Houston;Women's Apparel;$50.00 ;975;$487,500 ;$243,750 ;50%;Outlet
Walmart;1197831;08/30/20;South;Texas;Houston;Men's Street Footwear;$40.00 ;925;$370,000 ;$129,500 ;35%;Outlet
Walmart;1197831;08/31/20;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;925;$416,250 ;$145,688 ;35%;Outlet
Walmart;1197831;09/01/20;South;Texas;Houston;Women's Street Footwear;$40.00 ;1,100;$440,000 ;$154,000 ;35%;Outlet
Walmart;1197831;09/02/20;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;650;$260,000 ;$117,000 ;45%;Outlet
Walmart;1197831;09/03/20;South;Texas;Houston;Men's Apparel;$45.00 ;650;$292,500 ;$87,750 ;30%;Outlet
Walmart;1197831;09/04/20;South;Texas;Houston;Women's Apparel;$50.00 ;900;$450,000 ;$225,000 ;50%;Outlet
Walmart;1197831;09/05/20;South;Texas;Houston;Men's Street Footwear;$45.00 ;850;$382,500 ;$133,875 ;35%;Outlet
Walmart;1197831;09/06/20;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;850;$382,500 ;$133,875 ;35%;Outlet
Walmart;1197831;09/07/20;South;Texas;Houston;Women's Street Footwear;$50.00 ;900;$450,000 ;$157,500 ;35%;Outlet
Walmart;1197831;09/08/20;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;625;$312,500 ;$140,625 ;45%;Outlet
Walmart;1197831;09/09/20;South;Texas;Houston;Men's Apparel;$45.00 ;625;$281,250 ;$84,375 ;30%;Outlet
Walmart;1197831;09/10/20;South;Texas;Houston;Women's Apparel;$55.00 ;850;$467,500 ;$233,750 ;50%;Outlet
Walmart;1197831;09/11/20;South;Texas;Houston;Men's Street Footwear;$45.00 ;800;$360,000 ;$126,000 ;35%;Outlet
Walmart;1197831;09/12/20;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;800;$360,000 ;$126,000 ;35%;Outlet
Walmart;1197831;09/13/20;South;Texas;Houston;Women's Street Footwear;$50.00 ;750;$375,000 ;$131,250 ;35%;Outlet
Walmart;1197831;09/14/20;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;600;$300,000 ;$135,000 ;45%;Outlet
Walmart;1197831;09/15/20;South;Texas;Houston;Men's Apparel;$45.00 ;575;$258,750 ;$77,625 ;30%;Outlet
Walmart;1197831;09/16/20;South;Texas;Houston;Women's Apparel;$55.00 ;750;$412,500 ;$206,250 ;50%;Outlet
Walmart;1197831;10/20/20;South;Texas;Houston;Men's Street Footwear;$45.00 ;900;$405,000 ;$141,750 ;35%;Outlet
Walmart;1197831;10/21/20;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;900;$405,000 ;$141,750 ;35%;Outlet
Walmart;1197831;10/22/20;South;Texas;Houston;Women's Street Footwear;$50.00 ;825;$412,500 ;$144,375 ;35%;Outlet
Walmart;1197831;10/23/20;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;675;$337,500 ;$151,875 ;45%;Outlet
Walmart;1197831;10/24/20;South;Texas;Houston;Men's Apparel;$45.00 ;650;$292,500 ;$87,750 ;30%;Outlet
Walmart;1197831;10/25/20;South;Texas;Houston;Women's Apparel;$55.00 ;850;$467,500 ;$233,750 ;50%;Outlet
Walmart;1197831;10/26/20;South;Texas;Houston;Men's Street Footwear;$45.00 ;950;$427,500 ;$149,625 ;35%;Outlet
Walmart;1197831;10/27/20;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;950;$427,500 ;$149,625 ;35%;Outlet
Walmart;1197831;10/28/20;South;Texas;Houston;Women's Street Footwear;$50.00 ;850;$425,000 ;$148,750 ;35%;Outlet
Walmart;1197831;10/29/20;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;700;$350,000 ;$157,500 ;45%;Outlet
Walmart;1197831;10/30/20;South;Texas;Houston;Men's Apparel;$45.00 ;650;$292,500 ;$87,750 ;30%;Outlet
Walmart;1197831;10/31/20;South;Texas;Houston;Women's Apparel;$55.00 ;900;$495,000 ;$247,500 ;50%;Outlet
West Gear;1128299;11/01/20;South;Texas;Houston;Men's Street Footwear;$40.00 ;775;$310,000 ;$108,500 ;35%;Outlet
West Gear;1128299;11/02/20;South;Texas;Houston;Men's Athletic Footwear;$50.00 ;775;$387,500 ;$77,500 ;20%;Outlet
West Gear;1128299;11/03/20;South;Texas;Houston;Women's Street Footwear;$50.00 ;775;$387,500 ;$135,625 ;35%;Outlet
West Gear;1128299;11/04/20;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;625;$312,500 ;$93,750 ;30%;Outlet
West Gear;1128299;11/05/20;West;California;San Francisco;Men's Apparel;$55.00 ;575;$316,250 ;$158,125 ;50%;Outlet
West Gear;1128299;11/06/20;West;California;San Francisco;Women's Apparel;$50.00 ;775;$387,500 ;$58,125 ;15%;Outlet
West Gear;1128299;11/07/20;West;California;San Francisco;Men's Street Footwear;$40.00 ;825;$330,000 ;$115,500 ;35%;Outlet
West Gear;1128299;11/08/20;West;California;San Francisco;Men's Athletic Footwear;$50.00 ;725;$362,500 ;$72,500 ;20%;Outlet
West Gear;1128299;11/09/20;West;California;San Francisco;Women's Street Footwear;$50.00 ;725;$362,500 ;$126,875 ;35%;Outlet
West Gear;1128299;11/10/20;West;California;San Francisco;Women's Athletic Footwear;$50.00 ;575;$287,500 ;$86,250 ;30%;Outlet
West Gear;1128299;11/11/20;West;California;San Francisco;Men's Apparel;$55.00 ;500;$275,000 ;$137,500 ;50%;Outlet
West Gear;1128299;11/12/20;West;California;San Francisco;Women's Apparel;$50.00 ;700;$350,000 ;$52,500 ;15%;Outlet
West Gear;1128299;11/13/20;West;California;San Francisco;Men's Street Footwear;$50.00 ;850;$425,000 ;$148,750 ;35%;Outlet
West Gear;1128299;11/14/20;West;California;San Francisco;Men's Athletic Footwear;$60.00 ;700;$420,000 ;$84,000 ;20%;Outlet
West Gear;1128299;11/15/20;West;California;San Francisco;Women's Street Footwear;$60.00 ;700;$420,000 ;$147,000 ;35%;Outlet
West Gear;1128299;12/22/20;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;600;$360,000 ;$108,000 ;30%;Outlet
West Gear;1128299;12/23/20;West;California;San Francisco;Men's Apparel;$65.00 ;500;$325,000 ;$162,500 ;50%;Outlet
West Gear;1128299;12/24/20;West;California;San Francisco;Women's Apparel;$60.00 ;700;$420,000 ;$63,000 ;15%;Outlet
West Gear;1128299;12/25/20;West;California;San Francisco;Men's Street Footwear;$60.00 ;875;$525,000 ;$183,750 ;35%;Outlet
West Gear;1128299;12/26/20;West;California;San Francisco;Men's Athletic Footwear;$65.00 ;675;$438,750 ;$87,750 ;20%;Outlet
West Gear;1128299;12/27/20;West;California;San Francisco;Women's Street Footwear;$65.00 ;725;$471,250 ;$164,938 ;35%;Outlet
West Gear;1128299;12/28/20;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;625;$375,000 ;$112,500 ;30%;Outlet
West Gear;1128299;12/29/20;West;California;San Francisco;Men's Apparel;$65.00 ;525;$341,250 ;$170,625 ;50%;Outlet
West Gear;1128299;12/30/20;West;California;San Francisco;Women's Apparel;$80.00 ;700;$560,000 ;$84,000 ;15%;Outlet
West Gear;1128299;12/31/20;West;California;San Francisco;Men's Street Footwear;$60.00 ;900;$540,000 ;$216,000 ;40%;Outlet
West Gear;1128299;01/01/21;West;California;San Francisco;Men's Athletic Footwear;$65.00 ;750;$487,500 ;$121,875 ;25%;Outlet
West Gear;1128299;01/02/21;West;California;San Francisco;Women's Street Footwear;$65.00 ;750;$487,500 ;$195,000 ;40%;Outlet
West Gear;1128299;01/03/21;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;650;$390,000 ;$136,500 ;35%;Outlet
West Gear;1128299;01/04/21;West;California;San Francisco;Men's Apparel;$65.00 ;550;$357,500 ;$196,625 ;55%;Outlet
West Gear;1128299;01/05/21;West;California;San Francisco;Women's Apparel;$80.00 ;725;$580,000 ;$116,000 ;20%;Outlet
West Gear;1128299;01/06/21;West;California;San Francisco;Men's Street Footwear;$60.00 ;975;$585,000 ;$234,000 ;40%;Outlet
West Gear;1128299;01/07/21;West;California;San Francisco;Men's Athletic Footwear;$65.00 ;825;$536,250 ;$134,063 ;25%;Outlet
West Gear;1128299;01/08/21;West;California;San Francisco;Women's Street Footwear;$65.00 ;825;$536,250 ;$214,500 ;40%;Outlet
West Gear;1128299;01/09/21;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;700;$420,000 ;$147,000 ;35%;Outlet
West Gear;1128299;01/10/21;West;California;San Francisco;Men's Apparel;$65.00 ;575;$373,750 ;$205,563 ;55%;Outlet
West Gear;1128299;01/11/21;West;California;San Francisco;Women's Apparel;$80.00 ;875;$700,000 ;$140,000 ;20%;Outlet
West Gear;1128299;01/12/21;West;California;San Francisco;Men's Street Footwear;$60.00 ;1,025;$615,000 ;$215,250 ;35%;Outlet
West Gear;1128299;01/13/21;West;California;San Francisco;Men's Athletic Footwear;$65.00 ;875;$568,750 ;$113,750 ;20%;Outlet
West Gear;1128299;01/14/21;West;California;San Francisco;Women's Street Footwear;$65.00 ;825;$536,250 ;$187,688 ;35%;Outlet
West Gear;1128299;01/15/21;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;725;$435,000 ;$130,500 ;30%;Outlet
West Gear;1128299;01/16/21;West;California;San Francisco;Men's Apparel;$65.00 ;775;$503,750 ;$251,875 ;50%;Outlet
West Gear;1128299;01/17/21;West;California;San Francisco;Women's Apparel;$80.00 ;775;$620,000 ;$93,000 ;15%;Outlet
West Gear;1128299;01/18/21;West;California;San Francisco;Men's Street Footwear;$65.00 ;975;$633,750 ;$221,813 ;35%;Outlet
West Gear;1128299;01/19/21;West;California;San Francisco;Men's Athletic Footwear;$70.00 ;925;$647,500 ;$129,500 ;20%;Outlet
West Gear;1128299;01/20/21;West;California;San Francisco;Women's Street Footwear;$65.00 ;800;$520,000 ;$182,000 ;35%;Outlet
West Gear;1128299;01/21/21;West;California;San Francisco;Women's Athletic Footwear;$65.00 ;750;$487,500 ;$146,250 ;30%;Outlet
West Gear;1128299;01/22/21;West;California;San Francisco;Men's Apparel;$75.00 ;750;$562,500 ;$281,250 ;50%;Outlet
West Gear;1128299;01/23/21;West;California;San Francisco;Women's Apparel;$80.00 ;725;$580,000 ;$87,000 ;15%;Outlet
West Gear;1128299;01/24/21;West;California;San Francisco;Men's Street Footwear;$55.00 ;925;$508,750 ;$152,625 ;30%;Outlet
West Gear;1128299;01/25/21;West;California;San Francisco;Men's Athletic Footwear;$60.00 ;925;$555,000 ;$83,250 ;15%;Outlet
West Gear;1128299;01/26/21;West;California;San Francisco;Women's Street Footwear;$55.00 ;775;$426,250 ;$127,875 ;30%;Outlet
West Gear;1128299;01/27/21;West;California;San Francisco;Women's Athletic Footwear;$55.00 ;725;$398,750 ;$99,688 ;25%;Outlet
West Gear;1128299;01/28/21;West;California;San Francisco;Men's Apparel;$65.00 ;725;$471,250 ;$212,063 ;45%;Outlet
West Gear;1128299;01/29/21;West;California;San Francisco;Women's Apparel;$70.00 ;775;$542,500 ;$54,250 ;10%;Outlet
West Gear;1128299;01/30/21;West;California;San Francisco;Men's Street Footwear;$55.00 ;875;$481,250 ;$144,375 ;30%;Outlet
West Gear;1128299;01/31/21;West;California;San Francisco;Men's Athletic Footwear;$60.00 ;875;$525,000 ;$78,750 ;15%;Outlet
West Gear;1128299;02/01/21;West;California;San Francisco;Women's Street Footwear;$55.00 ;700;$385,000 ;$115,500 ;30%;Outlet
West Gear;1128299;02/02/21;West;California;San Francisco;Women's Athletic Footwear;$55.00 ;675;$371,250 ;$92,813 ;25%;Outlet
West Gear;1128299;02/03/21;West;California;San Francisco;Men's Apparel;$65.00 ;650;$422,500 ;$190,125 ;45%;Outlet
West Gear;1128299;02/04/21;West;California;San Francisco;Women's Apparel;$70.00 ;700;$490,000 ;$49,000 ;10%;Outlet
West Gear;1128299;02/05/21;West;California;San Francisco;Men's Street Footwear;$55.00 ;875;$481,250 ;$144,375 ;30%;Outlet
West Gear;1128299;02/06/21;West;California;San Francisco;Men's Athletic Footwear;$60.00 ;875;$525,000 ;$78,750 ;15%;Outlet
West Gear;1128299;02/07/21;West;California;San Francisco;Women's Street Footwear;$55.00 ;725;$398,750 ;$119,625 ;30%;Outlet
West Gear;1128299;02/08/21;West;California;San Francisco;Women's Athletic Footwear;$55.00 ;700;$385,000 ;$96,250 ;25%;Outlet
West Gear;1128299;02/09/21;West;California;San Francisco;Men's Apparel;$65.00 ;650;$422,500 ;$190,125 ;45%;Outlet
West Gear;1128299;02/10/21;West;California;San Francisco;Women's Apparel;$70.00 ;775;$542,500 ;$54,250 ;10%;Outlet
West Gear;1128299;02/11/21;West;California;San Francisco;Men's Street Footwear;$55.00 ;975;$536,250 ;$160,875 ;30%;Outlet
