Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
11/05/2006,,-22.12,-21.57,,,,
12/05/2006,,-22.25,-21.6,,,,
13/05/2006,,-22.3,-21.65,,,,
14/05/2006,,-22.1,-21.58,,,,
15/05/2006,,-21.95,-21.53,,,,
16/05/2006,,-22.16,-21.57,,,,
17/05/2006,,-22.26,-21.61,,,,
18/05/2006,,-22.23,-21.66,,,,
19/05/2006,,-22.15,-21.59,,,,
20/05/2006,,-22.12,-21.56,,,,
21/05/2006,,-22.07,-21.55,,,,
22/05/2006,,-22.13,-21.55,,,,
23/05/2006,,-22.19,-21.63,,,,
24/05/2006,,-22.14,-21.61,,,,
25/05/2006,,-22.15,-21.61,,,,
26/05/2006,,-22.25,-21.64,,,,
27/05/2006,,-22.26,-21.7,,,,
28/05/2006,,-22.19,-21.65,,,,
29/05/2006,,-22.17,-21.59,,,,
30/05/2006,,-22.19,-21.61,,,,
31/05/2006,,-22.2,-21.61,,,,
01/06/2006,,-22.18,-21.65,,,,
02/06/2006,,-22,-21.53,,,,
03/06/2006,,-21.94,-21.48,,,,
04/06/2006,,-21.88,-21.48,,,,
05/06/2006,,-22.12,-21.54,,,,
06/06/2006,,-22.05,-21.56,,,,
07/06/2006,,-22.22,-21.61,,,,
08/06/2006,,-22.32,-21.7,,,,
09/06/2006,,,-21.77,,,,
10/06/2006,,-22.53,-21.83,,,,
11/06/2006,,-22.38,-21.87,,,,
12/06/2006,,-22.53,-21.84,,,,
13/06/2006,,-22.59,-21.93,,,,
14/06/2006,,-22.64,-21.99,,,,
15/06/2006,,-22.72,-22.06,,,,
16/06/2006,,-22.78,-22.14,,,,
17/06/2006,,-22.82,-22.14,,,,
18/06/2006,,-22.62,-22.1,,,,
19/06/2006,,-22.71,-22.1,,,,
20/06/2006,,-22.84,-22.17,,,,
21/06/2006,,-22.98,-22.26,,,,
22/06/2006,,-23.08,-22.33,,,,
23/06/2006,,-23.18,-22.41,,,,
24/06/2006,,-23.34,-22.54,,,,
25/06/2006,,-23.33,-22.59,,,,
26/06/2006,,-23.33,-22.61,,,,
27/06/2006,,-23.43,-22.67,,,,
28/06/2006,,-23.56,-22.76,,,,
29/06/2006,,-23.59,-22.8,,,,
30/06/2006,,-23.61,-22.85,,,,
01/07/2006,,-23.65,-22.88,,,,
02/07/2006,,-23.63,-22.9,,,,
03/07/2006,,-23.62,-22.85,,,,
04/07/2006,,-23.68,-22.92,,,,
05/07/2006,,-23.8,-23.02,,,,
06/07/2006,,-23.87,-23.09,,,,
07/07/2006,,-23.6,-22.99,,,,
08/07/2006,,-23.52,-22.9,,,,
09/07/2006,,-23.51,-22.9,,,,
10/07/2006,,-23.54,-22.88,,,,
11/07/2006,,-23.85,-23.08,,,,
12/07/2006,,-23.88,-23.13,,,,
13/07/2006,,-24.01,-23.22,,,,
14/07/2006,,-24.12,-23.34,,,,
15/07/2006,,-24.17,-23.43,,,,
16/07/2006,,-24.09,-23.42,,,,
17/07/2006,,-24.19,-23.45,,,,
18/07/2006,,-24.28,-23.52,,,,
19/07/2006,,-24.31,-23.57,,,,
20/07/2006,,-24.45,-23.66,,,,
21/07/2006,,-24.4,-23.7,,,,
22/07/2006,,-24.46,-23.73,,,,
23/07/2006,,-24.16,-23.63,,,,
24/07/2006,,-24.02,-23.48,,,,
25/07/2006,,-24.09,-23.46,,,,
26/07/2006,,-24.14,-23.53,,,,
27/07/2006,,-24.25,-23.59,,,,
28/07/2006,,-24.41,-23.68,,,,
29/07/2006,,-24.47,-23.76,,,,
30/07/2006,,-24.13,-23.66,,,,
31/07/2006,,-24.39,-23.69,,,,
01/08/2006,,-24.54,-23.83,,,,
02/08/2006,,-24.41,-23.78,,,,
03/08/2006,,-24.32,-23.73,,,,
04/08/2006,,-24.09,-23.57,,,,
05/08/2006,,-24.02,-23.57,,,,
06/08/2006,,-23.72,-23.42,,,,
07/08/2006,,-24.1,-23.42,,,,
08/08/2006,,-24.15,-23.53,,,,
09/08/2006,,-24.17,-23.58,,,,
10/08/2006,,-24.25,-23.64,,,,
11/08/2006,,-24.27,-23.68,,,,
12/08/2006,,-24.16,-23.61,,,,
13/08/2006,,-24.1,-23.58,,,,
14/08/2006,,-24.16,-23.6,,,,
15/08/2006,,-23.78,-23.48,,,,
16/08/2006,,-24.1,-23.53,,,,
17/08/2006,,-24.14,-23.6,,,,
18/08/2006,,-24.13,-23.63,,,,
19/08/2006,,-24.21,-23.65,,,,
20/08/2006,,-24.24,-23.69,,,,
21/08/2006,,-24.27,-23.7,,,,
22/08/2006,,-24.27,-23.7,,,,
23/08/2006,,-24.37,-23.79,,,,
24/08/2006,,-24.39,-23.81,,,,
25/08/2006,,-24.31,-23.78,,,,
26/08/2006,,-24.26,-23.74,,,,
27/08/2006,,-24.15,-23.66,,,,
28/08/2006,,-24.23,-23.68,,,,
29/08/2006,,-24.29,-23.69,,,,
30/08/2006,,-24.38,-23.77,,,,
31/08/2006,,-24.48,-23.9,,,,
01/09/2006,,-24.54,-23.96,,,,
02/09/2006,,-24.49,-23.93,,,,
03/09/2006,,-24.45,-23.95,,,,
04/09/2006,,-24.53,-23.99,,,,
05/09/2006,,-24.6,-24.04,,,,
06/09/2006,,-24.6,-24.04,,,,
07/09/2006,,-24.65,-24.07,,,,
08/09/2006,,-24.74,-24.14,,,,
09/09/2006,,-24.86,-24.25,,,,
10/09/2006,,-24.83,-24.25,,,,
11/09/2006,,-24.86,-24.27,,,,
12/09/2006,,-24.91,-24.33,,,,
13/09/2006,,-24.82,-24.28,,,,
14/09/2006,,-24.87,-24.25,,,,
15/09/2006,,-24.67,-24.11,,,,
16/09/2006,,-24.65,-24.08,,,,
17/09/2006,,-24.5,-24.03,,,,
18/09/2006,,-24.63,-24.05,,,,
19/09/2006,,-24.66,-24.08,,,,
20/09/2006,,-24.72,-24.14,,,,
21/09/2006,,-24.77,-24.19,,,,
22/09/2006,,-24.75,-24.19,,,,
23/09/2006,,-24.79,-24.21,,,,
24/09/2006,,-24.75,-24.21,,,,
25/09/2006,,-24.73,-24.15,,,,
26/09/2006,,-24.69,-24.06,,,,
27/09/2006,,-24.73,-24.12,,,-29281.824,
28/09/2006,,-24.77,-24.18,,,-29245.536,
29/09/2006,,-24.8,-24.22,,,-29355.264,
30/09/2006,,-24.85,-24.28,,,-30174.336,
01/10/2006,,-24.82,-24.27,,,-28530.144,
02/10/2006,,-24.87,-24.27,,,-31053.888,
03/10/2006,,-24.97,-24.33,,,-35088.768,
04/10/2006,,-25.01,-24.35,,,-34622.208,
05/10/2006,,-25.09,-24.44,,,-35411.904,
06/10/2006,,-25.14,-24.52,,,-36362.304,
07/10/2006,,-25.15,-24.52,,,-35930.304,
08/10/2006,,-25.17,-24.55,,,-34896.096,
09/10/2006,,-25.18,-24.56,,,-35043.84,
10/10/2006,,-25.21,-24.6,,,-36046.08,
11/10/2006,,-25.25,-24.63,,,-37294.56,
12/10/2006,,-25.36,-24.69,,,-36014.112,
13/10/2006,,-25.43,-24.75,,,-36685.44,
14/10/2006,,-25.4,-24.73,,,-34574.688,
15/10/2006,,,-24.66,,,-32152.032,
16/10/2006,,-25.3,-24.63,,,-32260.032,
17/10/2006,,-25.34,-24.7,,,-32841.504,
18/10/2006,,-25.37,-24.69,,,-34092.576,
19/10/2006,,-25.39,-24.7,,,-34353.504,
20/10/2006,,-25.35,-24.66,,,-33708.096,
21/10/2006,,-25.4,-24.71,,,-33847.2,
22/10/2006,,-25.33,-24.69,,,-31497.12,
23/10/2006,,-25.36,-24.7,,,-32506.272,
24/10/2006,,-25.41,-24.72,,,-34184.16,
25/10/2006,,-25.56,-24.87,,,-35990.784,
26/10/2006,,-25.93,-24.97,,,-36101.376,
27/10/2006,,-25.84,-25.07,,,-33561.216,
28/10/2006,,-25.74,-25,,,-32044.896,
29/10/2006,,-25.53,-24.86,,,-28252.8,
30/10/2006,,-25.68,-24.89,,,-32485.536,
31/10/2006,,-25.58,-24.93,,,-32325.696,
01/11/2006,,-25.34,-24.75,,,-26437.536,
02/11/2006,,-25.36,-24.72,,,-28599.264,
03/11/2006,,-25.38,-24.81,,,-31152.384,
04/11/2006,,-25.47,-24.86,,,-32028.48,
05/11/2006,,-25.4,-24.84,,,-29277.504,
06/11/2006,,-25.39,-24.77,,,-30906.144,
07/11/2006,,-25.44,-24.96,,,-31102.272,
08/11/2006,,-25.62,-25.06,,,-34953.12,
09/11/2006,,-25.65,-25.08,,,-36268.992,
10/11/2006,,-25.66,-25.1,,,-35504.352,
11/11/2006,,-25.74,-25.18,,,-37051.776,
12/11/2006,,-25.66,-25.09,,,-35644.32,
13/11/2006,,-25.7,-25.13,,,-35838.72,
14/11/2006,,-25.8,-25.25,,,-36698.4,
15/11/2006,,-25.82,-25.29,,,-35770.464,
16/11/2006,,-25.84,-25.3,,,-36542.016,
17/11/2006,,-25.86,-25.3,,,-36326.016,
18/11/2006,,-25.88,-25.31,,,-36258.624,
19/11/2006,,-25.88,-25.34,,,-34674.048,
20/11/2006,,-25.81,-25.29,,,-34369.056,
21/11/2006,,-25.83,-25.25,,,-35643.456,
22/11/2006,,-25.86,-25.24,,,-38132.64,
23/11/2006,,-25.92,-25.36,,,-36439.2,
24/11/2006,,-25.99,-25.46,,,-35284.896,
25/11/2006,,-25.99,-25.46,,,-35558.784,
26/11/2006,,-25.93,-25.46,,,-32540.832,
27/11/2006,,-26,-25.48,,,-34675.776,
28/11/2006,,-25.99,-25.47,,,-33997.536,
29/11/2006,,-25.96,-25.46,,,-33408.288,
30/11/2006,,-26.01,-25.46,,,-34280.064,
01/12/2006,,-26.07,-25.54,,,-34942.752,
02/12/2006,,-26.12,-25.54,,,-35456.832,
03/12/2006,,-25.99,-25.49,,,-32309.28,
04/12/2006,,-26.01,-25.46,,,-35552.736,
05/12/2006,,-26.07,-25.52,,,-35501.76,
06/12/2006,,-25.94,-25.47,,,-31805.568,
07/12/2006,,-25.87,-25.43,,,-31427.136,
08/12/2006,,-25.95,-25.51,,,-32994.432,
09/12/2006,,-25.95,-25.49,,,-33015.168,
10/12/2006,,-26.08,-25.65,,,-33683.04,
11/12/2006,,-26.15,-25.67,,,-30362.688,
12/12/2006,,-26.27,-25.73,,,-35336.736,
13/12/2006,,-26.25,-25.74,,,-34569.504,
14/12/2006,,,-25.75,,,-34235.136,
15/12/2006,,-26.58,-25.9,,,-40199.328,
16/12/2006,,-26.32,-25.83,,,-35267.616,
17/12/2006,,-26.17,-25.72,,,-31152.384,
18/12/2006,,-26.13,-25.62,,,-33921.504,
19/12/2006,,-26.77,-25.85,,,-37044,
20/12/2006,,-26.81,-25.97,,,-35570.016,
21/12/2006,,-26.62,-25.9,,,-25617.6,
22/12/2006,,-26.65,-25.87,,,-31300.128,
23/12/2006,,-26.76,-25.95,,,-34531.488,
24/12/2006,,-26.8,-25.98,,,-35750.592,
25/12/2006,,-26.62,-25.91,,,-30097.44,
26/12/2006,,-26.65,-25.93,,,-30768.768,
27/12/2006,,-26.73,-25.96,,,-32247.936,
28/12/2006,,-26.74,-25.97,,,-32164.128,
29/12/2006,,-26.73,-25.98,,,-33124.896,
30/12/2006,,-26.78,-26.02,,,-32341.248,
31/12/2006,,-26.92,-26.06,,,-35494.848,
01/01/2007,,-26.68,-25.95,,,-29918.592,
02/01/2007,,-26.72,-25.9,,,-32521.824,
03/01/2007,,-26.86,-26.01,,,-34554.816,
04/01/2007,,-26.94,-26.09,,,-34880.544,
05/01/2007,,-26.95,-26.07,,,-36436.608,
06/01/2007,,-27.03,-26.19,,,-35028.288,
07/01/2007,,-26.93,-26.14,,,-33429.024,
08/01/2007,,-26.96,-26.11,,,-34540.992,
09/01/2007,,-27.01,-26.16,,,-34165.152,
10/01/2007,,-27.08,-26.24,,,-34490.88,
11/01/2007,,-27.04,-26.22,,,-34595.424,
12/01/2007,,-27.01,-26.19,,,-35424,
13/01/2007,,-27.18,-26.32,,,-36453.024,
14/01/2007,,-27.1,-26.3,,,-33656.256,
15/01/2007,,-27.15,-26.3,,,-36366.624,
16/01/2007,,-27.24,-26.39,,,-36903.168,
17/01/2007,,-27.19,-26.34,,,-35727.264,
18/01/2007,,-27.18,-26.36,,,-36482.4,
19/01/2007,,-27.1,-26.29,,,-40015.296,
20/01/2007,,-27.25,-26.39,,,-38092.896,
21/01/2007,,-27.21,-26.41,,,-36384.768,
22/01/2007,,-27.31,-26.43,,,-38975.04,
23/01/2007,,-27.27,-26.38,,,-37120.896,
24/01/2007,,-27.26,-26.38,,,-37022.4,
25/01/2007,,-27.36,-26.47,,,-36322.56,
26/01/2007,,-27.4,-26.55,,,-36234.432,
27/01/2007,,-27.32,-26.52,,,-35701.344,
28/01/2007,,-27.39,-26.59,,,-34113.312,
29/01/2007,,-27.35,-26.52,,,-36541.152,
30/01/2007,,-27.37,-26.55,,,-35766.144,
31/01/2007,,-27.43,-26.61,,,-36344.16,
01/02/2007,,-27.47,-26.62,,,-34800.192,
02/02/2007,,-27.55,-26.7,,,-36872.064,
03/02/2007,,-27.48,-26.69,,,-36655.2,
04/02/2007,,-27.54,-26.73,,,-36416.736,
05/02/2007,,-27.5,-26.71,,,-35653.824,
06/02/2007,,-27.51,-26.66,,,-36718.272,
07/02/2007,,-27.51,-26.66,,,-36063.36,
08/02/2007,,-27.53,-26.69,,,-35802.432,
09/02/2007,,-27.54,-26.7,,,-33802.272,
10/02/2007,,-27.56,-26.69,,,-34944.48,
11/02/2007,,-27.59,-26.75,,,-33225.984,
12/02/2007,,-27.53,-26.67,,,-32316.192,
13/02/2007,,-27.51,-26.67,,,-31326.048,
14/02/2007,,-27.53,-26.73,,,-30889.728,
15/02/2007,,-27.44,-26.67,,,-29992.032,
16/02/2007,,-27.57,-26.71,,,-32657.472,
17/02/2007,,-27.54,-26.7,,,-31525.632,
18/02/2007,,-27.43,-26.63,,,-28622.592,
19/02/2007,,-27.39,-26.59,,,-29685.312,
20/02/2007,,-27.44,-26.6,,,-30367.872,
21/02/2007,,-27.51,-26.65,,,-30769.632,
22/02/2007,,-27.54,-26.64,,,-31637.952,
23/02/2007,,-27.46,-26.62,,,-29810.592,
24/02/2007,,-27.52,-26.62,,,-31278.528,
25/02/2007,,-27.36,-26.55,,,-27949.536,
26/02/2007,,-27.36,-26.52,,,-28359.072,
27/02/2007,,-27.42,-26.59,,,-29687.04,
28/02/2007,,-27.43,-26.59,,,-30112.992,
01/03/2007,,-27.33,-26.51,,,-27492.48,
02/03/2007,,-27.36,-26.51,,,-29522.88,
03/03/2007,,-27.38,-26.51,,,-28622.592,
04/03/2007,,-27.3,-26.5,,,-26865.216,
05/03/2007,,-27.36,-26.52,,,-28163.808,
06/03/2007,,-27.33,-26.48,,,-27716.256,
07/03/2007,,-27.31,-26.4,,,-29385.504,
08/03/2007,,-27.19,-26.39,,,-27725.76,
09/03/2007,,-27.35,-26.47,,,-30143.232,
10/03/2007,,-27.32,-26.43,,,-28765.152,
11/03/2007,,-27.18,-26.36,,,-25507.008,
12/03/2007,,-27.15,-26.34,,,-26793.504,
13/03/2007,,-27.25,-26.36,,,-29398.464,
14/03/2007,,-27.27,-26.36,,,-28963.008,
15/03/2007,,-27.2,-26.33,,,-28033.344,
16/03/2007,,-27.26,-26.35,,,-30031.776,
17/03/2007,,-27.25,-26.35,,,-29922.912,
18/03/2007,,-27.17,-26.25,,,-27132.192,
19/03/2007,,-26.95,-26.05,,,-25995.168,
20/03/2007,,-27,-26.01,,,-27603.072,
21/03/2007,,-27.1,-26.12,,,-28026.432,
22/03/2007,,-27.05,-26.13,,,-26901.504,
23/03/2007,,-27.07,-26.12,,,-27954.72,
24/03/2007,,-27.05,-26.1,,,-27415.584,
25/03/2007,,-26.95,-26.11,,,-26860.032,
26/03/2007,,-27.08,-26.14,,,-29220.48,
27/03/2007,,-27.07,-26.14,,,-28505.952,
28/03/2007,,-27.13,-26.17,,,-30513.024,
29/03/2007,,-27.13,-26.15,,,-30576.096,
30/03/2007,,-27.1,-26.14,,,-31536.864,
31/03/2007,,-27.16,-26.21,,,-31280.256,
01/04/2007,,-27.16,-26.25,,,-29652.48,
02/04/2007,,-27.02,-26.18,,,-29541.024,
03/04/2007,,-27.01,-26.12,,,-30836.16,
04/04/2007,,-26.97,-26.05,,,-28417.824,
05/04/2007,,-27.08,-26.1,,,-28100.736,
06/04/2007,,-27.15,-26.13,,,-28364.256,
07/04/2007,,-27.09,-26.14,,,-30060.288,
08/04/2007,,-26.61,-25.99,,,-23114.592,
09/04/2007,,-26.63,-25.92,,,-23787.648,
10/04/2007,,-27,-26.01,,,-29979.072,
11/04/2007,,-27.02,-26.1,,,-30621.024,
12/04/2007,,-27.03,-26.09,,,-29146.176,
13/04/2007,,-26.93,-26.05,,,-30813.696,
14/04/2007,,-27.15,-26.14,,,-33277.824,
15/04/2007,,-27.14,-26.16,,,-31517.856,
16/04/2007,,-27.14,-26.16,,,-32959.008,
17/04/2007,,-27.21,-26.21,,,-34862.4,
18/04/2007,,-27.19,-26.22,,,-33461.856,
19/04/2007,,-27.19,-26.21,,,-32997.888,
20/04/2007,,-27.13,-26.24,,,-33896.448,
21/04/2007,,-27.04,-26.23,,,-33245.856,
22/04/2007,,-27.33,-26.33,,,-35134.56,
23/04/2007,,-27.2,-26.31,,,-31624.128,
24/04/2007,,-27.18,-26.26,,,-31544.64,
25/04/2007,,-26.77,-26.15,,,-30688.416,
26/04/2007,,-26.78,-26.15,,,-29063.232,
27/04/2007,,-27.07,-26.16,,,-30014.496,
28/04/2007,,-27.18,-26.24,,,-31395.168,
29/04/2007,,-26.78,-26.16,,,-28725.408,
30/04/2007,,-26.55,-26.02,,,-24990.336,
01/05/2007,,-26.3,-25.81,,,-21556.8,
02/05/2007,,-26.27,-25.77,,,-22156.416,
03/05/2007,,-26.29,-25.75,,,-23928.48,
04/05/2007,,-26.27,-25.72,,,-23941.44,
05/05/2007,,-26.39,-25.75,,,-27178.848,
06/05/2007,,-26.28,-25.73,,,-24061.536,
07/05/2007,,-26.33,-25.72,,,-24287.904,
08/05/2007,,-26.42,-25.8,,,-27949.536,
09/05/2007,,-26.45,-25.83,,,0,
10/05/2007,,-26.34,-25.75,,,-29336.256,
11/05/2007,,-26.37,-25.77,,,-30326.4,
12/05/2007,,-26.43,-25.81,,,-30827.52,
13/05/2007,,-26.43,-25.84,,,-30036.96,
14/05/2007,,-26.79,-25.9,,,-31434.912,
15/05/2007,,-26.9,-25.99,,,-31769.28,
16/05/2007,,-26.46,-25.88,,,-30125.088,
17/05/2007,,-26.41,-25.82,,,-30066.336,
18/05/2007,,-26.8,-25.92,,,-30408.48,
19/05/2007,,-26.91,-26.01,,,-30626.208,
20/05/2007,,-26.92,-26.04,,,-30881.952,
21/05/2007,,-26.96,,,,-31250.88,
22/05/2007,,-27.13,-26.18,,,-35080.992,
23/05/2007,,-27.26,-26.3,,,-37567.584,
24/05/2007,,-26.83,-26.24,,,-32889.888,
25/05/2007,,-27.36,-26.36,,,-38695.104,
26/05/2007,,-27.31,-26.36,,,-36612.864,
27/05/2007,,-27.13,-26.3,,,-31383.936,
28/05/2007,,-26.54,-26.03,,,-28043.712,
29/05/2007,,-26.61,-26.02,,,-28533.6,
30/05/2007,,-26.68,-26.06,,,-28885.248,
31/05/2007,,-26.79,-26.12,,,-31883.328,
01/06/2007,,-26.76,-26.13,,,-32290.272,
02/06/2007,,-27,-26.2,,,-34572.096,
03/06/2007,,-26.64,-26.08,,,-28444.608,
04/06/2007,,-26.72,-26.08,,,-28864.512,
05/06/2007,,-27.24,-26.27,,,0,
06/06/2007,,-26.82,-26.21,,,0,
07/06/2007,,-27.1,-26.22,,,-32901.984,
08/06/2007,,-26.96,-26.2,,,-32850.144,
09/06/2007,,-27.24,-26.3,,,-34171.2,
10/06/2007,,-27.14,-26.26,,,-32818.176,
11/06/2007,,-27.24,-26.29,,,-33683.04,
12/06/2007,,-27.32,-26.36,,,-36167.904,
13/06/2007,,-27.29,-26.36,,,-34242.912,
14/06/2007,,-27.36,-26.43,,,-37065.6,
15/06/2007,,-27.4,-26.45,,,-36079.776,
16/06/2007,,-27.42,-26.48,,,-36095.328,
17/06/2007,,-26.95,-26.38,,,-32491.584,
18/06/2007,,-27.38,-26.44,,,-34704.288,
19/06/2007,,-27.69,-26.65,,,-41071.104,
20/06/2007,,-27.73,-26.73,,,-39565.152,
21/06/2007,,-27.76,-26.78,,,-38476.512,
22/06/2007,,-27.81,-26.84,,,-39807.072,
23/06/2007,,-27.8,-26.85,,,-37984.032,
24/06/2007,,-27.83,-26.86,,,-35450.784,
25/06/2007,,-27.81,-26.87,,,-37662.624,
26/06/2007,,-28,-26.98,,,-39749.184,
27/06/2007,,-28,-27,,,-36766.656,
28/06/2007,,-28.13,-27.12,,,-38814.336,
29/06/2007,,-28.16,-27.18,,,-39105.504,
30/06/2007,,-28.16,-27.15,,,-38119.68,
01/07/2007,,-28.15,-27.14,,,-38143.008,
02/07/2007,,-28.12,-27.13,,,-35847.36,
03/07/2007,,-28.29,-27.21,,,-39577.248,
04/07/2007,,-28.26,-27.2,,,-38044.512,
05/07/2007,,-28.3,-27.26,,,-38047.104,
06/07/2007,,-28.48,-27.38,,,-42865.632,
07/07/2007,,-28.62,-27.49,,,-43673.472,
08/07/2007,,-28.53,-27.48,,,-40254.624,
09/07/2007,,-28.59,-27.49,,,-41400.288,
10/07/2007,,-28.68,-27.54,,,-42794.784,
11/07/2007,,-28.83,-27.68,,,-43781.472,
12/07/2007,,-28.89,-27.77,,,-42886.368,
13/07/2007,,-28.97,-27.84,,,-43647.552,
14/07/2007,,-29.02,-27.9,,,-45109.44,
15/07/2007,,-29.03,-27.93,,,-45178.56,
16/07/2007,,-29.08,-27.95,,,-43839.36,
17/07/2007,,-29.16,-28.04,,,-43152.48,
18/07/2007,,-29.24,-28.11,,,-43166.304,
19/07/2007,,-29.01,-28.12,,,-41751.072,
20/07/2007,,-29.07,-28.13,,,-42035.328,
21/07/2007,,-29.35,-28.24,,,-45544.896,
22/07/2007,,-29.4,-28.27,,,-43257.024,
23/07/2007,,-29.32,-28.24,,,-41803.776,
24/07/2007,,-29.41,-28.29,,,-43341.696,
25/07/2007,,-29.49,-28.39,,,-43208.64,
26/07/2007,,-29.58,-28.45,,,-43253.568,
27/07/2007,,-29.64,-28.52,,,-43116.192,
28/07/2007,,-29.64,-28.56,,,-43672.608,
29/07/2007,,-29.62,-28.56,,,-42472.512,
30/07/2007,,-29.64,-28.56,,,-42325.632,
31/07/2007,,-29.76,-28.65,,,-37648.8,
01/08/2007,,-29.93,-28.82,,,-35405.856,
02/08/2007,,-29.96,-28.78,,,-34693.056,
03/08/2007,,-30.02,-28.84,,,-35688.384,
04/08/2007,,-29.75,-28.77,,,-30425.76,
05/08/2007,,-29.83,-28.79,,,-31135.968,
06/08/2007,,-29.87,-28.79,,,-32875.2,
07/08/2007,,-29.89,-28.84,,,-32011.2,
08/08/2007,,-29.99,-28.91,,,-33900.768,
09/08/2007,,-29.79,-28.87,,,-29080.512,
10/08/2007,,-29.73,-28.79,,,-27972,
11/08/2007,,-29.55,-28.73,,,-25317.792,
12/08/2007,,-29.48,-28.68,,,-25445.664,
13/08/2007,,-29.56,-28.74,,,-27330.048,
14/08/2007,,-29.71,-28.81,,,-30163.104,
15/08/2007,,-29.59,-28.8,,,-26843.616,
16/08/2007,,-29.63,-28.79,,,-30419.712,
17/08/2007,,-29.98,-28.92,,,-32685.12,
18/08/2007,,-29.97,-28.94,,,-31510.08,
19/08/2007,,-29.83,-28.94,,,-30170.016,
20/08/2007,,-29.87,-28.92,,,-30375.648,
21/08/2007,,-29.86,-28.93,,,-30267.648,
22/08/2007,,-29.74,-28.93,,,-29846.016,
23/08/2007,,-29.88,-28.98,,,-28888.704,
24/08/2007,,-29.71,-28.97,,,-29209.248,
25/08/2007,,-29.91,-29,,,-29617.056,
26/08/2007,,-29.8,-28.98,,,-29710.368,
27/08/2007,,-29.98,-29.01,,,-31604.256,
28/08/2007,,-30.17,-29.09,,,-34421.76,
29/08/2007,,-30.25,-29.14,,,-33451.488,
30/08/2007,,-30.28,-29.17,,,0,
31/08/2007,,-30.38,-29.24,,,-34460.64,
01/09/2007,,-30.36,-29.26,,,-33034.176,
02/09/2007,,,-29.25,,,-30994.272,
03/09/2007,,-30.24,-29.23,,,-32694.624,
04/09/2007,,-30.37,-29.26,,,-33352.992,
05/09/2007,,-30.41,-29.3,,,-32996.16,
06/09/2007,,-30.38,-29.33,,,-33530.112,
07/09/2007,,-30.42,-29.32,,,-33468.768,
08/09/2007,,-30.5,-29.37,,,-33955.2,
09/09/2007,,-30.46,-29.35,,,-30301.344,
10/09/2007,,-30.46,-29.37,,,-32065.632,
11/09/2007,,-30.58,-29.43,,,-34157.376,
12/09/2007,,-30.66,-29.53,,,-34019.136,
13/09/2007,,-30.67,-29.57,,,-33843.744,
