date,value
2003-10-01,306.741
2003-10-31,297.867
2003-12-01,331.68
2003-12-31,346.546
2004-01-31,314.28
2004-03-01,308.812
2004-04-01,290.56
2004-05-01,327.38
2004-06-01,345.085
2004-07-01,377.332
2004-07-31,368.439
2004-08-31,335.622
2004-09-30,312.45
2004-10-31,302.101
2004-11-30,341.948
2004-12-31,343.121
2005-01-30,298.5
2005-03-01,317.458
2005-04-01,289.562
2005-05-01,315.062
2005-06-01,363.672
2005-07-01,402.274
2005-08-01,404.941
2005-08-31,350.218
2005-09-30,316.398
2005-10-31,306.115
2005-11-30,348.101
2005-12-31,328.658
2006-01-30,307.333
2006-03-02,318.73
2006-04-01,297.858
2006-05-02,330.616
2006-06-01,364.26
2006-07-01,410.421
2006-08-01,407.763
2006-08-31,332.055
2006-10-01,321.567
2006-10-31,309.159
2006-12-01,336.283
2006-12-31,353.531
2007-01-30,323.23
2007-03-02,320.471
2007-04-01,303.129
2007-05-02,330.203
2007-06-01,362.755
2007-07-02,393.226
2007-08-01,421.797
2007-08-31,355.394
2007-10-01,332.615
2007-10-31,314.103
2007-12-01,346.29
2007-12-31,362.998
2008-01-31,325.106
2008-03-01,324.63
2008-04-01,305.865
2008-05-01,325.245
2008-05-31,373.109
2008-07-01,402.9
2008-07-31,388.987
2008-08-31,338.056
2008-09-30,318.547
2008-10-31,310.046
2008-11-30,343.898
2008-12-30,354.993
2009-01-30,300.887
2009-03-01,310.603
2009-04-01,289.537
2009-05-01,311.306
2009-06-01,347.658
2009-07-01,372.542
2009-07-31,381.221
2009-08-31,327.401
2009-09-30,307.04
2009-10-31,296.635
2009-11-30,350.507
2009-12-31,360.957
2010-01-30,319.735
2010-03-02,312.168
2010-04-01,287.8
2010-05-01,327.936
2010-06-01,375.759
2010-07-01,409.725
2010-08-01,408.884
2010-08-31,346.045
2010-10-01,307.921
2010-10-31,306.01
2010-11-30,362.119
2010-12-31,363.105
2011-01-30,313.293
2011-03-02,318.71
2011-04-01,302.4
2011-05-02,323.627
2011-06-01,367.727
2011-07-01,418.693
2011-08-01,406.541
2011-08-31,337.961
2011-10-01,308.727
2011-10-31,304.119
2011-12-01,335.753
2011-12-31,340.919
2012-01-31,310.151
2012-03-01,309.04
2012-03-31,295.94
2012-05-01,337.53
2012-05-31,361.506
2012-07-01,416.515
2012-07-31,396.108
2012-08-31,334.735
2012-09-30,312.157
2012-10-30,305.548
2012-11-30,334.335
2012-12-30,348.642
2013-01-30,309.601
2013-03-01,325.372
2013-04-01,298.261
2013-05-01,322.118
2013-06-01,356.4
