Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Margin,Market_size,Market,Marketing,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales ,Total_expenses,Type
702,34,-33,12/25/2012,240,43,Small Market,West,12,Beans,Coffee,Colombian,-3,82,Nevada,40,60,30,100,45,Regular
971,54,-22,12/26/2012,404,66,Small Market,West,20,Beans,Espresso,Caffe Latte,18,128,Oregon,40,60,40,100,54,Regular
573,45,-39,12/27/2012,320,64,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-9,116,Missouri,20,60,30,80,70,Decaf
262,48,7,12/28/2012,851,70,Small Market,Central,13,Leaves,Herbal Tea,Lemon,67,126,Wisconsin,30,60,60,90,25,Decaf
801,49,-11,12/29/2012,310,71,Small Market,West,15,Leaves,Herbal Tea,Chamomile,49,128,Utah,30,60,60,90,38,Decaf
509,48,10,12/30/2012,829,71,Small Market,West,13,Leaves,Herbal Tea,Lemon,70,127,Washington,30,60,60,90,24,Decaf
475,40,3,12/31/2012,881,59,Small Market,East,11,Leaves,Tea,Darjeeling,53,106,Connecticut,40,60,50,100,23,Regular
503,82,45,1/1/2013,788,123,Small Market,West,27,Leaves,Tea,Earl Grey,95,218,Oregon,30,60,50,90,59,Regular
541,91,63,1/2/2013,656,127,Small Market,West,28,Leaves,Tea,Green Tea,113,232,Oregon,40,60,50,100,51,Regular
936,40,-1,1/3/2013,536,52,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,39,98,Texas,40,60,40,100,26,Decaf
254,50,31,1/4/2013,589,73,Major Market,South,14,Beans,Espresso,Decaf Espresso,71,131,Texas,30,60,40,90,25,Decaf
719,40,0,1/5/2013,536,52,Major Market,Central,13,Beans,Coffee,Colombian,40,98,Colorado,30,60,40,90,25,Regular
339,52,-12,1/6/2013,554,68,Major Market,East,47,Beans,Espresso,Caffe Mocha,-12,128,Massachusetts,50,60,0,110,76,Regular
561,75,35,1/7/2013,1063,89,Major Market,East,23,Leaves,Herbal Tea,Mint,65,175,Florida,50,60,30,110,45,Decaf
806,46,16,1/8/2013,424,68,Major Market,South,14,Leaves,Herbal Tea,Lemon,46,121,Texas,40,60,30,100,37,Decaf
719,55,2,1/9/2013,410,69,Major Market,Central,20,Leaves,Tea,Darjeeling,22,132,Colorado,40,60,20,100,54,Regular
708,50,31,1/10/2013,589,73,Major Market,Central,14,Leaves,Tea,Darjeeling,71,131,Illinois,40,60,40,100,25,Regular
719,57,13,1/11/2013,1042,68,Major Market,Central,17,Leaves,Tea,Earl Grey,43,133,Colorado,40,60,30,100,39,Regular
351,36,6,1/12/2013,862,52,Major Market,East,10,Leaves,Tea,Darjeeling,46,94,Massachusetts,30,60,40,90,21,Regular
636,33,-10,1/13/2013,836,48,Small Market,Central,9,Beans,Espresso,Decaf Espresso,40,86,Missouri,40,60,50,100,21,Decaf
504,31,-8,1/14/2013,856,47,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,42,83,Louisiana,30,60,50,90,19,Decaf
580,36,5,1/15/2013,862,52,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,45,94,Oklahoma,40,60,40,100,22,Decaf
337,49,20,1/16/2013,454,71,Small Market,South,15,Beans,Espresso,Decaf Espresso,50,128,Louisiana,30,60,30,90,37,Decaf
262,54,1,1/17/2013,391,67,Small Market,Central,20,Beans,Coffee,Amaretto,21,129,Wisconsin,50,60,20,110,53,Regular
603,46,5,1/18/2013,316,67,Small Market,East,14,Beans,Coffee,Amaretto,45,120,New Hampshire,40,60,40,100,37,Regular
603,43,0,1/19/2013,452,66,Small Market,East,14,Beans,Coffee,Colombian,30,116,New Hampshire,30,60,30,90,46,Regular
603,44,-22,1/20/2013,325,62,Small Market,East,40,Beans,Espresso,Caffe Mocha,-12,113,New Hampshire,40,60,10,100,70,Regular
318,53,43,1/21/2013,321,88,Small Market,South,16,Beans,Espresso,Caffe Mocha,73,150,Louisiana,40,60,30,100,39,Regular
206,54,-1,1/22/2013,391,67,Small Market,West,20,Beans,Espresso,Caffe Mocha,19,129,Washington,50,60,20,110,54,Regular
580,54,-1,1/23/2013,391,67,Small Market,South,20,Leaves,Herbal Tea,Chamomile,19,129,Oklahoma,50,60,20,110,54,Decaf
435,46,15,1/24/2013,316,67,Small Market,West,14,Leaves,Herbal Tea,Chamomile,45,120,Utah,40,60,30,100,37,Decaf
435,43,0,1/25/2013,452,66,Small Market,West,14,Leaves,Herbal Tea,Lemon,30,116,Utah,40,60,30,100,46,Decaf
253,47,25,1/26/2013,834,68,Small Market,West,13,Leaves,Herbal Tea,Lemon,65,123,Washington,40,60,40,100,24,Decaf
203,36,9,1/27/2013,809,54,Small Market,East,10,Leaves,Tea,Green Tea,49,96,Connecticut,30,60,40,90,21,Regular
509,61,1,1/28/2013,613,86,Small Market,West,55,Leaves,Tea,Green Tea,1,157,Washington,40,60,0,100,85,Regular
956,43,5,1/29/2013,531,56,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,45,106,Texas,50,60,40,110,26,Decaf
430,54,37,1/30/2013,601,79,Major Market,South,15,Beans,Espresso,Decaf Espresso,77,142,Texas,40,60,40,100,27,Decaf
719,47,-9,1/31/2013,521,65,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-9,119,Colorado,40,60,0,100,71,Decaf
970,54,13,2/1/2013,424,73,Major Market,Central,17,Leaves,Herbal Tea,Mint,43,135,Colorado,50,60,30,110,44,Decaf
305,65,14,2/2/2013,403,80,Major Market,East,24,Leaves,Herbal Tea,Lemon,34,155,Florida,40,60,20,100,57,Decaf
407,80,44,2/3/2013,1079,96,Major Market,East,24,Leaves,Herbal Tea,Mint,74,188,Florida,60,60,30,120,46,Decaf
325,54,12,2/4/2013,424,73,Major Market,South,17,Leaves,Herbal Tea,Chamomile,42,135,Texas,50,60,30,110,45,Decaf
430,41,6,2/5/2013,435,60,Major Market,South,13,Leaves,Herbal Tea,Lemon,36,108,Texas,30,60,30,90,36,Decaf
408,54,29,2/6/2013,601,79,Major Market,West,15,Leaves,Tea,Earl Grey,79,142,California,30,60,50,90,26,Regular
816,31,-10,2/7/2013,844,46,Small Market,Central,8,Beans,Espresso,Decaf Espresso,40,82,Missouri,30,60,50,90,19,Decaf
337,34,-4,2/8/2013,863,51,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,46,91,Louisiana,40,60,50,100,20,Decaf
918,33,-8,2/9/2013,870,49,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,42,87,Oklahoma,30,60,50,90,21,Decaf
603,48,12,2/10/2013,462,74,Small Market,East,15,Beans,Coffee,Colombian,42,130,New Hampshire,40,60,30,100,46,Regular
225,55,-4,2/11/2013,-1053,76,Small Market,South,49,Beans,Espresso,Caffe Latte,-4,140,Louisiana,40,60,0,100,79,Regular
505,49,-17,2/12/2013,335,69,Small Market,South,44,Beans,Espresso,Caffe Mocha,-7,126,New Mexico,30,60,10,90,74,Regular
702,39,-19,2/13/2013,250,49,Small Market,West,14,Beans,Coffee,Colombian,1,94,Nevada,40,60,20,100,48,Regular
314,49,-7,2/14/2013,335,69,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-7,126,Missouri,40,60,0,100,74,Decaf
920,41,15,2/15/2013,320,66,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,45,114,Wisconsin,30,60,30,90,36,Decaf
417,92,4,2/16/2013,1898,68,Small Market,Central,28,Leaves,Herbal Tea,Lemon,24,171,Missouri,80,60,20,140,52,Decaf
860,68,20,2/17/2013,619,85,Small Market,East,25,Leaves,Herbal Tea,Lemon,40,163,Connecticut,50,60,20,110,58,Decaf
203,63,13,2/18/2013,1075,76,Small Market,East,19,Leaves,Herbal Tea,Mint,53,148,Connecticut,40,60,40,100,40,Decaf
435,92,5,2/19/2013,1898,68,Small Market,West,28,Leaves,Herbal Tea,Mint,25,171,Utah,80,60,20,140,51,Decaf
262,55,-4,2/20/2013,627,76,Small Market,Central,49,Leaves,Tea,Earl Grey,-4,140,Wisconsin,40,60,0,100,79,Regular
719,39,-23,2/21/2013,541,51,Major Market,Central,12,Beans,Coffee,Colombian,27,90,Colorado,30,50,50,80,24,Regular
305,80,8,2/22/2013,1055,94,Major Market,East,24,Leaves,Herbal Tea,Mint,48,174,Florida,40,50,40,90,46,Decaf
303,54,-17,2/23/2013,404,66,Major Market,Central,20,Leaves,Tea,Darjeeling,13,120,Colorado,30,50,30,80,53,Regular
303,54,-13,2/24/2013,1037,64,Major Market,Central,16,Leaves,Tea,Earl Grey,27,118,Colorado,30,50,40,80,37,Regular
508,27,-30,2/25/2013,859,39,Major Market,East,7,Leaves,Tea,Darjeeling,20,66,Massachusetts,20,50,50,70,19,Regular
209,76,29,2/26/2013,580,111,Major Market,West,21,Leaves,Tea,Earl Grey,79,187,California,30,50,50,80,32,Regular
715,22,-40,2/27/2013,573,29,Small Market,Central,7,Beans,Espresso,Decaf Espresso,10,51,Wisconsin,20,50,50,70,19,Decaf
319,23,-32,2/28/2013,800,35,Small Market,Central,6,Beans,Espresso,Caffe Mocha,18,58,Iowa,20,50,50,70,17,Regular
959,79,4,3/1/2013,593,98,Small Market,East,30,Leaves,Herbal Tea,Lemon,34,177,Connecticut,40,50,30,90,64,Decaf
860,65,-15,3/2/2013,1053,77,Small Market,East,20,Leaves,Herbal Tea,Mint,35,142,Connecticut,30,50,50,80,42,Decaf
262,46,-10,3/3/2013,449,67,Small Market,Central,14,Leaves,Tea,Darjeeling,30,113,Wisconsin,20,50,40,70,37,Regular
715,60,0,3/4/2013,606,84,Small Market,Central,54,Leaves,Tea,Earl Grey,0,144,Wisconsin,40,50,0,90,84,Regular
206,60,17,3/5/2013,329,99,Small Market,West,18,Leaves,Tea,Darjeeling,57,159,Washington,20,50,40,70,42,Regular
773,40,-3,3/6/2013,536,52,Major Market,Central,13,Leaves,Herbal Tea,Lemon,27,92,Illinois,30,50,30,80,25,Decaf
614,36,-10,3/7/2013,862,52,Major Market,Central,10,Leaves,Herbal Tea,Lemon,30,88,Ohio,30,50,40,80,22,Decaf
617,55,-5,3/8/2013,410,69,Major Market,East,20,Leaves,Herbal Tea,Lemon,15,124,Massachusetts,40,50,20,90,54,Decaf
707,40,-3,3/9/2013,536,52,Major Market,West,13,Leaves,Herbal Tea,Mint,27,92,California,30,50,30,80,25,Decaf
352,28,-17,3/10/2013,875,42,Major Market,East,7,Leaves,Tea,Darjeeling,23,70,Florida,20,50,40,70,19,Regular
561,31,-12,3/11/2013,856,47,Major Market,East,8,Leaves,Tea,Green Tea,28,78,Florida,30,50,40,80,19,Regular
351,32,-11,3/12/2013,482,48,Major Market,East,8,Leaves,Tea,Green Tea,29,80,Massachusetts,30,50,40,80,19,Regular
650,50,7,3/13/2013,589,73,Major Market,West,14,Leaves,Tea,Earl Grey,47,123,California,30,50,40,80,26,Regular
712,0,-9,3/14/2013,387,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,50,40,50,12,Decaf
505,82,-18,3/15/2013,1804,40,Small Market,South,25,Beans,Coffee,Decaf Irish Cream,-8,122,New Mexico,90,50,10,140,48,Decaf
515,22,-24,3/16/2013,802,34,Small Market,Central,6,Beans,Espresso,Caffe Mocha,16,56,Iowa,20,50,40,70,18,Regular
505,44,-7,3/17/2013,325,62,Small Market,South,40,Beans,Espresso,Caffe Mocha,-7,106,New Mexico,30,50,0,80,69,Regular
775,33,-14,3/18/2013,243,41,Small Market,West,12,Beans,Coffee,Colombian,-4,74,Nevada,30,50,10,80,45,Regular
573,44,-8,3/19/2013,325,62,Small Market,Central,40,Leaves,Herbal Tea,Chamomile,-8,106,Missouri,40,50,0,90,70,Decaf
262,31,-13,3/20/2013,856,47,Small Market,Central,8,Leaves,Herbal Tea,Lemon,27,78,Wisconsin,20,50,40,70,20,Decaf
475,69,8,3/21/2013,1060,81,Small Market,East,21,Leaves,Herbal Tea,Mint,38,150,Connecticut,50,50,30,100,43,Decaf
262,49,13,3/22/2013,454,71,Small Market,Central,15,Leaves,Tea,Darjeeling,33,120,Wisconsin,40,50,20,90,38,Regular
206,49,4,3/23/2013,454,71,Small Market,West,15,Leaves,Tea,Earl Grey,34,120,Washington,30,50,30,80,37,Regular
970,43,-1,3/24/2013,531,56,Major Market,Central,14,Beans,Coffee,Colombian,29,99,Colorado,40,50,30,90,27,Regular
614,41,4,3/25/2013,435,60,Major Market,Central,13,Beans,Coffee,Colombian,24,101,Ohio,40,50,20,90,36,Regular
339,47,-10,3/26/2013,571,52,Major Market,East,42,Beans,Espresso,Caffe Mocha,-20,99,Massachusetts,40,50,-10,90,72,Regular
773,43,-1,3/27/2013,531,56,Major Market,Central,14,Leaves,Herbal Tea,Lemon,29,99,Illinois,40,50,30,90,27,Decaf
805,43,-1,3/28/2013,531,56,Major Market,West,14,Leaves,Herbal Tea,Mint,29,99,California,40,50,30,90,27,Decaf
303,46,-4,3/29/2013,422,57,Major Market,Central,17,Leaves,Tea,Darjeeling,6,103,Colorado,30,50,10,80,51,Regular
303,53,6,3/30/2013,1054,63,Major Market,Central,16,Leaves,Tea,Earl Grey,26,116,Colorado,40,50,20,90,37,Regular
617,33,-11,3/31/2013,870,49,Major Market,East,9,Leaves,Tea,Darjeeling,29,82,Massachusetts,30,50,40,80,20,Regular
863,34,-10,4/1/2013,863,51,Major Market,East,9,Leaves,Tea,Green Tea,30,85,Florida,30,50,40,80,21,Regular
641,0,-8,4/2/2013,344,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,32,43,Iowa,0,50,40,50,11,Decaf
225,43,7,4/3/2013,466,63,Small Market,South,13,Beans,Espresso,Decaf Espresso,27,106,Louisiana,30,50,20,80,36,Decaf
702,31,-22,4/4/2013,1009,38,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,8,69,Nevada,30,50,30,80,30,Decaf
515,23,-23,4/5/2013,807,35,Small Market,Central,6,Beans,Espresso,Caffe Mocha,17,58,Iowa,20,50,40,70,18,Regular
985,41,11,4/6/2013,320,66,Small Market,South,12,Beans,Espresso,Caffe Mocha,31,107,Louisiana,30,50,20,80,35,Regular
971,46,-4,4/7/2013,422,57,Small Market,West,17,Beans,Espresso,Caffe Latte,6,103,Oregon,40,50,10,90,51,Regular
262,43,8,4/8/2013,466,63,Small Market,Central,13,Leaves,Tea,Darjeeling,28,106,Wisconsin,30,50,20,80,35,Regular
959,33,-12,4/9/2013,818,49,Small Market,East,9,Leaves,Tea,Green Tea,28,82,Connecticut,30,50,40,80,21,Regular
435,49,-4,4/10/2013,335,69,Small Market,West,44,Leaves,Tea,Darjeeling,-4,118,Utah,30,50,0,80,73,Regular
360,55,7,4/11/2013,627,76,Small Market,West,49,Leaves,Tea,Green Tea,-3,131,Washington,40,50,-10,90,79,Regular
303,39,-10,4/12/2013,541,51,Major Market,Central,12,Beans,Coffee,Colombian,40,96,Colorado,30,50,50,80,24,Regular
904,80,31,4/13/2013,1055,94,Major Market,East,24,Leaves,Herbal Tea,Mint,71,185,Florida,40,50,40,90,46,Decaf
720,54,-11,4/14/2013,404,66,Major Market,Central,20,Leaves,Tea,Darjeeling,19,128,Colorado,30,50,30,80,53,Regular
970,54,0,4/15/2013,1037,64,Major Market,Central,16,Leaves,Tea,Earl Grey,40,126,Colorado,30,50,40,80,37,Regular
978,27,-20,4/16/2013,859,39,Major Market,East,7,Leaves,Tea,Darjeeling,30,70,Massachusetts,20,50,50,70,19,Regular
626,76,67,4/17/2013,580,111,Major Market,West,21,Leaves,Tea,Earl Grey,117,199,California,30,50,50,80,32,Regular
262,22,-35,4/18/2013,573,29,Small Market,Central,7,Beans,Espresso,Decaf Espresso,15,54,Wisconsin,20,50,50,70,19,Decaf
641,23,-23,4/19/2013,800,35,Small Market,Central,6,Beans,Espresso,Caffe Mocha,27,62,Iowa,20,50,50,70,17,Regular
