Month,furniture_price_adjusted
2017-12-01,10833.50185235067
2018-01-01,8417.343127954686
2018-02-01,8266.943270052818
2018-03-01,9754.740971498393
2018-04-01,8973.88575934666
2018-05-01,9733.086145041594
2018-06-01,9554.807941099543
2018-07-01,9542.663403094146
2018-08-01,10010.598100413412
2018-09-01,9407.29734034455
2018-10-01,9569.037851195148
2018-11-01,10380.194096681384
2018-12-01,10726.59507497238
2019-01-01,8431.965334301474
2019-02-01,8271.237354632438
2019-03-01,9718.107697893121
2019-04-01,9248.814253535862
2019-05-01,10001.305304086101
2019-06-01,9431.337229320621
2019-07-01,9887.800687848656
