date,hour,demand
2018-08-30,9,97
2018-08-30,10,49
2018-08-30,11,82
2018-08-30,12,73
2018-08-30,13,109
2018-08-30,14,43
2018-08-30,15,53
2018-08-30,16,47
2018-08-30,17,80
2018-08-30,18,62
2018-08-30,19,101
2018-08-30,20,14
2018-08-30,23,92
2018-08-31,1,45
2018-08-31,8,42
2018-08-31,9,67
2018-08-31,10,10
2018-08-31,11,38
2018-08-31,12,14
2018-08-31,13,10
2018-08-31,14,57
2018-08-31,15,99
2018-08-31,16,25
2018-08-31,17,68
2018-08-31,18,9
2018-08-31,19,44
2018-08-31,23,22
2018-09-01,8,89
2018-09-01,9,49
2018-09-01,10,20
2018-09-01,11,73
2018-09-01,12,37
2018-09-01,13,21
2018-09-01,14,30
2018-09-01,15,88
2018-09-01,16,56
2018-09-01,17,45
2018-09-01,18,72
2018-09-01,19,44
2018-09-01,20,83
2018-09-01,21,11
2018-09-01,22,66
2018-09-02,0,94
2018-09-02,2,59
2018-09-02,10,94
2018-09-02,11,100
2018-09-02,12,29
2018-09-02,13,37
2018-09-02,14,26
2018-09-02,15,17
2018-09-02,16,40
2018-09-02,17,97
2018-09-02,18,68
2018-09-02,20,27
2018-09-02,21,43
2018-09-03,7,73
2018-09-03,8,60
2018-09-03,9,85
2018-09-03,10,40
2018-09-03,12,98
2018-09-03,13,34
2018-09-03,15,14
2018-09-03,16,92
2018-09-03,17,40
2018-09-03,18,35
2018-09-04,8,45
2018-09-04,10,61
2018-09-04,11,16
2018-09-04,12,92
2018-09-04,13,53
2018-09-04,15,105
2018-09-04,16,96
2018-09-04,17,43
2018-09-04,18,98
2018-09-04,19,9
2018-09-04,20,73
2018-09-04,22,57
2018-09-04,23,63
2018-09-05,0,21
2018-09-05,8,60
2018-09-05,9,56
2018-09-05,11,66
2018-09-05,13,6
2018-09-05,15,104
2018-09-05,16,55
2018-09-05,17,90
2018-09-05,18,11
2018-09-05,19,27
2018-09-05,23,55
2018-09-06,8,54
2018-09-06,9,40
2018-09-06,10,57
2018-09-06,11,46
2018-09-06,12,72
2018-09-06,13,19
2018-09-06,14,70
2018-09-06,15,51
2018-09-06,16,13
2018-09-06,17,61
2018-09-06,18,103
2018-09-06,19,13
2018-09-06,21,19
2018-09-06,22,96
2018-09-06,23,5
2018-09-07,6,56
2018-09-07,7,47
2018-09-07,8,61
2018-09-07,9,12
2018-09-07,10,19
2018-09-07,11,68
2018-09-07,12,81
2018-09-07,13,54
2018-09-07,14,33
2018-09-07,15,87
2018-09-07,16,37
2018-09-07,17,11
2018-09-07,18,87
2018-09-07,19,70
2018-09-07,21,34
2018-09-07,22,24
2018-09-07,23,30
2018-09-08,0,86
2018-09-08,2,37
2018-09-08,3,25
2018-09-08,8,31
2018-09-08,9,13
2018-09-08,10,107
2018-09-08,11,103
2018-09-08,12,38
2018-09-08,13,47
2018-09-08,14,102
2018-09-08,15,95
2018-09-08,16,107
2018-09-08,17,44
2018-09-08,18,31
2018-09-08,19,35
2018-09-08,20,83
2018-09-08,21,64
2018-09-08,22,78
2018-09-08,23,18
2018-09-09,1,56
2018-09-09,8,65
2018-09-09,9,62
2018-09-09,10,46
2018-09-09,11,112
2018-09-09,12,87
2018-09-09,13,19
2018-09-09,14,65
2018-09-09,15,40
2018-09-09,16,91
2018-09-09,17,93
2018-09-09,18,20
2018-09-09,20,27
2018-09-09,21,63
2018-09-09,23,79
2018-09-10,0,18
2018-09-10,1,83
2018-09-10,5,61
2018-09-10,7,19
2018-09-10,8,47
2018-09-10,9,56
2018-09-10,10,26
2018-09-10,11,64
2018-09-10,12,63
2018-09-10,13,62
2018-09-10,14,73
2018-09-10,15,96
2018-09-10,16,49
2018-09-10,17,66
2018-09-10,18,90
2018-09-10,19,11
2018-09-10,21,94
2018-09-11,6,61
2018-09-11,7,98
2018-09-11,8,29
2018-09-11,9,65
2018-09-11,10,59
2018-09-11,11,70
2018-09-11,12,79
2018-09-11,13,33
2018-09-11,14,45
2018-09-11,15,38
2018-09-11,16,74
2018-09-11,17,104
2018-09-11,18,53
2018-09-11,19,61
2018-09-11,20,38
2018-09-11,21,93
2018-09-12,6,54
2018-09-12,7,48
2018-09-12,8,59
2018-09-12,9,33
2018-09-12,10,66
2018-09-12,11,12
2018-09-12,12,64
2018-09-12,13,12
2018-09-12,14,68
2018-09-12,15,79
2018-09-12,16,63
2018-09-12,17,87
2018-09-12,18,77
2018-09-12,19,51
2018-09-12,20,4
2018-09-12,22,99
2018-09-13,5,3
2018-09-13,6,34
2018-09-13,7,71
2018-09-13,8,70
2018-09-13,9,16
2018-09-13,10,71
2018-09-13,11,87
2018-09-13,12,108
2018-09-13,13,20
2018-09-13,14,12
2018-09-13,15,91
2018-09-13,16,39
2018-09-13,17,33
2018-09-13,18,54
2018-09-13,19,72
2018-09-13,20,22
2018-09-13,23,85
2018-09-14,6,94
2018-09-14,7,53
2018-09-14,8,35
2018-09-14,9,60
2018-09-14,10,69
2018-09-14,11,89
2018-09-14,12,65
2018-09-14,13,66
2018-09-14,14,53
2018-09-14,15,88
2018-09-14,16,73
2018-09-14,17,24
2018-09-14,18,91
2018-09-14,19,104
2018-09-14,20,100
2018-09-14,21,35
2018-09-14,22,8
2018-09-14,23,66
2018-09-15,3,101
2018-09-15,9,98
2018-09-15,10,82
2018-09-15,11,61
2018-09-15,12,34
2018-09-15,13,58
2018-09-15,14,98
2018-09-15,15,57
2018-09-15,16,81
2018-09-15,17,40
2018-09-15,18,53
2018-09-15,19,70
2018-09-15,21,83
2018-09-15,22,23
2018-09-16,1,53
2018-09-16,2,32
2018-09-16,7,24
2018-09-16,8,52
2018-09-16,9,14
2018-09-16,10,33
2018-09-16,11,19
2018-09-16,12,111
2018-09-16,13,32
2018-09-16,14,26
2018-09-16,15,34
2018-09-16,16,103
2018-09-16,17,116
2018-09-16,18,25
2018-09-16,19,21
2018-09-16,21,97
2018-09-17,6,68
2018-09-17,7,42
2018-09-17,8,20
2018-09-17,9,86
2018-09-17,10,41
2018-09-17,11,72
2018-09-17,12,27
2018-09-17,13,43
2018-09-17,14,109
2018-09-17,15,70
2018-09-17,16,97
2018-09-17,17,42
2018-09-17,18,19
2018-09-17,19,94
2018-09-17,20,53
2018-09-17,21,77
2018-09-17,22,20
2018-09-17,23,11
2018-09-18,7,78
2018-09-18,8,92
2018-09-18,9,68
2018-09-18,10,89
2018-09-18,11,77
2018-09-18,12,52
2018-09-18,13,41
2018-09-18,14,69
2018-09-18,15,23
2018-09-18,16,72
2018-09-18,17,27
2018-09-18,18,37
2018-09-18,19,12
2018-09-18,20,58
2018-09-18,21,71
2018-09-18,22,20
2018-09-19,6,24
2018-09-19,8,18
2018-09-19,9,47
2018-09-19,10,30
2018-09-19,11,36
2018-09-19,12,54
2018-09-19,13,24
2018-09-19,14,65
2018-09-19,15,9
2018-09-19,16,79
2018-09-19,17,90
2018-09-19,18,46
2018-09-19,19,53
2018-09-19,20,64
2018-09-19,22,18
2018-09-19,23,99
2018-09-20,6,5
2018-09-20,7,84
2018-09-20,8,27
2018-09-20,9,94
2018-09-20,10,81
2018-09-20,11,43
2018-09-20,12,76
2018-09-20,13,79
2018-09-20,14,86
2018-09-20,15,30
2018-09-20,16,89
2018-09-20,18,91
2018-09-20,21,65
2018-09-21,9,64
2018-09-21,10,100
2018-09-21,11,54
2018-09-21,12,95
2018-09-21,13,6
2018-09-21,14,89
2018-09-21,15,45
2018-09-21,16,18
2018-09-21,17,26
2018-09-21,19,90
2018-09-21,20,77
2018-09-21,21,1
2018-09-21,23,55
2018-09-22,9,84
2018-09-22,10,34
2018-09-22,11,58
2018-09-22,12,45
2018-09-22,13,32
2018-09-22,14,45
2018-09-22,15,77
2018-09-22,16,130
2018-09-22,17,65
2018-09-22,18,29
2018-09-22,19,41
2018-09-22,20,89
2018-09-22,21,85
2018-09-22,22,77
2018-09-22,23,41
2018-09-23,2,21
2018-09-23,3,33
2018-09-23,4,26
2018-09-23,7,69
2018-09-23,8,64
2018-09-23,9,61
2018-09-23,10,114
2018-09-23,11,92
2018-09-23,12,98
2018-09-23,13,20
2018-09-23,14,62
2018-09-23,15,92
2018-09-23,16,35
2018-09-23,17,26
2018-09-23,18,109
2018-09-23,19,41
2018-09-23,20,19
2018-09-24,6,61
2018-09-24,7,23
2018-09-24,8,93
2018-09-24,9,18
2018-09-24,10,81
2018-09-24,11,73
2018-09-24,12,43
2018-09-24,13,82
2018-09-24,14,45
2018-09-24,15,62
2018-09-24,16,16
2018-09-24,17,19
2018-09-24,18,89
2018-09-24,19,23
2018-09-24,20,87
2018-09-24,21,90
2018-09-25,7,74
2018-09-25,10,25
2018-09-25,15,2
2018-09-25,16,37
2018-09-25,17,8
2018-09-25,18,23
2018-09-25,19,65
2018-09-25,21,66
2018-09-25,22,72
2018-09-26,6,24
2018-09-26,8,46
2018-09-26,9,51
2018-09-26,11,33
2018-09-26,12,10
2018-09-26,13,76
2018-09-26,14,60
2018-09-26,15,61
2018-09-26,16,45
2018-09-26,17,53
2018-09-26,18,82
2018-09-26,19,6
2018-09-26,21,40
2018-09-27,6,22
2018-09-27,7,67
2018-09-27,8,87
2018-09-27,9,82
2018-09-27,11,23
2018-09-27,12,18
2018-09-27,13,62
2018-09-27,14,65
2018-09-27,15,15
2018-09-27,16,73
2018-09-27,17,99
2018-09-27,18,34
2018-09-27,19,59
2018-09-27,20,24
2018-09-27,21,68
2018-09-27,22,60
2018-09-28,0,21
2018-09-28,5,9
2018-09-28,6,41
2018-09-28,7,90
2018-09-28,8,42
2018-09-28,9,21
2018-09-28,10,33
2018-09-28,11,58
2018-09-28,12,86
2018-09-28,13,47
2018-09-28,14,20
2018-09-28,15,67
2018-09-28,16,20
2018-09-28,17,55
2018-09-28,18,75
2018-09-28,19,16
2018-09-28,20,66
2018-09-28,21,86
2018-09-28,22,18
2018-09-28,23,61
2018-09-29,0,67
2018-09-29,2,78
2018-09-29,3,98
2018-09-29,8,31
2018-09-29,9,95
2018-09-29,10,87
2018-09-29,11,109
2018-09-29,12,103
2018-09-29,13,107
2018-09-29,14,106
2018-09-29,15,37
2018-09-29,16,91
2018-09-29,17,52
2018-09-29,18,22
2018-09-29,19,73
2018-09-29,20,63
2018-09-29,21,27
2018-09-29,22,21
2018-09-29,23,88
2018-09-30,1,8
2018-09-30,2,97
2018-09-30,10,67
2018-09-30,12,46
2018-09-30,13,91
2018-09-30,14,22
2018-09-30,21,48
2018-10-01,1,65
2018-10-01,5,15
2018-10-01,6,64
2018-10-01,7,19
2018-10-01,8,44
2018-10-01,9,90
2018-10-01,10,35
2018-10-01,11,57
2018-10-01,12,46
2018-10-01,13,78
2018-10-01,14,56
2018-10-01,15,50
2018-10-01,16,29
2018-10-01,17,47
2018-10-01,18,96
2018-10-01,19,49
2018-10-01,21,71
2018-10-01,22,83
2018-10-02,6,17
2018-10-02,7,37
2018-10-02,8,87
2018-10-02,9,15
2018-10-02,10,9
2018-10-02,11,41
2018-10-02,12,49
2018-10-02,13,72
2018-10-02,14,50
2018-10-02,15,57
2018-10-02,16,45
2018-10-02,17,78
2018-10-02,18,21
2018-10-02,19,102
2018-10-02,20,67
2018-10-02,21,103
2018-10-02,22,60
2018-10-02,23,76
2018-10-03,5,99
2018-10-03,8,85
2018-10-03,9,81
2018-10-03,10,74
2018-10-03,11,60
2018-10-03,12,78
2018-10-03,13,53
2018-10-03,14,49
2018-10-03,15,100
2018-10-03,16,13
2018-10-03,17,26
2018-10-03,19,62
2018-10-03,20,77
2018-10-03,21,94
2018-10-04,6,67
2018-10-04,7,79
2018-10-04,9,62
2018-10-04,10,68
2018-10-04,11,13
2018-10-04,12,13
2018-10-04,13,41
2018-10-04,14,68
2018-10-04,15,27
2018-10-04,16,57
2018-10-04,17,21
2018-10-04,18,63
2018-10-04,20,88
2018-10-04,22,93
2018-10-05,0,15
2018-10-05,5,16
2018-10-05,6,32
2018-10-05,8,92
2018-10-05,9,73
2018-10-05,10,75
2018-10-05,11,62
2018-10-05,12,77
2018-10-05,13,87
2018-10-05,14,104
2018-10-05,15,60
2018-10-05,16,34
2018-10-05,17,95
2018-10-05,18,13
2018-10-05,19,4
2018-10-05,20,61
2018-10-05,22,102
2018-10-05,23,18
2018-10-06,8,60
2018-10-06,9,94
2018-10-06,10,52
2018-10-06,11,66
2018-10-06,12,73
2018-10-06,13,118
2018-10-06,14,113
2018-10-06,15,132
2018-10-06,16,100
2018-10-06,17,112
2018-10-06,18,62
2018-10-06,19,82
2018-10-06,20,45
2018-10-06,21,76
2018-10-06,22,81
2018-10-07,0,43
2018-10-07,2,47
2018-10-07,8,67
2018-10-07,10,22
2018-10-07,11,105
2018-10-07,12,74
2018-10-07,13,109
2018-10-07,14,109
2018-10-07,15,127
2018-10-07,16,90
2018-10-07,17,86
2018-10-07,18,84
2018-10-07,19,38
2018-10-07,20,83
2018-10-07,21,16
2018-10-07,23,89
2018-10-08,0,55
2018-10-08,1,61
2018-10-08,4,55
2018-10-08,6,72
2018-10-08,8,6
2018-10-08,9,55
2018-10-08,10,22
2018-10-08,11,68
2018-10-08,12,33
2018-10-08,13,14
2018-10-08,14,22
2018-10-08,15,71
2018-10-08,16,12
2018-10-08,17,19
2018-10-08,18,35
2018-10-08,20,93
2018-10-08,21,72
2018-10-08,22,13
2018-10-09,4,25
2018-10-09,6,2
2018-10-09,8,69
2018-10-09,9,85
2018-10-09,10,90
2018-10-09,11,2
2018-10-09,12,96
2018-10-09,13,37
2018-10-09,14,94
2018-10-09,15,39
2018-10-09,17,23
2018-10-09,18,100
2018-10-09,19,22
2018-10-09,22,56
2018-10-10,3,23
2018-10-10,6,37
2018-10-10,7,78
2018-10-10,8,80
2018-10-10,9,45
2018-10-10,10,51
2018-10-10,11,44
2018-10-10,12,59
2018-10-10,13,17
2018-10-10,14,16
2018-10-10,15,94
2018-10-10,16,105
2018-10-10,17,56
2018-10-10,18,24
2018-10-10,19,21
2018-10-10,20,76
2018-10-10,21,79
2018-10-10,22,74
2018-10-10,23,58
2018-10-11,6,78
2018-10-11,7,18
2018-10-11,8,8
2018-10-11,9,61
2018-10-11,10,57
2018-10-11,11,62
2018-10-11,12,116
2018-10-11,13,109
2018-10-11,14,112
2018-10-11,15,63
2018-10-11,16,37
2018-10-11,17,46
2018-10-11,18,13
2018-10-11,19,22
2018-10-11,20,43
2018-10-11,21,94
2018-10-11,22,16
2018-10-12,1,18
2018-10-12,2,11
2018-10-12,6,24
2018-10-12,7,63
2018-10-12,8,42
2018-10-12,9,25
2018-10-12,10,16
2018-10-12,11,98
2018-10-12,12,109
2018-10-12,13,43
2018-10-12,14,53
2018-10-12,15,71
2018-10-12,16,45
2018-10-12,17,81
2018-10-12,18,24
2018-10-12,19,97
2018-10-12,20,10
2018-10-12,21,97
2018-10-12,22,20
2018-10-12,23,71
2018-10-13,0,52
2018-10-13,1,87
2018-10-13,2,90
2018-10-13,3,34
2018-10-13,7,76
2018-10-13,8,56
2018-10-13,9,87
2018-10-13,10,35
2018-10-13,11,139
2018-10-13,12,116
2018-10-13,13,165
2018-10-13,14,161
2018-10-13,15,116
2018-10-13,16,136
2018-10-13,17,123
2018-10-13,18,59
2018-10-13,19,39
2018-10-13,20,84
2018-10-13,21,62
2018-10-13,22,88
2018-10-13,23,54
2018-10-14,0,71
2018-10-14,1,57
2018-10-14,2,50
2018-10-14,3,98
2018-10-14,4,8
2018-10-14,5,98
2018-10-14,6,46
2018-10-14,7,78
2018-10-14,8,139
2018-10-14,9,94
2018-10-14,10,40
2018-10-14,11,102
2018-10-14,12,44
2018-10-14,13,120
2018-10-14,14,74
2018-10-14,15,103
2018-10-14,16,70
2018-10-14,17,126
2018-10-14,18,107
2018-10-14,19,94
2018-10-14,20,70
2018-10-14,21,104
2018-10-14,22,92
2018-10-14,23,21
2018-10-15,0,84
2018-10-15,6,79
2018-10-15,7,60
2018-10-15,8,63
2018-10-15,9,27
2018-10-15,10,87
2018-10-15,11,123
2018-10-15,12,121
2018-10-15,13,145
2018-10-15,14,133
2018-10-15,15,59
2018-10-15,16,103
2018-10-15,17,97
2018-10-15,18,38
2018-10-15,19,108
2018-10-15,20,105
2018-10-15,21,15
2018-10-15,22,84
2018-10-15,23,21
2018-10-16,0,42
2018-10-16,2,3
2018-10-16,4,14
2018-10-16,6,87
2018-10-16,7,102
2018-10-16,8,15
2018-10-16,9,53
2018-10-16,10,96
2018-10-16,11,43
2018-10-16,12,105
2018-10-16,13,99
2018-10-16,14,32
2018-10-16,15,6
2018-10-16,16,17
2018-10-16,17,37
2018-10-16,18,46
2018-10-16,19,34
2018-10-16,20,54
2018-10-16,21,92
2018-10-16,22,82
2018-10-17,0,81
2018-10-17,4,2
2018-10-17,6,100
2018-10-17,7,78
2018-10-17,8,72
2018-10-17,9,62
2018-10-17,10,55
2018-10-17,11,39
2018-10-17,12,68
2018-10-17,13,83
2018-10-17,14,38
2018-10-17,15,47
2018-10-17,16,107
2018-10-17,17,53
2018-10-17,18,84
2018-10-17,19,91
2018-10-17,20,87
2018-10-17,21,65
2018-10-17,22,34
2018-10-17,23,23
2018-10-18,6,66
2018-10-18,7,77
2018-10-18,8,26
2018-10-18,9,27
2018-10-18,10,103
2018-10-18,11,83
2018-10-18,12,110
2018-10-18,13,27
2018-10-18,14,70
2018-10-18,15,23
2018-10-18,16,67
2018-10-18,17,58
2018-10-18,18,102
2018-10-18,19,101
2018-10-18,20,61
2018-10-18,21,22
2018-10-18,22,89
2018-10-18,23,55
2018-10-19,0,21
2018-10-19,6,86
2018-10-19,7,99
2018-10-19,8,90
2018-10-19,9,33
2018-10-19,10,85
2018-10-19,11,51
2018-10-19,12,114
2018-10-19,13,33
2018-10-19,14,58
2018-10-19,15,123
2018-10-19,16,53
2018-10-19,17,19
2018-10-19,18,87
2018-10-19,19,22
2018-10-19,20,73
2018-10-19,21,54
2018-10-20,0,98
2018-10-20,2,49
2018-10-20,3,35
2018-10-20,4,26
2018-10-20,8,76
2018-10-20,9,67
2018-10-20,10,97
2018-10-20,11,74
2018-10-20,12,43
2018-10-20,13,90
2018-10-20,14,158
2018-10-20,15,128
2018-10-20,16,122
2018-10-20,17,14
2018-10-20,18,32
2018-10-20,19,42
2018-10-20,20,14
2018-10-20,21,59
2018-10-20,22,29
2018-10-20,23,36
2018-10-21,0,74
2018-10-21,6,49
2018-10-21,8,70
2018-10-21,9,73
2018-10-21,10,27
2018-10-21,11,104
2018-10-21,12,101
2018-10-21,13,68
2018-10-21,14,129
2018-10-21,15,71
2018-10-21,16,134
2018-10-21,17,98
2018-10-21,18,75
2018-10-21,19,77
2018-10-21,20,46
2018-10-21,21,70
2018-10-21,22,56
2018-10-21,23,80
2018-10-22,0,12
2018-10-22,6,64
2018-10-22,7,47
2018-10-22,8,38
2018-10-22,9,55
2018-10-22,10,16
2018-10-22,11,29
2018-10-22,12,94
2018-10-22,13,84
2018-10-22,14,28
2018-10-22,15,116
2018-10-22,16,46
2018-10-22,17,55
2018-10-22,18,44
2018-10-22,19,33
2018-10-22,20,14
2018-10-22,21,73
2018-10-22,22,23
2018-10-22,23,50
2018-10-23,0,64
2018-10-23,6,55
2018-10-23,7,92
2018-10-23,8,19
2018-10-23,9,60
2018-10-23,10,29
2018-10-23,11,32
2018-10-23,12,30
2018-10-23,13,49
2018-10-23,14,71
2018-10-23,15,98
2018-10-23,16,33
2018-10-23,17,20
2018-10-23,18,104
2018-10-23,19,41
2018-10-23,20,42
2018-10-23,21,25
2018-10-23,22,20
2018-10-23,23,24
2018-10-24,6,80
2018-10-24,7,29
2018-10-24,8,52
2018-10-24,9,62
2018-10-24,10,77
2018-10-24,11,92
2018-10-24,13,56
2018-10-24,14,55
2018-10-24,15,31
2018-10-24,16,18
2018-10-24,17,88
2018-10-24,18,32
2018-10-24,19,20
2018-10-24,20,12
2018-10-24,21,79
2018-10-24,22,39
2018-10-25,0,45
2018-10-25,1,66
2018-10-25,6,70
2018-10-25,7,76
2018-10-25,8,51
2018-10-25,9,35
2018-10-25,10,10
2018-10-25,11,71
2018-10-25,12,73
2018-10-25,13,50
2018-10-25,14,89
2018-10-25,15,105
2018-10-25,16,111
2018-10-25,17,41
2018-10-25,18,43
2018-10-25,19,34
2018-10-25,20,10
2018-10-25,21,80
2018-10-25,22,83
2018-10-25,23,23
2018-10-26,4,19
2018-10-26,6,8
2018-10-26,7,24
2018-10-26,8,9
2018-10-26,9,26
2018-10-26,10,28
2018-10-26,11,56
2018-10-26,12,97
2018-10-26,13,107
2018-10-26,14,87
2018-10-26,15,82
2018-10-26,16,80
2018-10-26,17,80
2018-10-26,18,82
2018-10-26,19,48
2018-10-26,20,20
2018-10-26,21,85
2018-10-26,22,93
2018-10-26,23,49
2018-10-27,0,58
2018-10-27,1,34
2018-10-27,2,20
2018-10-27,3,41
2018-10-27,8,38
2018-10-27,9,28
2018-10-27,10,102
2018-10-27,11,111
2018-10-27,12,117
2018-10-27,13,111
2018-10-27,14,101
2018-10-27,15,142
2018-10-27,16,120
2018-10-27,17,135
2018-10-27,18,112
2018-10-27,19,80
2018-10-27,20,30
2018-10-27,21,52
2018-10-27,22,67
2018-10-27,23,51
2018-10-28,0,19
2018-10-28,1,28
2018-10-28,2,29
2018-10-28,3,58
2018-10-28,4,86
2018-10-28,7,70
2018-10-28,8,49
2018-10-28,9,88
2018-10-28,11,42
2018-10-28,12,25
2018-10-28,13,16
2018-10-28,14,81
2018-10-28,15,92
2018-10-28,16,28
2018-10-28,17,86
2018-10-28,18,28
2018-10-28,19,8
2018-10-28,22,41
2018-10-28,23,57
2018-10-29,6,46
2018-10-29,7,86
2018-10-29,8,96
2018-10-29,9,13
2018-10-29,10,47
2018-10-29,11,17
2018-10-29,12,62
2018-10-29,13,25
2018-10-29,14,109
2018-10-29,15,15
2018-10-29,16,47
2018-10-29,17,87
2018-10-29,18,55
2018-10-29,19,95
2018-10-29,20,95
2018-10-29,21,52
2018-10-29,22,17
2018-10-29,23,92
2018-10-30,6,6
2018-10-30,8,58
2018-10-30,9,99
2018-10-30,10,55
2018-10-30,11,70
2018-10-30,12,76
2018-10-30,13,33
2018-10-30,14,92
2018-10-30,15,38
2018-10-30,16,68
2018-10-30,17,107
2018-10-30,18,39
2018-10-30,19,21
2018-10-30,20,68
2018-10-30,21,45
2018-10-30,22,53
2018-10-30,23,62
2018-10-31,0,73
2018-10-31,6,11
2018-10-31,7,42
2018-10-31,8,75
2018-10-31,9,57
2018-10-31,10,82
2018-10-31,11,31
2018-10-31,12,73
2018-10-31,13,95
2018-10-31,14,39
2018-10-31,15,65
2018-10-31,16,90
2018-10-31,17,86
2018-10-31,18,93
2018-10-31,19,21
2018-10-31,20,35
2018-10-31,21,84
2018-10-31,22,92
2018-10-31,23,11
2018-11-01,0,63
2018-11-01,1,20
2018-11-01,2,40
2018-11-01,6,100
2018-11-01,7,25
2018-11-01,8,87
2018-11-01,9,72
2018-11-01,10,49
2018-11-01,11,76
2018-11-01,12,43
2018-11-01,13,48
2018-11-01,14,55
2018-11-01,15,96
2018-11-01,16,62
2018-11-01,17,125
2018-11-01,18,34
2018-11-01,19,80
2018-11-01,20,38
2018-11-01,21,59
2018-11-01,22,104
2018-11-01,23,46
2018-11-02,0,91
2018-11-02,1,32
2018-11-02,2,81
2018-11-02,6,42
2018-11-02,7,69
2018-11-02,8,106
2018-11-02,9,44
2018-11-02,10,164
2018-11-02,11,135
2018-11-02,12,127
2018-11-02,13,125
2018-11-02,14,183
2018-11-02,15,154
2018-11-02,16,176
2018-11-02,17,160
2018-11-02,18,134
2018-11-02,19,155
2018-11-02,20,52
2018-11-02,21,82
2018-11-02,22,54
2018-11-02,23,89
