product_id,product_name,category,price_per_kg,units_shipped_kg,units_sold_kg,units_on_hand_kg,supplier,farm_location,sale_date
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.74,4160,1553,2607,Orchard Lane Farms,"Lulaworth, KS",2022-06-21
dd7f2ac0-a03a-487d-bf43-96d8415c3a60,Rye,Grains,1.00,45191,16574,28617,Organic Grain Collective,"Braunworth, DE",2023-09-26
57ad2178-9598-4981-b0f7-78a91162821e,Cheese,Dairy,8.89,3352,1117,2235,Dairyland Co-op,"South Katelin, IN",2022-08-22
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,4.84,23658,14713,8945,Golden Orchards,"Carrieview, NY",2023-06-02
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.79,26667,21168,5499,Farmers Grain Union,"Port Georgette, KY",2022-05-09
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.64,18652,1094,17558,Midwest Grains Co.,"Kosschester, GA",2023-08-30
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.57,3903,3549,354,Organic Grain Collective,"East Dusty, AR",2022-10-07
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.78,47471,6197,41274,Citrus World Inc.,"East Nathen, SC",2022-02-05
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,5.71,5343,2204,3139,Fresh Dairy Farms,"Hesselburgh, NV",2022-02-06
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,4.61,4320,2980,1340,Organic Valley,"Rhiannonworth, IA",2022-11-14
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,8.33,45590,1400,44190,Organic Meats Co.,"Devonton, MS",2023-07-26
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.11,37399,30079,7320,Dairyland Co-op,"South Waltonbury, CT",2023-02-03
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,8.33,24476,17198,7278,Organic Meats Co.,"Stammberg, VA",2023-08-10
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,7.96,24880,22857,2023,Ranchers Pride,"East Leone, IL",2023-04-07
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,3.76,29897,14133,15764,Berry Fields,"Gleichnermouth, ME",2022-09-01
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.42,19030,14222,4808,Golden Harvest Agriculture,"Oceanside, SD",2022-02-27
0985f295-bb82-484f-9cab-76637e8e8bdb,Chicken,Livestock,3.41,12505,977,11528,Ranchers Pride,"Paucekfield, WA",2023-07-18
0985f295-bb82-484f-9cab-76637e8e8bdb,Chicken,Livestock,3.05,36294,13084,23210,Organic Meats Co.,"Carrollton, TN",2023-07-20
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,1.19,1375,463,912,Midwest Grains Co.,"East Jordonfort, AL",2023-04-25
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.79,25816,18541,7275,Midwest Grains Co.,"New Mauricio, ME",2023-11-11
57ad2178-9598-4981-b0f7-78a91162821e,Cheese,Dairy,7.90,49280,41151,8129,Dairyland Co-op,"Fosterfort, WI",2022-09-12
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.62,22113,16837,5276,Green Valley Farms,"Lake Ephraimtown, WA",2023-01-21
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,4.30,19689,822,18867,Happy Cows Dairy,"Port Tina, MD",2022-05-29
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,0.88,19891,7328,12563,Green Valley Farms,"Ankundingshire, CA",2023-11-22
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,7.81,8602,3194,5408,Prime Meats LLC,"West Chynacester, VT",2023-01-21
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,13.53,40482,10082,30400,Country Fresh Meats,"North Kathleen, TN",2023-08-09
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.64,7141,5543,1598,Organic Grain Collective,"Lake Sylvan, DE",2022-06-01
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,4.78,39744,6722,33022,Fresh Dairy Farms,"Hellerfort, CT",2023-11-03
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.22,11295,6816,4479,Nature's Best Produce,"Miguelfurt, NH",2023-07-31
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.32,28934,1462,27472,Happy Cows Dairy,"Charlottesville, RI",2022-01-06
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.69,31962,18205,13757,Farmers Grain Union,"Goldnerview, ME",2023-08-19
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,9.77,15847,7836,8011,Country Fresh Meats,"West Reyesworth, NY",2022-11-21
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.61,20024,18321,1703,Golden Harvest Agriculture,"Nathanialmouth, RI",2023-08-26
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.66,12310,8774,3536,Citrus World Inc.,"West Sammy, AR",2022-12-16
7ba3ccef-363a-40c5-9bbd-a451068846c5,Yogurt,Dairy,3.26,13232,9284,3948,Fresh Dairy Farms,"Lake Charles, WA",2023-03-07
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,1.04,44956,4017,40939,Sunrise Agriculture,"Lakeland, OK",2022-12-09
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.85,40672,12917,27755,Midwest Grains Co.,"Antwonside, WI",2022-04-11
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.60,30997,23809,7188,Fresh Harvest Co.,"East Sunnyport, VA",2022-09-18
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.74,23215,12923,10292,Green Valley Farms,"Watsicaworth, CT",2023-12-18
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.17,11512,428,11084,Fresh Dairy Farms,"Borerbury, TN",2022-06-18
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.94,9333,6172,3161,Sunrise Agriculture,"West Corene, LA",2022-09-11
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.90,38677,3334,35343,Sunrise Agriculture,"Lake Michel, LA",2022-02-08
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,9.71,13086,4984,8102,Ranchers Pride,"Lake Irvingchester, NM",2022-03-12
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.85,42056,34931,7125,Berry Fields,"Swiftshire, VT",2023-08-28
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.60,11595,4603,6992,Midwest Grains Co.,"Kshlerinburgh, TN",2023-12-10
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.24,14653,12098,2555,Orchard Lane Farms,"Fort Domenickhaven, IN",2022-07-25
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,8.48,48977,37597,11380,Organic Meats Co.,"Milford, NY",2022-07-13
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.07,11085,3462,7623,Happy Cows Dairy,"Favianboro, MI",2022-01-03
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,11.30,12087,11041,1046,Ranchers Pride,"Justinachester, CT",2023-09-17
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.87,39937,11603,28334,Orchard Lane Farms,"Hayleyfurt, AR",2023-02-16
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.07,7251,2407,4844,Sunrise Agriculture,"McDermottboro, NC",2022-06-07
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.71,39472,39469,3,Midwest Grains Co.,"Port Gustave, KY",2022-04-12
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.91,26982,54,26928,Green Valley Farms,"Brockton, TN",2023-02-26
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.36,25760,21951,3809,Orchard Lane Farms,"East Eldred, UT",2022-06-10
57ad2178-9598-4981-b0f7-78a91162821e,Cheese,Dairy,6.76,34855,13223,21632,Happy Cows Dairy,"Turnertown, WA",2023-06-15
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,0.98,22883,2852,20031,Fresh Dairy Farms,"Joshuabury, PA",2023-09-29
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.39,38950,34413,4537,Fresh Dairy Farms,"Redding, AK",2022-02-26
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.44,3948,1405,2543,Golden Harvest Agriculture,"Tucson, NM",2022-11-17
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.48,24624,5799,18825,Golden Harvest Agriculture,"Jessikaboro, WI",2023-08-26
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,7.16,24022,20708,3314,Berry Fields,"Cupertino, NV",2023-05-07
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.32,10816,6082,4734,Orchard Lane Farms,"Hesperia, MD",2022-03-31
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.02,34084,5218,28866,Citrus World Inc.,"Konopelskiville, VT",2023-07-03
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.71,45899,45596,303,Berry Fields,"West Ethan, KY",2022-11-10
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.30,39651,25249,14402,Happy Cows Dairy,"North Lew, IN",2023-10-22
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,7.40,31082,5536,25546,Organic Meats Co.,"Caterinaworth, LA",2022-03-21
57ad2178-9598-4981-b0f7-78a91162821e,Cheese,Dairy,8.83,38504,15519,22985,Fresh Dairy Farms,"Parisianfurt, HI",2023-06-01
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.22,36322,3469,32853,Citrus World Inc.,"Fort Edgardofield, WI",2022-01-09
57ad2178-9598-4981-b0f7-78a91162821e,Cheese,Dairy,8.38,29686,21799,7887,Happy Cows Dairy,"East Emmanuelleton, TX",2022-09-27
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,4.05,46850,35111,11739,Orchard Lane Farms,"Collierville, MA",2023-05-21
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.91,39479,605,38874,Fresh Harvest Co.,"Kearny, NJ",2023-03-29
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,1.92,11098,1801,9297,Green Valley Farms,"West Gerard, VT",2023-11-15
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.06,42261,26889,15372,Nature's Best Produce,"Fort Cleora, AR",2022-10-16
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,13.39,32298,30528,1770,Prime Meats LLC,"New Alana, NC",2023-06-15
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,5.14,8114,4459,3655,Orchard Lane Farms,"Cadenhaven, DE",2023-01-24
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.94,41005,8662,32343,Berry Fields,"West Edwinastead, HI",2023-07-27
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.85,16766,16763,3,Orchard Lane Farms,"Adamsfort, AZ",2022-08-28
7ba3ccef-363a-40c5-9bbd-a451068846c5,Yogurt,Dairy,3.44,40904,14500,26404,Happy Cows Dairy,"Osinskiport, AL",2022-08-05
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.92,33148,32268,880,Midwest Grains Co.,"Franeckibury, LA",2022-02-21
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,5.95,9828,5773,4055,Berry Fields,"Hegmannton, IA",2023-09-06
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.35,5840,4406,1434,Fresh Dairy Farms,"Lake Frederick, MN",2022-01-17
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.49,26061,8705,17356,Midwest Grains Co.,"West Mariam, MS",2023-11-10
0985f295-bb82-484f-9cab-76637e8e8bdb,Chicken,Livestock,2.74,14044,4938,9106,Country Fresh Meats,"Grand Island, CA",2022-07-20
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.82,30380,22161,8219,Fresh Harvest Co.,"Marquesmouth, MI",2023-10-02
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.17,43706,14559,29147,Happy Cows Dairy,"Tempe, ME",2022-01-11
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,5.47,44602,23822,20780,Happy Cows Dairy,"Ellicott City, FL",2022-08-21
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.17,33908,2231,31677,Nature's Best Produce,"New Thad, IA",2023-07-30
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.39,14249,12705,1544,Golden Orchards,"Legrosland, VA",2022-05-31
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.51,6512,4313,2199,Farmers Grain Union,"New Nathaniel, IA",2023-02-07
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,3.35,31417,20359,11058,Berry Fields,"Eleanoraview, CT",2022-06-03
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,4.53,34164,18268,15896,Citrus World Inc.,"New Morris, NJ",2023-01-19
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.25,32169,32110,59,Organic Valley,"Dorianburgh, DE",2022-11-10
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,4.51,24624,17516,7108,Fresh Dairy Farms,"Lakeland, SC",2022-08-20
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.82,41177,33101,8076,Sunrise Agriculture,"East Rustyville, SC",2023-06-09
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.76,39705,31879,7826,Citrus World Inc.,"Hayleyside, NC",2023-05-16
9bb2d8db-a7ac-4d40-9d3c-0c96cafe7153,Butter,Dairy,4.58,37824,30952,6872,Fresh Dairy Farms,"West Stephon, CO",2023-01-23
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.10,40933,6374,34559,Dairyland Co-op,"Cleveland Heights, CO",2023-11-03
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.60,47168,45695,1473,Midwest Grains Co.,"Fort Brandifurt, IA",2022-01-07
7ba3ccef-363a-40c5-9bbd-a451068846c5,Yogurt,Dairy,3.45,9861,4201,5660,Organic Valley,"Lake Carloport, ID",2023-10-06
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.88,7738,5684,2054,Nature's Best Produce,"Salvatoreside, TN",2023-12-30
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,10.22,14457,11970,2487,Prime Meats LLC,"Ashleyville, IA",2023-07-29
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.11,3421,791,2630,Organic Valley,"Tillmanton, NJ",2023-05-18
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.77,39424,34755,4669,Farmers Grain Union,"South Berneiceport, MS",2023-08-26
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,7.14,15841,11804,4037,Ranchers Pride,"Lake Mariaboro, IN",2022-04-24
57ad2178-9598-4981-b0f7-78a91162821e,Cheese,Dairy,8.20,42850,27161,15689,Fresh Dairy Farms,"Port Alexandria, IL",2022-10-23
0985f295-bb82-484f-9cab-76637e8e8bdb,Chicken,Livestock,2.93,1551,0,1551,Prime Meats LLC,"Cruickshankside, NM",2022-02-07
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,0.87,21933,3757,18176,Nature's Best Produce,"New Chasehaven, SD",2023-02-15
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.48,5636,4558,1078,Golden Harvest Agriculture,"New Mitchellcester, CA",2023-03-11
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,0.80,40819,11598,29221,Green Valley Farms,"Strongsville, OR",2023-08-04
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,6.82,2723,484,2239,Orchard Lane Farms,"Lebsackton, UT",2023-03-09
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,11.45,44231,16267,27964,Country Fresh Meats,"Pomona, OH",2022-07-17
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,6.30,13694,5452,8242,Prime Meats LLC,"Lawton, AL",2022-09-11
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.91,43085,3120,39965,Green Valley Farms,"Mariahstead, MT",2022-05-16
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.70,6476,4343,2133,Golden Orchards,"Ivahview, ID",2022-12-02
7ba3ccef-363a-40c5-9bbd-a451068846c5,Yogurt,Dairy,2.66,21209,7809,13400,Fresh Dairy Farms,"North Kaleighbury, MN",2022-04-25
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.65,36991,19132,17859,Golden Harvest Agriculture,"Tinley Park, NJ",2022-02-06
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,10.65,30672,27326,3346,Country Fresh Meats,"West Lester, SC",2022-07-12
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.06,3729,2965,764,Citrus World Inc.,"Mantebury, IN",2022-08-15
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,2.05,4814,4258,556,Fresh Harvest Co.,"Shermanland, CO",2023-03-29
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.33,28372,26003,2369,Organic Valley,"Gottliebport, VT",2023-06-24
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,10.17,24452,1746,22706,Organic Meats Co.,"Lake Traceyville, GA",2022-04-12
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.86,47662,11088,36574,Midwest Grains Co.,"Armanistad, NC",2022-03-02
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.14,49498,8775,40723,Happy Cows Dairy,"Mayechester, MO",2022-10-25
dd7f2ac0-a03a-487d-bf43-96d8415c3a60,Rye,Grains,0.76,6214,877,5337,Midwest Grains Co.,"Wilkinsonton, PA",2023-06-09
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,2.26,5633,1310,4323,Nature's Best Produce,"Buckridgeton, OK",2023-12-16
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,4.04,43752,14184,29568,Orchard Lane Farms,"Middletown, MT",2022-07-02
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,12.12,8878,6234,2644,Organic Meats Co.,"Kuvalisworth, MO",2023-12-02
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,10.97,44084,3918,40166,Country Fresh Meats,"Richland, VT",2022-01-08
7ba3ccef-363a-40c5-9bbd-a451068846c5,Yogurt,Dairy,2.49,46298,5869,40429,Happy Cows Dairy,"North Vernonton, PA",2023-09-11
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,10.70,31560,21496,10064,Prime Meats LLC,"Terrystead, VA",2023-02-13
57ad2178-9598-4981-b0f7-78a91162821e,Cheese,Dairy,7.50,42975,20236,22739,Happy Cows Dairy,"Harrisonburg, OK",2022-11-21
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.71,31626,27614,4012,Green Valley Farms,"Gerholdfort, UT",2023-07-05
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.47,29331,21318,8013,Golden Orchards,"North Laurianneland, KY",2023-10-02
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.09,16637,12592,4045,Green Valley Farms,"Lake Kimhaven, NC",2022-09-05
0985f295-bb82-484f-9cab-76637e8e8bdb,Chicken,Livestock,2.61,31396,24632,6764,Ranchers Pride,"North Vella, SD",2023-11-12
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,1.64,4220,3825,395,Nature's Best Produce,"Fort Harryburgh, WA",2023-08-11
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.36,17612,3505,14107,Orchard Lane Farms,"Arcadia, AR",2022-07-16
857e56ee-a962-479e-99f0-983999e858bd,Cabbage,Vegetables,0.70,30675,1763,28912,Sunrise Agriculture,"Dickihaven, KY",2023-03-02
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,6.31,5404,44,5360,Prime Meats LLC,"Amarillo, IN",2022-08-10
0985f295-bb82-484f-9cab-76637e8e8bdb,Chicken,Livestock,3.11,33603,20945,12658,Organic Meats Co.,"Weymouth Town, NY",2022-02-11
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.18,45139,29867,15272,Sunrise Agriculture,"Port Josefinaville, AZ",2022-01-21
7ba3ccef-363a-40c5-9bbd-a451068846c5,Yogurt,Dairy,3.32,1799,1676,123,Happy Cows Dairy,"Wilhelmland, WI",2023-08-22
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,7.31,30311,24671,5640,Prime Meats LLC,"Mannville, CT",2022-12-27
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,8.18,32385,10894,21491,Ranchers Pride,"Salvatoreborough, MO",2022-12-02
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,0.90,7229,4005,3224,Fresh Harvest Co.,"Danielaview, AZ",2022-03-09
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.20,24534,13383,11151,Dairyland Co-op,"Lake Mozellton, CO",2023-10-12
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.36,1508,506,1002,Citrus World Inc.,"Lake Lindsaystead, MO",2023-03-11
4a0f8862-c851-4073-bc17-3a3d93834902,Beef,Livestock,9.85,4665,3702,963,Organic Meats Co.,"College Station, OH",2022-10-20
0985f295-bb82-484f-9cab-76637e8e8bdb,Chicken,Livestock,3.19,18401,13880,4521,Organic Meats Co.,"Fort Ulises, RI",2022-03-10
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,1.14,32128,25017,7111,Sunrise Agriculture,"Carson, MT",2023-07-31
0fe0ab3f-d8b0-4134-ac3b-0b3c39af304c,Lettuce,Vegetables,1.12,35940,19206,16734,Nature's Best Produce,"New Dillanboro, AR",2022-03-28
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,4.79,29767,11230,18537,Orchard Lane Farms,"Hayward, MS",2022-11-19
3b87981b-375b-494a-9b11-00bf7144143a,Pork,Livestock,7.40,21427,19126,2301,Ranchers Pride,"North Milfordcester, NE",2023-02-15
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.99,37525,5385,32140,Midwest Grains Co.,"New Obie, IL",2022-08-22
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.41,4073,416,3657,Citrus World Inc.,"Adriennestead, NC",2022-12-20
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.25,22666,13070,9596,Nature's Best Produce,"Waukegan, ME",2023-10-12
e96370a4-5a1b-4ad6-bfd0-c8bd9d40ee3d,Peaches,Fruits,3.07,32704,21727,10977,Golden Orchards,"East Lonzotown, MA",2022-03-25
403d5331-41ba-4a1a-86d2-e1599b965c1b,Strawberries,Fruits,5.28,35828,2217,33611,Citrus World Inc.,"South Zackary, RI",2023-11-18
b12c721e-8301-4b08-8ac3-d435be9b8b32,Lamb,Livestock,10.97,34394,10215,24179,Ranchers Pride,"Tituschester, NM",2023-04-24
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.22,49817,3949,45868,Happy Cows Dairy,"North Britneyborough, HI",2023-05-11
57ad2178-9598-4981-b0f7-78a91162821e,Cheese,Dairy,8.15,7150,1279,5871,Organic Valley,"Port Kiarraside, NJ",2023-06-17
6c8adfc3-2114-4b78-a3e2-2269a6a0dc02,Milk,Dairy,1.30,38761,4672,34089,Fresh Dairy Farms,"Lake Charles, CA",2022-02-21
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,0.96,45884,45078,806,Green Valley Farms,"Port Tremayne, DE",2023-02-21
