unique_id,ds,y
F-096,2021-01-01,315.0
F-097,2021-01-01,68.0
F-098,2021-01-01,117.0
F-099,2021-01-01,263.0
F-100,2021-01-01,292.0
F-101,2021-01-01,541.0
F-102,2021-01-01,408.0
F-103,2021-01-01,194.0
F-104,2021-01-01,268.0
F-105,2021-01-01,257.0
F-106,2021-01-01,443.0
F-107,2021-01-01,120.0
F-108,2021-01-01,120.0
F-109,2021-01-01,235.0
F-110,2021-01-01,288.0
F-111,2021-01-01,262.0
F-112,2021-01-01,251.0
F-113,2021-01-01,354.0
F-114,2021-01-01,289.0
F-115,2021-01-01,189.0
F-116,2021-01-01,101.0
F-117,2021-01-01,245.0
F-118,2021-01-01,418.0
F-119,2021-01-01,115.0
F-120,2021-01-01,40.0
F-122,2021-01-01,226.0
F-123,2021-01-01,733.0
F-124,2021-01-01,413.0
F-125,2021-01-01,171.0
F-126,2021-01-01,81.0
F-127,2021-01-01,375.0
F-128,2021-01-01,60.0
F-129,2021-01-01,51.0
F-130,2021-01-01,192.0
F-131,2021-01-01,116.0
F-132,2021-01-01,315.0
F-133,2021-01-01,374.0
F-134,2021-01-01,72.0
F-135,2021-01-01,0.0
F-136,2021-01-01,299.0
F-137,2021-01-01,76.0
F-138,2021-01-01,220.0
F-139,2021-01-01,433.0
F-140,2021-01-01,369.0
F-141,2021-01-01,0.0
F-142,2021-01-01,50.0
F-143,2021-01-01,243.0
F-145,2021-01-01,0.0
F-146,2021-01-01,142.0
F-147,2021-01-01,298.0
F-148,2021-01-01,188.0
F-149,2021-01-01,328.0
F-150,2021-01-01,224.0
F-153,2021-01-01,270.0
F-154,2021-01-01,0.0
F-155,2021-01-01,107.0
F-156,2021-01-01,426.0
F-157,2021-01-01,248.0
F-158,2021-01-01,136.0
F-159,2021-01-01,162.0
F-160,2021-01-01,245.0
F-161,2021-01-01,147.0
F-162,2021-01-01,268.0
F-164,2021-01-01,57.0
F-165,2021-01-01,0.0
F-166,2021-01-01,156.0
F-167,2021-01-01,440.0
F-168,2021-01-01,0.0
F-169,2021-01-01,225.0
F-170,2021-01-01,242.0
F-171,2021-01-01,256.0
F-172,2021-01-01,0.0
F-173,2021-01-01,2.0
F-174,2021-01-01,105.0
F-175,2021-01-01,211.0
F-176,2021-01-01,0.0
F-177,2021-01-01,0.0
F-178,2021-01-01,48.0
F-179,2021-01-01,257.0
F-180,2021-01-01,0.0
F-181,2021-01-01,339.0
F-182,2021-01-01,604.0
F-183,2021-01-01,486.0
F-184,2021-01-01,216.0
F-185,2021-01-01,24.0
F-186,2021-01-01,168.0
F-187,2021-01-01,130.0
F-188,2021-01-01,220.0
F-189,2021-01-01,293.0
F-190,2021-01-01,208.0
F-191,2021-01-01,182.0
F-193,2021-01-01,60.0
F-194,2021-01-01,18.0
F-195,2021-01-01,340.0
F-196,2021-01-01,0.0
F-197,2021-01-01,338.0
F-198,2021-01-01,154.0
F-199,2021-01-01,129.0
F-200,2021-01-01,21.0
M-001,2021-01-01,60448.0
M-002,2021-01-01,48166.0
M-003,2021-01-01,18240.0
M-004,2021-01-01,21007.0
M-005,2021-01-01,33968.0
M-006,2021-01-01,16543.0
M-007,2021-01-01,8660.0
M-008,2021-01-01,4300.0
M-009,2021-01-01,6881.0
M-010,2021-01-01,3000.0
M-011,2021-01-01,2509.0
M-013,2021-01-01,3900.0
M-014,2021-01-01,3500.0
M-016,2021-01-01,3600.0
M-017,2021-01-01,3477.0
M-018,2021-01-01,1302.0
M-019,2021-01-01,2315.0
M-020,2021-01-01,0.0
M-021,2021-01-01,3836.0
M-022,2021-01-01,2035.0
M-023,2021-01-01,1900.0
M-024,2021-01-01,0.0
M-025,2021-01-01,1900.0
M-026,2021-01-01,1200.0
M-027,2021-01-01,1300.0
M-029,2021-01-01,1528.0
M-032,2021-01-01,1150.0
M-033,2021-01-01,1700.0
M-034,2021-01-01,3445.0
M-035,2021-01-01,1407.0
M-036,2021-01-01,1100.0
M-037,2021-01-01,5450.0
M-038,2021-01-01,445.0
M-039,2021-01-01,538.0
M-040,2021-01-01,803.0
M-041,2021-01-01,1600.0
M-042,2021-01-01,686.0
M-043,2021-01-01,0.0
M-044,2021-01-01,0.0
M-046,2021-01-01,951.0
M-047,2021-01-01,1300.0
M-048,2021-01-01,1211.0
M-049,2021-01-01,1012.0
M-050,2021-01-01,1250.0
M-051,2021-01-01,700.0
M-052,2021-01-01,468.0
M-053,2021-01-01,782.0
M-054,2021-01-01,767.0
M-056,2021-01-01,1650.0
M-057,2021-01-01,336.0
M-058,2021-01-01,2600.0
M-059,2021-01-01,332.0
M-060,2021-01-01,624.0
M-061,2021-01-01,0.0
M-062,2021-01-01,0.0
M-063,2021-01-01,6.0
M-064,2021-01-01,781.0
M-065,2021-01-01,420.0
M-066,2021-01-01,600.0
M-067,2021-01-01,200.0
M-068,2021-01-01,358.0
M-069,2021-01-01,0.0
M-070,2021-01-01,1024.0
M-071,2021-01-01,458.0
M-072,2021-01-01,900.0
M-073,2021-01-01,300.0
M-074,2021-01-01,413.0
M-075,2021-01-01,337.0
M-076,2021-01-01,440.0
M-077,2021-01-01,231.0
M-078,2021-01-01,200.0
M-079,2021-01-01,153.0
M-080,2021-01-01,411.0
M-081,2021-01-01,200.0
M-082,2021-01-01,363.0
M-084,2021-01-01,187.0
M-085,2021-01-01,3750.0
M-086,2021-01-01,205.0
M-087,2021-01-01,174.0
M-088,2021-01-01,349.0
M-089,2021-01-01,0.0
M-090,2021-01-01,25.0
M-092,2021-01-01,284.0
M-093,2021-01-01,0.0
M-094,2021-01-01,96.0
M-095,2021-01-01,241.0
M-096,2021-01-01,141.0
M-097,2021-01-01,267.0
M-098,2021-01-01,318.0
M-099,2021-01-01,100.0
M-100,2021-01-01,500.0
M-101,2021-01-01,6.0
M-102,2021-01-01,114.0
M-103,2021-01-01,70.0
M-104,2021-01-01,905.0
M-105,2021-01-01,122.0
M-109,2021-01-01,199.0
M-110,2021-01-01,199.0
M-111,2021-01-01,100.0
M-112,2021-01-01,310.0
M-113,2021-01-01,300.0
M-114,2021-01-01,0.0
M-115,2021-01-01,128.0
M-116,2021-01-01,175.0
M-117,2021-01-01,100.0
M-118,2021-01-01,72.0
M-119,2021-01-01,237.0
M-120,2021-01-01,95.0
M-121,2021-01-01,125.0
M-122,2021-01-01,135.0
M-123,2021-01-01,190.0
M-124,2021-01-01,0.0
M-125,2021-01-01,43.0
M-126,2021-01-01,370.0
M-128,2021-01-01,5600.0
M-129,2021-01-01,100.0
M-130,2021-01-01,19.0
M-131,2021-01-01,99.0
M-133,2021-01-01,100.0
M-134,2021-01-01,8.0
M-135,2021-01-01,123.0
M-136,2021-01-01,0.0
M-137,2021-01-01,69.0
M-138,2021-01-01,100.0
M-139,2021-01-01,135.0
M-141,2021-01-01,176.0
M-142,2021-01-01,0.0
M-145,2021-01-01,200.0
M-146,2021-01-01,119.0
M-147,2021-01-01,108.0
M-149,2021-01-01,53.0
M-150,2021-01-01,1.0
M-151,2021-01-01,90.0
M-152,2021-01-01,70.0
M-153,2021-01-01,50.0
M-155,2021-01-01,0.0
M-156,2021-01-01,100.0
M-157,2021-01-01,86.0
M-158,2021-01-01,3.0
M-159,2021-01-01,159.0
M-160,2021-01-01,125.0
M-161,2021-01-01,9.0
M-162,2021-01-01,120.0
M-163,2021-01-01,83.0
M-164,2021-01-01,105.0
M-165,2021-01-01,193.0
M-166,2021-01-01,0.0
M-167,2021-01-01,191.0
M-168,2021-01-01,42.0
M-169,2021-01-01,99.0
M-171,2021-01-01,121.0
M-172,2021-01-01,0.0
M-173,2021-01-01,59.0
M-174,2021-01-01,51.0
M-175,2021-01-01,96.0
M-176,2021-01-01,86.0
M-179,2021-01-01,69.0
M-180,2021-01-01,56.0
M-181,2021-01-01,91.0
M-182,2021-01-01,55.0
M-183,2021-01-01,0.0
M-184,2021-01-01,45.0
M-185,2021-01-01,94.0
M-186,2021-01-01,197.0
M-187,2021-01-01,69.0
M-188,2021-01-01,0.0
M-189,2021-01-01,68.0
M-190,2021-01-01,52.0
M-191,2021-01-01,65.0
M-192,2021-01-01,70.0
M-193,2021-01-01,0.0
M-194,2021-01-01,30.0
M-195,2021-01-01,55.0
M-197,2021-01-01,0.0
M-198,2021-01-01,90.0
M-200,2021-01-01,2.0
R-001,2021-01-01,500.0
R-002,2021-01-01,0.0
R-011,2021-01-01,100.0
R-017,2021-01-01,0.0
R-018,2021-01-01,60.0
R-019,2021-01-01,74.0
R-024,2021-01-01,0.0
R-025,2021-01-01,60.0
R-047,2021-01-01,8.0
R-055,2021-01-01,4.0
R-065,2021-01-01,20.0
R-067,2021-01-01,0.0
R-075,2021-01-01,3.0
R-086,2021-01-01,1.0
R-097,2021-01-01,4.0
F-001,2021-02-01,3892.0
F-002,2021-02-01,1292.0
F-003,2021-02-01,1760.0
F-004,2021-02-01,1192.0
F-005,2021-02-01,984.0
F-006,2021-02-01,1476.0
F-007,2021-02-01,1281.0
F-008,2021-02-01,725.0
F-009,2021-02-01,647.0
F-010,2021-02-01,771.0
F-012,2021-02-01,1513.0
F-013,2021-02-01,628.0
F-014,2021-02-01,477.0
F-015,2021-02-01,1140.0
F-016,2021-02-01,471.0
F-017,2021-02-01,417.0
F-018,2021-02-01,253.0
F-019,2021-02-01,29.0
F-020,2021-02-01,500.0
F-021,2021-02-01,523.0
F-022,2021-02-01,710.0
F-023,2021-02-01,854.0
F-024,2021-02-01,651.0
F-025,2021-02-01,18.0
F-026,2021-02-01,218.0
F-027,2021-02-01,478.0
F-028,2021-02-01,570.0
F-029,2021-02-01,84.0
F-030,2021-02-01,60.0
F-031,2021-02-01,314.0
F-032,2021-02-01,536.0
F-033,2021-02-01,728.0
F-034,2021-02-01,345.0
F-035,2021-02-01,196.0
F-036,2021-02-01,0.0
F-037,2021-02-01,479.0
F-038,2021-02-01,489.0
F-039,2021-02-01,245.0
F-040,2021-02-01,640.0
F-041,2021-02-01,310.0
F-042,2021-02-01,204.0
F-043,2021-02-01,70.0
F-044,2021-02-01,319.0
F-045,2021-02-01,395.0
F-046,2021-02-01,546.0
F-047,2021-02-01,439.0
F-048,2021-02-01,321.0
F-049,2021-02-01,261.0
F-050,2021-02-01,91.0
F-051,2021-02-01,58.0
F-052,2021-02-01,175.0
F-053,2021-02-01,136.0
F-054,2021-02-01,457.0
F-055,2021-02-01,389.0
F-056,2021-02-01,739.0
F-057,2021-02-01,434.0
F-058,2021-02-01,315.0
F-059,2021-02-01,120.0
F-060,2021-02-01,266.0
F-061,2021-02-01,492.0
F-062,2021-02-01,430.0
F-064,2021-02-01,418.0
F-065,2021-02-01,129.0
F-066,2021-02-01,120.0
F-067,2021-02-01,98.0
F-068,2021-02-01,137.0
F-069,2021-02-01,314.0
F-070,2021-02-01,180.0
F-071,2021-02-01,31.0
F-072,2021-02-01,714.0
F-073,2021-02-01,210.0
F-074,2021-02-01,170.0
F-075,2021-02-01,314.0
F-076,2021-02-01,20.0
F-077,2021-02-01,824.0
F-078,2021-02-01,424.0
F-079,2021-02-01,310.0
F-080,2021-02-01,507.0
F-081,2021-02-01,391.0
F-082,2021-02-01,185.0
F-083,2021-02-01,204.0
F-084,2021-02-01,401.0
F-085,2021-02-01,273.0
F-087,2021-02-01,263.0
F-088,2021-02-01,234.0
F-089,2021-02-01,30.0
F-091,2021-02-01,239.0
F-092,2021-02-01,178.0
F-093,2021-02-01,170.0
F-094,2021-02-01,0.0
F-095,2021-02-01,90.0
F-096,2021-02-01,15.0
F-097,2021-02-01,75.0
F-098,2021-02-01,113.0
F-099,2021-02-01,163.0
F-100,2021-02-01,420.0
F-101,2021-02-01,505.0
F-102,2021-02-01,247.0
F-103,2021-02-01,264.0
F-104,2021-02-01,185.0
F-105,2021-02-01,447.0
F-106,2021-02-01,342.0
F-107,2021-02-01,32.0
F-108,2021-02-01,162.0
F-109,2021-02-01,305.0
F-110,2021-02-01,246.0
F-111,2021-02-01,303.0
F-112,2021-02-01,190.0
F-113,2021-02-01,197.0
F-114,2021-02-01,104.0
F-115,2021-02-01,304.0
F-116,2021-02-01,91.0
F-117,2021-02-01,320.0
F-118,2021-02-01,467.0
F-119,2021-02-01,118.0
F-120,2021-02-01,309.0
F-122,2021-02-01,67.0
F-123,2021-02-01,756.0
F-124,2021-02-01,474.0
F-125,2021-02-01,297.0
F-126,2021-02-01,175.0
F-127,2021-02-01,210.0
F-128,2021-02-01,153.0
F-129,2021-02-01,46.0
F-130,2021-02-01,261.0
F-131,2021-02-01,250.0
F-132,2021-02-01,289.0
F-133,2021-02-01,225.0
F-134,2021-02-01,58.0
F-135,2021-02-01,45.0
F-136,2021-02-01,224.0
F-137,2021-02-01,125.0
F-138,2021-02-01,180.0
F-139,2021-02-01,412.0
F-140,2021-02-01,408.0
F-141,2021-02-01,0.0
F-142,2021-02-01,50.0
F-143,2021-02-01,172.0
F-145,2021-02-01,91.0
F-146,2021-02-01,190.0
F-147,2021-02-01,339.0
F-148,2021-02-01,92.0
F-149,2021-02-01,303.0
F-150,2021-02-01,146.0
F-153,2021-02-01,170.0
F-154,2021-02-01,0.0
F-155,2021-02-01,129.0
F-156,2021-02-01,192.0
F-157,2021-02-01,428.0
F-158,2021-02-01,120.0
F-159,2021-02-01,133.0
F-160,2021-02-01,147.0
F-161,2021-02-01,79.0
F-162,2021-02-01,221.0
F-164,2021-02-01,161.0
F-165,2021-02-01,0.0
F-166,2021-02-01,216.0
F-167,2021-02-01,240.0
F-168,2021-02-01,0.0
F-169,2021-02-01,172.0
F-170,2021-02-01,15.0
F-171,2021-02-01,142.0
F-172,2021-02-01,120.0
F-173,2021-02-01,0.0
F-174,2021-02-01,200.0
F-175,2021-02-01,290.0
F-176,2021-02-01,19.0
F-177,2021-02-01,0.0
F-178,2021-02-01,125.0
F-179,2021-02-01,284.0
F-180,2021-02-01,0.0
F-181,2021-02-01,60.0
F-182,2021-02-01,795.0
F-183,2021-02-01,446.0
F-184,2021-02-01,301.0
F-185,2021-02-01,79.0
F-186,2021-02-01,181.0
F-187,2021-02-01,2.0
F-188,2021-02-01,30.0
F-189,2021-02-01,216.0
F-190,2021-02-01,65.0
F-191,2021-02-01,80.0
F-193,2021-02-01,17.0
F-194,2021-02-01,37.0
F-195,2021-02-01,169.0
F-196,2021-02-01,0.0
F-197,2021-02-01,192.0
F-198,2021-02-01,102.0
F-199,2021-02-01,138.0
F-200,2021-02-01,112.0
M-001,2021-02-01,57544.0
M-002,2021-02-01,51099.0
M-003,2021-02-01,13175.0
M-004,2021-02-01,21899.0
M-005,2021-02-01,22397.0
M-006,2021-02-01,15943.0
M-007,2021-02-01,5879.0
M-008,2021-02-01,7500.0
M-009,2021-02-01,5869.0
M-010,2021-02-01,1000.0
M-011,2021-02-01,3191.0
M-013,2021-02-01,5100.0
M-014,2021-02-01,3400.0
M-016,2021-02-01,3850.0
M-017,2021-02-01,5027.0
M-018,2021-02-01,1134.0
M-019,2021-02-01,2078.0
M-020,2021-02-01,0.0
M-021,2021-02-01,3063.0
M-022,2021-02-01,2025.0
M-023,2021-02-01,1100.0
M-024,2021-02-01,0.0
M-025,2021-02-01,2450.0
M-026,2021-02-01,0.0
M-027,2021-02-01,500.0
M-029,2021-02-01,1283.0
M-032,2021-02-01,625.0
M-033,2021-02-01,1550.0
M-034,2021-02-01,3174.0
M-035,2021-02-01,1084.0
M-036,2021-02-01,700.0
M-037,2021-02-01,4000.0
M-038,2021-02-01,615.0
M-039,2021-02-01,461.0
M-040,2021-02-01,500.0
M-041,2021-02-01,300.0
M-042,2021-02-01,926.0
M-043,2021-02-01,9.0
M-044,2021-02-01,0.0
M-046,2021-02-01,785.0
M-047,2021-02-01,400.0
M-048,2021-02-01,426.0
M-049,2021-02-01,400.0
M-050,2021-02-01,500.0
M-051,2021-02-01,800.0
M-052,2021-02-01,540.0
M-053,2021-02-01,681.0
M-054,2021-02-01,286.0
M-056,2021-02-01,600.0
M-057,2021-02-01,540.0
M-058,2021-02-01,1500.0
M-059,2021-02-01,417.0
M-060,2021-02-01,679.0
M-061,2021-02-01,0.0
M-062,2021-02-01,0.0
M-063,2021-02-01,61.0
M-064,2021-02-01,599.0
M-065,2021-02-01,375.0
M-066,2021-02-01,400.0
M-067,2021-02-01,0.0
M-068,2021-02-01,149.0
M-069,2021-02-01,0.0
M-070,2021-02-01,833.0
M-071,2021-02-01,486.0
M-072,2021-02-01,300.0
M-073,2021-02-01,200.0
M-074,2021-02-01,595.0
M-075,2021-02-01,173.0
M-076,2021-02-01,42.0
M-077,2021-02-01,226.0
M-078,2021-02-01,0.0
M-079,2021-02-01,196.0
M-080,2021-02-01,327.0
M-081,2021-02-01,100.0
M-082,2021-02-01,326.0
M-084,2021-02-01,64.0
M-085,2021-02-01,0.0
M-086,2021-02-01,384.0
M-087,2021-02-01,241.0
M-088,2021-02-01,272.0
M-089,2021-02-01,6.0
M-090,2021-02-01,0.0
M-092,2021-02-01,209.0
M-093,2021-02-01,0.0
M-094,2021-02-01,144.0
M-095,2021-02-01,239.0
M-096,2021-02-01,234.0
M-097,2021-02-01,216.0
M-098,2021-02-01,419.0
M-099,2021-02-01,0.0
M-100,2021-02-01,1000.0
M-101,2021-02-01,0.0
M-102,2021-02-01,0.0
M-103,2021-02-01,71.0
M-104,2021-02-01,734.0
M-105,2021-02-01,147.0
M-109,2021-02-01,124.0
M-110,2021-02-01,111.0
M-111,2021-02-01,50.0
M-112,2021-02-01,255.0
M-113,2021-02-01,29.0
M-114,2021-02-01,0.0
M-115,2021-02-01,112.0
M-116,2021-02-01,154.0
M-117,2021-02-01,0.0
M-118,2021-02-01,41.0
M-119,2021-02-01,136.0
M-120,2021-02-01,126.0
M-121,2021-02-01,101.0
M-122,2021-02-01,101.0
M-123,2021-02-01,97.0
M-124,2021-02-01,0.0
M-125,2021-02-01,23.0
M-126,2021-02-01,379.0
M-128,2021-02-01,5000.0
M-129,2021-02-01,100.0
M-130,2021-02-01,25.0
M-131,2021-02-01,158.0
M-133,2021-02-01,100.0
M-134,2021-02-01,5.0
M-135,2021-02-01,118.0
M-136,2021-02-01,0.0
M-137,2021-02-01,63.0
M-138,2021-02-01,95.0
M-139,2021-02-01,120.0
M-141,2021-02-01,140.0
M-142,2021-02-01,0.0
M-145,2021-02-01,100.0
M-146,2021-02-01,87.0
M-147,2021-02-01,100.0
M-149,2021-02-01,26.0
M-150,2021-02-01,0.0
M-151,2021-02-01,59.0
M-152,2021-02-01,150.0
M-153,2021-02-01,37.0
M-155,2021-02-01,0.0
M-156,2021-02-01,0.0
M-157,2021-02-01,45.0
M-158,2021-02-01,0.0
M-159,2021-02-01,254.0
M-160,2021-02-01,59.0
M-161,2021-02-01,3.0
M-162,2021-02-01,102.0
M-163,2021-02-01,20.0
M-164,2021-02-01,70.0
M-165,2021-02-01,86.0
M-166,2021-02-01,0.0
M-167,2021-02-01,2.0
M-168,2021-02-01,87.0
M-169,2021-02-01,69.0
M-171,2021-02-01,86.0
M-172,2021-02-01,100.0
M-173,2021-02-01,82.0
M-174,2021-02-01,45.0
M-175,2021-02-01,77.0
M-176,2021-02-01,103.0
M-179,2021-02-01,113.0
M-180,2021-02-01,57.0
M-181,2021-02-01,68.0
M-182,2021-02-01,173.0
M-183,2021-02-01,0.0
M-184,2021-02-01,18.0
M-185,2021-02-01,43.0
M-186,2021-02-01,167.0
M-187,2021-02-01,53.0
M-188,2021-02-01,0.0
M-189,2021-02-01,50.0
M-190,2021-02-01,39.0
M-191,2021-02-01,11.0
M-192,2021-02-01,12.0
M-193,2021-02-01,0.0
M-194,2021-02-01,16.0
M-195,2021-02-01,50.0
M-197,2021-02-01,100.0
M-198,2021-02-01,80.0
M-200,2021-02-01,1.0
R-001,2021-02-01,500.0
R-002,2021-02-01,500.0
R-011,2021-02-01,70.0
R-017,2021-02-01,0.0
R-018,2021-02-01,140.0
R-019,2021-02-01,16.0
R-024,2021-02-01,0.0
R-025,2021-02-01,60.0
R-047,2021-02-01,5.0
R-055,2021-02-01,2.0
R-065,2021-02-01,25.0
R-067,2021-02-01,3.0
R-075,2021-02-01,3.0
R-086,2021-02-01,2.0
R-097,2021-02-01,2.0
F-001,2021-03-01,4083.0
F-002,2021-03-01,1423.0
F-003,2021-03-01,1751.0
F-004,2021-03-01,1448.0
F-005,2021-03-01,1260.0
F-006,2021-03-01,1415.0
F-007,2021-03-01,979.0
F-008,2021-03-01,1018.0
F-009,2021-03-01,727.0
F-010,2021-03-01,938.0
F-012,2021-03-01,1134.0
F-013,2021-03-01,906.0
F-014,2021-03-01,742.0
F-015,2021-03-01,660.0
F-016,2021-03-01,313.0
F-017,2021-03-01,943.0
F-018,2021-03-01,208.0
F-019,2021-03-01,130.0
F-020,2021-03-01,527.0
F-021,2021-03-01,310.0
F-022,2021-03-01,827.0
F-023,2021-03-01,303.0
F-024,2021-03-01,686.0
F-025,2021-03-01,0.0
F-026,2021-03-01,428.0
F-027,2021-03-01,290.0
F-028,2021-03-01,351.0
F-029,2021-03-01,62.0
F-030,2021-03-01,375.0
F-031,2021-03-01,391.0
F-032,2021-03-01,579.0
F-033,2021-03-01,657.0
F-034,2021-03-01,442.0
F-035,2021-03-01,300.0
F-036,2021-03-01,300.0
F-037,2021-03-01,611.0
F-038,2021-03-01,507.0
F-039,2021-03-01,151.0
F-040,2021-03-01,639.0
F-041,2021-03-01,422.0
F-042,2021-03-01,333.0
F-043,2021-03-01,110.0
F-044,2021-03-01,185.0
F-045,2021-03-01,309.0
F-046,2021-03-01,477.0
F-047,2021-03-01,390.0
F-048,2021-03-01,380.0
F-049,2021-03-01,175.0
F-050,2021-03-01,181.0
F-051,2021-03-01,275.0
F-052,2021-03-01,320.0
F-053,2021-03-01,146.0
F-054,2021-03-01,261.0
F-055,2021-03-01,523.0
F-056,2021-03-01,454.0
F-057,2021-03-01,422.0
F-058,2021-03-01,188.0
F-059,2021-03-01,210.0
F-060,2021-03-01,670.0
F-061,2021-03-01,429.0
F-062,2021-03-01,534.0
F-064,2021-03-01,452.0
F-065,2021-03-01,116.0
F-066,2021-03-01,57.0
F-067,2021-03-01,90.0
F-068,2021-03-01,70.0
F-069,2021-03-01,469.0
F-070,2021-03-01,274.0
F-071,2021-03-01,0.0
F-072,2021-03-01,611.0
F-073,2021-03-01,507.0
F-074,2021-03-01,331.0
F-075,2021-03-01,326.0
F-076,2021-03-01,60.0
F-077,2021-03-01,529.0
F-078,2021-03-01,289.0
F-079,2021-03-01,325.0
F-080,2021-03-01,280.0
F-081,2021-03-01,469.0
F-082,2021-03-01,269.0
F-083,2021-03-01,264.0
F-084,2021-03-01,467.0
F-085,2021-03-01,189.0
F-087,2021-03-01,232.0
F-088,2021-03-01,227.0
F-089,2021-03-01,90.0
F-091,2021-03-01,252.0
F-092,2021-03-01,241.0
F-093,2021-03-01,164.0
F-094,2021-03-01,70.0
F-095,2021-03-01,420.0
F-096,2021-03-01,225.0
F-097,2021-03-01,152.0
F-098,2021-03-01,88.0
F-099,2021-03-01,195.0
F-100,2021-03-01,150.0
F-101,2021-03-01,386.0
F-102,2021-03-01,267.0
F-103,2021-03-01,256.0
F-104,2021-03-01,126.0
F-105,2021-03-01,955.0
F-106,2021-03-01,364.0
F-107,2021-03-01,74.0
F-108,2021-03-01,81.0
F-109,2021-03-01,343.0
F-110,2021-03-01,95.0
F-111,2021-03-01,375.0
F-112,2021-03-01,278.0
F-113,2021-03-01,180.0
F-114,2021-03-01,0.0
F-115,2021-03-01,241.0
F-116,2021-03-01,154.0
F-117,2021-03-01,265.0
F-118,2021-03-01,396.0
F-119,2021-03-01,113.0
F-120,2021-03-01,386.0
F-122,2021-03-01,92.0
F-123,2021-03-01,604.0
F-124,2021-03-01,453.0
F-125,2021-03-01,354.0
F-126,2021-03-01,113.0
F-127,2021-03-01,111.0
F-128,2021-03-01,24.0
F-129,2021-03-01,55.0
F-130,2021-03-01,257.0
F-131,2021-03-01,45.0
F-132,2021-03-01,279.0
F-133,2021-03-01,742.0
F-134,2021-03-01,107.0
F-135,2021-03-01,0.0
F-136,2021-03-01,368.0
F-137,2021-03-01,105.0
F-138,2021-03-01,225.0
F-139,2021-03-01,60.0
F-140,2021-03-01,164.0
F-141,2021-03-01,0.0
F-142,2021-03-01,170.0
F-143,2021-03-01,194.0
F-145,2021-03-01,81.0
F-146,2021-03-01,294.0
F-147,2021-03-01,471.0
F-148,2021-03-01,205.0
F-149,2021-03-01,303.0
F-150,2021-03-01,201.0
F-153,2021-03-01,336.0
F-154,2021-03-01,0.0
F-155,2021-03-01,115.0
F-156,2021-03-01,164.0
F-157,2021-03-01,241.0
F-158,2021-03-01,155.0
F-159,2021-03-01,194.0
F-160,2021-03-01,146.0
F-161,2021-03-01,167.0
F-162,2021-03-01,176.0
F-164,2021-03-01,35.0
F-165,2021-03-01,0.0
F-166,2021-03-01,155.0
F-167,2021-03-01,273.0
F-168,2021-03-01,0.0
F-169,2021-03-01,205.0
F-170,2021-03-01,601.0
F-171,2021-03-01,268.0
F-172,2021-03-01,60.0
