Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
23/01/23,Food,3.02E+11,23/01/23,33,0,1762.74
23/01/23,Food,3.39E+11,23/01/23,65,0,1697.74
23/01/23,Food,3.39E+11,23/01/23,30,0,1667.74
23/01/23,Food,3.02E+11,23/01/23,70,0,1597.74
23/01/23,Misc,3.39E+11,23/01/23,0,35,1632.74
23/01/23,Food,3.39E+11,23/01/23,30,0,1602.74
24/01/23,Food,3.39E+11,24/01/23,20,0,1582.74
24/01/23,Food,3.39E+11,24/01/23,90,0,1492.74
24/01/23,Food,3.02E+11,24/01/23,75,0,1417.74
24/01/23,Food,3.02E+11,24/01/23,20,0,1397.74
24/01/23,Food,3.39E+11,24/01/23,50,0,1347.74
25/01/23,Food,3.03E+11,25/01/23,28,0,1319.74
25/01/23,Salary,CHASR23023738798,25/01/23,0,34800,36119.74
25/01/23,Food,3.39E+11,25/01/23,65,0,36054.74
25/01/23,Food,3.03E+11,25/01/23,27,0,36027.74
25/01/23,Food,3.03E+11,25/01/23,30,0,35997.74
25/01/23,Misc,3.39E+11,25/01/23,10000,0,25997.74
25/01/23,Misc,3.39E+11,25/01/23,350,0,25647.74
25/01/23,Food,3.39E+11,25/01/23,40,0,25607.74
25/01/23,Misc,3.39E+11,25/01/23,2,0,25605.74
25/01/23,Misc,3.39E+11,25/01/23,135,0,25470.74
26/01/23,Food,3.03E+11,26/01/23,20,0,25450.74
26/01/23,Misc,3.03E+11,26/01/23,120,0,25330.74
26/01/23,Shopping,3.03E+11,26/01/23,1081,0,24249.74
26/01/23,Misc,3.03E+11,26/01/23,5000,0,19249.74
26/01/23,Misc,3.39E+11,26/01/23,299,0,18950.74
26/01/23,Misc,3.39E+11,26/01/23,2000,0,16950.74
26/01/23,Misc,3.03E+11,26/01/23,1000,0,15950.74
26/01/23,Misc,3.39E+11,26/01/23,0,5000,20950.74
26/01/23,Misc,3.39E+11,26/01/23,5000,0,15950.74
26/01/23,Food,3.39E+11,26/01/23,163.28,0,15787.46
27/01/23,Food,3.03E+11,27/01/23,24,0,15763.46
27/01/23,Misc,3.39E+11,27/01/23,288,0,15475.46
27/01/23,Food,3.39E+11,27/01/23,70,0,15405.46
27/01/23,Misc,3.39E+11,27/01/23,0,72,15477.46
27/01/23,Misc,3.03E+11,27/01/23,0,7000,22477.46
27/01/23,Misc,3.03E+11,27/01/23,17500,0,4977.46
27/01/23,Food,3.39E+11,27/01/23,40,0,4937.46
27/01/23,Food,3.39E+11,27/01/23,80,0,4857.46
28/01/23,Food,3.39E+11,28/01/23,40,0,4817.46
28/01/23,Food,3.03E+11,28/01/23,40,0,4777.46
28/01/23,Misc,3.03E+11,28/01/23,1000,0,3777.46
28/01/23,Food,3.39E+11,28/01/23,40,0,3737.46
29/01/23,Food,3.40E+11,29/01/23,20,0,3717.46
29/01/23,Food,3.03E+11,29/01/23,40,0,3677.46
29/01/23,Misc,3.40E+11,29/01/23,149,0,3528.46
29/01/23,Misc,3.03E+11,29/01/23,250,0,3278.46
29/01/23,Misc,3.40E+11,29/01/23,250,0,3028.46
29/01/23,Misc,3.40E+11,29/01/23,500,0,2528.46
29/01/23,Food,3.40E+11,29/01/23,189.05,0,2339.41
29/01/23,Food,3.40E+11,30/01/23,40,0,2299.41
30/01/23,Food,3.03E+11,30/01/23,50,0,2249.41
30/01/23,Food,3.40E+11,30/01/23,85,0,2164.41
30/01/23,Food,3.40E+11,30/01/23,50,0,2114.41
30/01/23,Food,3.40E+11,30/01/23,90,0,2024.41
30/01/23,Food,3.40E+11,30/01/23,20,0,2004.41
31/01/23,Food,3.03E+11,31/01/23,28,0,1976.41
31/01/23,Misc,3.40E+11,31/01/23,125,0,1851.41
31/01/23,Food,3.03E+11,31/01/23,40,0,1811.41
31/01/23,Misc,3.03E+11,31/01/23,0,10000,11811.41
31/01/23,Food,3.40E+11,31/01/23,154.44,0,11656.97
1/2/2023,Food,3.03E+11,1/2/2023,30,0,11626.97
1/2/2023,Food,3.40E+11,1/2/2023,20,0,11606.97
1/2/2023,Food,3.03E+11,1/2/2023,80,0,11526.97
2/2/2023,Rent,3.03E+11,2/2/2023,5776,0,5750.97
2/2/2023,Food,3.40E+11,2/2/2023,20,0,5730.97
2/2/2023,Food,3.03E+11,2/2/2023,144.87,0,5586.1
2/2/2023,Food,3.40E+11,2/2/2023,40,0,5546.1
2/2/2023,Food,3.40E+11,2/2/2023,30,0,5516.1
2/2/2023,Misc,3.40E+11,2/2/2023,170,0,5346.1
3/2/2023,Food,3.03E+11,3/2/2023,28,0,5318.1
3/2/2023,Food,3.40E+11,3/2/2023,50,0,5268.1
3/2/2023,Misc,3.03E+11,3/2/2023,500,0,4768.1
3/2/2023,Misc,3.03E+11,3/2/2023,0,500,5268.1
3/2/2023,Food,3.40E+11,3/2/2023,17,0,5251.1
3/2/2023,Misc,3.40E+11,3/2/2023,190,0,5061.1
3/2/2023,Food,3.40E+11,3/2/2023,40,0,5021.1
4/2/2023,Misc,3.04E+11,4/2/2023,200,0,4821.1
4/2/2023,Food,3.40E+11,4/2/2023,30,0,4791.1
4/2/2023,Food,3.04E+11,4/2/2023,40,0,4751.1
4/2/2023,Misc,3.40E+11,4/2/2023,0,152,4903.1
4/2/2023,Misc,3.40E+11,4/2/2023,140,0,4763.1
4/2/2023,Food,3.40E+11,4/2/2023,30,0,4733.1
4/2/2023,Food,3.40E+11,4/2/2023,40,0,4693.1
5/2/2023,Food,3.40E+11,5/2/2023,40,0,4653.1
5/2/2023,Misc,3.40E+11,5/2/2023,180,0,4473.1
6/2/2023,Food,3.40E+11,6/2/2023,80,0,4393.1
6/2/2023,Food,3.40E+11,6/2/2023,100,0,4293.1
6/2/2023,Food,3.04E+11,6/2/2023,20,0,4273.1
6/2/2023,Misc,3.04E+11,6/2/2023,700,0,3573.1
6/2/2023,Food,3.40E+11,6/2/2023,20,0,3553.1
7/2/2023,Food,3.40E+11,7/2/2023,65,0,3488.1
7/2/2023,Food,3.04E+11,7/2/2023,36,0,3452.1
7/2/2023,Food,3.40E+11,7/2/2023,40,0,3412.1
7/2/2023,Food,3.40E+11,7/2/2023,10,0,3402.1
8/2/2023,Food,3.41E+11,8/2/2023,150.28,0,3251.82
8/2/2023,Food,3.04E+11,8/2/2023,20,0,3231.82
8/2/2023,Misc,3.04E+11,8/2/2023,500,0,2731.82
8/2/2023,Food,3.41E+11,8/2/2023,30,0,2701.82
9/2/2023,Food,3.04E+11,9/2/2023,33,0,2668.82
9/2/2023,Food,3.41E+11,9/2/2023,30,0,2638.82
9/2/2023,Shopping,3.04E+11,9/2/2023,474,0,2164.82
9/2/2023,Food,3.41E+11,9/2/2023,32,0,2132.82
9/2/2023,Food,3.41E+11,9/2/2023,20,0,2112.82
10/2/2023,Food,3.04E+11,10/2/2023,40,0,2072.82
10/2/2023,Food,3.41E+11,10/2/2023,54,0,2018.82
10/2/2023,Food,3.41E+11,10/2/2023,51,0,1967.82
10/2/2023,Food,3.04E+11,10/2/2023,60,0,1907.82
10/2/2023,Food,3.04E+11,10/2/2023,39,0,1868.82
10/2/2023,Food,3.41E+11,10/2/2023,30,0,1838.82
10/2/2023,Food,3.41E+11,10/2/2023,52,0,1786.82
11/2/2023,Shopping,3.04E+11,11/2/2023,0,249,2035.82
11/2/2023,Shopping,3.04E+11,11/2/2023,0,225,2260.82
11/2/2023,Shopping,3.04E+11,11/2/2023,261,0,1999.82
11/2/2023,Food,3.04E+11,11/2/2023,32,0,1967.82
11/2/2023,Food,3.04E+11,11/2/2023,150.28,0,1817.54
11/2/2023,Food,3.41E+11,11/2/2023,60,0,1757.54
11/2/2023,Misc,3.04E+11,11/2/2023,0,500,2257.54
12/2/2023,Misc,3.41E+11,12/2/2023,330,0,1927.54
12/2/2023,Food,3.41E+11,12/2/2023,44,0,1883.54
12/2/2023,Food,3.41E+11,12/2/2023,100,0,1783.54
12/2/2023,Misc,3.04E+11,12/2/2023,500,0,1283.54
12/2/2023,Misc,3.04E+11,12/2/2023,117,0,1166.54
12/2/2023,Food,3.04E+11,12/2/2023,25,0,1141.54
12/2/2023,Food,3.04E+11,12/2/2023,30,0,1111.54
13/02/23,Food,3.04E+11,13/02/23,40,0,1071.54
13/02/23,Food,3.41E+11,13/02/23,173.7,0,897.84
13/02/23,Food,3.04E+11,13/02/23,67,0,830.84
13/02/23,Food,3.41E+11,13/02/23,40,0,790.84
14/02/23,Food,3.41E+11,14/02/23,40,0,750.84
14/02/23,Food,3.05E+11,14/02/23,242.45,0,508.39
14/02/23,Food,3.05E+11,14/02/23,60,0,448.39
15/02/23,Food,3.05E+11,15/02/23,40,0,408.39
15/02/23,Food,3.05E+11,15/02/23,148,0,260.39
15/02/23,Misc,3.05E+11,15/02/23,130,0,130.39
16/02/23,Food,3.05E+11,16/02/23,30,0,100.39
16/02/23,Food,3.41E+11,16/02/23,40,0,60.39
16/02/23,Misc,3.05E+11,16/02/23,0,80,140.39
16/02/23,Food,3.05E+11,16/02/23,100,0,40.39
16/02/23,Misc,3.41E+11,16/02/23,0,1500,1540.39
17/02/23,Misc,3.05E+11,17/02/23,5,0,1535.39
17/02/23,Food,3.41E+11,17/02/23,20,0,1515.39
17/02/23,Food,3.05E+11,17/02/23,30,0,1485.39
17/02/23,Food,3.41E+11,17/02/23,65,0,1420.39
17/02/23,Food,3.41E+11,17/02/23,30,0,1390.39
17/02/23,Food,3.41E+11,17/02/23,70,0,1320.39
17/02/23,Food,3.05E+11,17/02/23,50,0,1270.39
17/02/23,Misc,3.05E+11,17/02/23,475,0,795.39
17/02/23,Food,3.41E+11,17/02/23,30,0,765.39
18/02/23,Food,3.42E+11,18/02/23,10,0,755.39
18/02/23,Food,3.05E+11,18/02/23,60,0,695.39
18/02/23,Food,3.42E+11,18/02/23,20,0,675.39
18/02/23,Food,3.42E+11,18/02/23,70,0,605.39
18/02/23,Food,3.42E+11,18/02/23,20,0,585.39
19/02/23,Misc,3.05E+11,19/02/23,150.5,0,434.89
19/02/23,Misc,3.05E+11,19/02/23,136,0,298.89
19/02/23,Misc,3.42E+11,19/02/23,8,0,290.89
19/02/23,Food,3.05E+11,19/02/23,67,0,223.89
19/02/23,Food,3.05E+11,19/02/23,100,0,123.89
19/02/23,Food,3.42E+11,19/02/23,40,0,83.89
20/02/23,Food,3.42E+11,20/02/23,40,0,43.89
20/02/23,Misc,3.42E+11,20/02/23,0,500,543.89
20/02/23,Food,3.05E+11,20/02/23,65,0,478.89
20/02/23,Food,3.42E+11,20/02/23,20,0,458.89
20/02/23,Food,3.05E+11,20/02/23,45,0,413.89
21/02/23,Food,3.42E+11,21/02/23,33,0,380.89
21/02/23,Food,3.05E+11,21/02/23,40,0,340.89
21/02/23,Food,3.42E+11,21/02/23,30,0,310.89
21/02/23,Food,3.05E+11,21/02/23,50,0,260.89
21/02/23,Food,3.05E+11,21/02/23,35,0,225.89
22/02/23,Misc,3.42E+11,22/02/23,0,6000,6225.89
22/02/23,Misc,3.05E+11,22/02/23,5500,0,725.89
22/02/23,Food,3.42E+11,22/02/23,50,0,675.89
22/02/23,Food,3.42E+11,22/02/23,35,0,640.89
22/02/23,Food,3.05E+11,22/02/23,50,0,590.89
22/02/23,Food,3.05E+11,22/02/23,42,0,548.89
23/02/23,Food,3.42E+11,23/02/23,20,0,528.89
23/02/23,Food,3.05E+11,23/02/23,40,0,488.89
23/02/23,Misc,3.42E+11,23/02/23,400,0,88.89
23/02/23,Food,3.05E+11,23/02/23,30,0,58.89
23/02/23,Food,3.05E+11,23/02/23,40,0,18.89
24/02/23,Salary,CHASS23053481613,24/02/23,0,34800,34818.89
24/02/23,Food,3.06E+11,24/02/23,70,0,34748.89
24/02/23,Food,3.06E+11,24/02/23,40,0,34708.89
24/02/23,Misc,3.06E+11,24/02/23,799,0,33909.89
24/02/23,Misc,3.42E+11,24/02/23,180,0,33729.89
24/02/23,Food,3.42E+11,24/02/23,75,0,33654.89
24/02/23,Misc,3.06E+11,24/02/23,642,0,33012.89
24/02/23,Food,3.42E+11,24/02/23,12,0,33000.89
25/02/23,Misc,3.42E+11,25/02/23,10000,0,23000.89
25/02/23,Misc,3.06E+11,25/02/23,140,0,22860.89
25/02/23,Food,3.42E+11,25/02/23,20,0,22840.89
25/02/23,Food,3.42E+11,25/02/23,10,0,22830.89
25/02/23,Food,3.42E+11,25/02/23,40,0,22790.89
25/02/23,Misc,3.42E+11,25/02/23,500,0,22290.89
25/02/23,Food,3.42E+11,25/02/23,25,0,22265.89
25/02/23,Misc,3.42E+11,25/02/23,0,2000,24265.89
25/02/23,Misc,3.42E+11,25/02/23,4003,0,20262.89
26/02/23,Food,3.06E+11,26/02/23,34,0,20228.89
26/02/23,Food,3.06E+11,26/02/23,22,0,20206.89
26/02/23,Food,3.06E+11,26/02/23,10,0,20196.89
26/02/23,Misc,3.06E+11,26/02/23,0,3400,23596.89
26/02/23,Food,3.42E+11,26/02/23,20,0,23576.89
26/02/23,Misc,3.06E+11,26/02/23,4000,0,19576.89
26/02/23,Shopping,3.06E+11,26/02/23,251,0,19325.89
26/02/23,Misc,3.42E+11,26/02/23,1000,0,18325.89
26/02/23,Shopping,3.42E+11,26/02/23,429,0,17896.89
26/02/23,Misc,3.06E+11,26/02/23,2000,0,15896.89
26/02/23,Misc,3.06E+11,26/02/23,302,0,15594.89
27/02/23,Shopping,3.06E+11,27/02/23,299,0,15295.89
27/02/23,Food,3.06E+11,27/02/23,20,0,15275.89
27/02/23,Food,3.42E+11,27/02/23,40,0,15235.89
27/02/23,Misc,3.06E+11,27/02/23,570,0,14665.89
27/02/23,Misc,3.06E+11,27/02/23,306,0,14359.89
27/02/23,Food,3.06E+11,27/02/23,100,0,14259.89
27/02/23,Misc,3.06E+11,27/02/23,1315,0,12944.89
27/02/23,Food,3.42E+11,27/02/23,25,0,12919.89
27/02/23,Food,3.42E+11,27/02/23,20,0,12899.89
28/02/23,Food,3.06E+11,28/02/23,68,0,12831.89
28/02/23,Food,3.43E+11,28/02/23,65,0,12766.89
28/02/23,Food,3.43E+11,28/02/23,40,0,12726.89
28/02/23,Misc,3.06E+11,28/02/23,830,0,11896.89
1/3/2023,Food,3.43E+11,1/3/2023,60,0,11836.89
1/3/2023,Food,3.43E+11,1/3/2023,30,0,11806.89
2/3/2023,Food,3.43E+11,2/3/2023,28,0,11778.89
2/3/2023,Misc,3.43E+11,2/3/2023,110,0,11668.89
2/3/2023,Food,3.43E+11,2/3/2023,50,0,11618.89
2/3/2023,Misc,3.43E+11,2/3/2023,500,0,11118.89
2/3/2023,Food,3.43E+11,2/3/2023,30,0,11088.89
3/3/2023,Food,3.43E+11,3/3/2023,33,0,11055.89
3/3/2023,Misc,3.43E+11,3/3/2023,240,0,10815.89
3/3/2023,Food,3.43E+11,3/3/2023,60,0,10755.89
3/3/2023,Rent,3.06E+11,3/3/2023,6490,0,4265.89
3/3/2023,Food,3.06E+11,3/3/2023,35,0,4230.89
4/3/2023,Misc,3.06E+11,4/3/2023,105,0,4125.89
4/3/2023,Food,3.06E+11,4/3/2023,10,0,4115.89
4/3/2023,Food,3.43E+11,4/3/2023,30,0,4085.89
4/3/2023,Food,3.43E+11,4/3/2023,25,0,4060.89
4/3/2023,Misc,3.06E+11,4/3/2023,200,0,3860.89
4/3/2023,Misc,3.43E+11,4/3/2023,420,0,3440.89
4/3/2023,Food,3.43E+11,4/3/2023,40,0,3400.89
5/3/2023,Food,3.06E+11,5/3/2023,30,0,3370.89
5/3/2023,Food,3.43E+11,5/3/2023,100,0,3270.89
5/3/2023,Misc,3.06E+11,5/3/2023,300,0,2970.89
5/3/2023,Food,3.06E+11,5/3/2023,40,0,2930.89
5/3/2023,Misc,3.06E+11,5/3/2023,500,0,2430.89
5/3/2023,Food,3.06E+11,5/3/2023,20,0,2410.89
6/3/2023,Misc,3.43E+11,6/3/2023,0,131,2541.89
6/3/2023,Food,3.43E+11,6/3/2023,50,0,2491.89
6/3/2023,Food,3.07E+11,6/3/2023,37,0,2454.89
6/3/2023,Food,3.43E+11,6/3/2023,40,0,2414.89
7/3/2023,Food,3.43E+11,7/3/2023,72,0,2342.89
7/3/2023,Food,3.43E+11,7/3/2023,50,0,2292.89
7/3/2023,Food,3.07E+11,7/3/2023,25,0,2267.89
7/3/2023,Food,3.43E+11,7/3/2023,35,0,2232.89
8/3/2023,Misc,3.07E+11,8/3/2023,7,0,2225.89
8/3/2023,Food,3.07E+11,8/3/2023,30,0,2195.89
8/3/2023,Food,3.07E+11,8/3/2023,75,0,2120.89
8/3/2023,Misc,3.07E+11,8/3/2023,150.5,0,1970.39
8/3/2023,Food,3.07E+11,8/3/2023,40,0,1930.39
9/3/2023,Food,3.07E+11,9/3/2023,99,0,1831.39
9/3/2023,Food,3.07E+11,9/3/2023,34,0,1797.39
9/3/2023,Misc,3.43E+11,9/3/2023,205,0,1592.39
9/3/2023,Food,3.43E+11,9/3/2023,60,0,1532.39
9/3/2023,Food,3.07E+11,9/3/2023,79,0,1453.39
9/3/2023,Food,3.43E+11,9/3/2023,160.87,0,1292.52
10/3/2023,Food,3.07E+11,10/3/2023,50,0,1242.52
10/3/2023,Food,3.44E+11,10/3/2023,50,0,1192.52
10/3/2023,Food,3.07E+11,10/3/2023,214.96,0,977.56
10/3/2023,Misc,3.07E+11,10/3/2023,0,300,1277.56
10/3/2023,Food,3.07E+11,10/3/2023,70,0,1207.56
11/3/2023,Food,3.07E+11,11/3/2023,62,0,1145.56
11/3/2023,Misc,3.44E+11,11/3/2023,0,210,1355.56
11/3/2023,Misc,3.07E+11,11/3/2023,500,0,855.56
11/3/2023,Food,3.44E+11,11/3/2023,60,0,795.56
11/3/2023,Food,3.44E+11,11/3/2023,25.3,0,770.26
12/3/2023,Misc,3.07E+11,12/3/2023,300,0,470.26
12/3/2023,Food,3.07E+11,12/3/2023,30,0,440.26
12/3/2023,Food,3.07E+11,12/3/2023,40,0,400.26
12/3/2023,Food,3.44E+11,12/3/2023,54,0,346.26
12/3/2023,Food,3.44E+11,12/3/2023,40,0,306.26
13/03/23,Food,3.07E+11,13/03/23,20,0,286.26
13/03/23,Food,3.07E+11,13/03/23,47,0,239.26
13/03/23,Food,3.44E+11,13/03/23,65,0,174.26
13/03/23,Food,3.07E+11,13/03/23,50,0,124.26
13/03/23,Food,3.07E+11,13/03/23,85,0,39.26
14/03/23,Misc,3.07E+11,14/03/23,0,1000,1039.26
14/03/23,Food,3.44E+11,14/03/23,79,0,960.26
14/03/23,Food,3.07E+11,14/03/23,30,0,930.26
14/03/23,Food,3.07E+11,14/03/23,55,0,875.26
15/03/23,Food,3.44E+11,15/03/23,33,0,842.26
15/03/23,Food,3.44E+11,15/03/23,50,0,792.26
15/03/23,Food,3.07E+11,16/03/23,55,0,737.26
16/03/23,Misc,3.08E+11,16/03/23,136,0,601.26
16/03/23,Food,3.44E+11,16/03/23,50,0,551.26
16/03/23,Food,3.44E+11,16/03/23,35,0,516.26
16/03/23,Food,3.08E+11,16/03/23,30,0,486.26
16/03/23,Food,3.08E+11,16/03/23,65,0,421.26
17/03/23,Food,3.08E+11,17/03/23,50,0,371.26
17/03/23,Food,3.08E+11,17/03/23,30,0,341.26
17/03/23,Food,3.08E+11,17/03/23,30,0,311.26
17/03/23,Food,3.08E+11,17/03/23,75,0,236.26
18/03/23,Food,3.44E+11,18/03/23,30,0,206.26
18/03/23,Food,3.08E+11,18/03/23,35,0,171.26
18/03/23,Food,3.08E+11,18/03/23,30,0,141.26
19/03/23,Food,3.44E+11,19/03/23,61,0,80.26
19/03/23,Food,3.08E+11,19/03/23,30,0,50.26
19/03/23,Food,3.08E+11,19/03/23,10,0,40.26
20/03/23,Food,3.08E+11,20/03/23,30,0,10.26
21/03/23,Misc,3.08E+11,21/03/23,0,60,70.26
21/03/23,Misc,3.45E+11,21/03/23,0,40,110.26
22/03/23,Misc,3.45E+11,22/03/23,2,0,108.26
22/03/23,Food,3.45E+11,22/03/23,42,0,66.26
24/03/23,Salary,CHAST23081324539,24/03/23,0,34800,34866.26
24/03/23,Misc,3.45E+11,24/03/23,11000,0,23866.26
24/03/23,Misc,3.45E+11,24/03/23,1926.72,0,21939.54
24/03/23,Shopping,3.08E+11,24/03/23,670,0,21269.54
24/03/23,Misc,3.45E+11,24/03/23,1479,0,19790.54
24/03/23,Food,3.08E+11,24/03/23,81,0,19709.54
24/03/23,Food,3.45E+11,24/03/23,48,0,19661.54
24/03/23,Food,3.45E+11,24/03/23,72,0,19589.54
24/03/23,Food,3.08E+11,24/03/23,42,0,19547.54
24/03/23,Misc,3.08E+11,24/03/23,5000,0,14547.54
24/03/23,Misc,3.08E+11,24/03/23,660,0,13887.54
24/03/23,Food,3.45E+11,24/03/23,66,0,13821.54
24/03/23,Food,3.45E+11,24/03/23,30,0,13791.54
24/03/23,Food,3.45E+11,24/03/23,100,0,13691.54
24/03/23,Misc,3.08E+11,24/03/23,1500,0,12191.54
24/03/23,Food,3.08E+11,24/03/23,10,0,12181.54
25/03/23,Food,3.08E+11,25/03/23,76,0,12105.54
25/03/23,Food,3.45E+11,25/03/23,22,0,12083.54
